row_index,token_name,token_symbol,token_href,slug,source_type,source_label,source_url,cmc_match_method,trigger_keyword,risk_flags,sentence
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,founder,[],"Ethereum was brought to life by a diverse group of eight co-founders who contributed to its code, technical specifications, legal framework, and early funding."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,founder,[],"The other co-founders include: Gavin Wood : Wrote the first technical specification (the ""yellow paper"") for the Ethereum Virtual Machine (EVM) and created Solidity, Ethereum's primary coding language."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,coingecko_about,CoinGecko about_text,,slug,foundation,[],"Mihai Alisie : Instrumental in establishing the Swiss-based Ethereum Foundation, which provided the legal and financial home for the project."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Buterin, along with other co-founders, secured funding for the project in an online public crowd sale in the summer of 2014."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"The Ethereum Foundation officially launched the blockchain on July 30, 2015, under the prototype codenamed “Frontier.” Since then, there has been several network updates — “Constantinople” on Feb."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Ethereum?
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,[],Ethereum has a total of eight co-founders — an unusually large number for a crypto project.
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,[],"British programmer Gavin Wood is arguably the second most important co-founder of ETH, as he coded the first technical implementation of Ethereum in the C++ programming language, proposed Ethereum’s native programming language Solidity and was the first chief technology officer of the Ethereum Foundation."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"Afterward, he moved on to establish the Web3 Foundation."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Among the other co-founders of Ethereum are: - Anthony Di Iorio, who underwrote the project during its early stage of development."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"- Charles Hoskinson , who played the principal role in establishing the Swiss-based Ethereum Foundation and its legal framework."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"- Mihai Alisie, who provided assistance in establishing the Ethereum Foundation."
2,Ethereum,ETH,/en/coins/ethereum,ethereum,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Ethereum’s blockchain was designed, according to co-founder Gavin Wood, as a sort of “one computer for the entire planet,” theoretically able to make any program more robust, censorship-resistant and less prone to fraud by running it on a globally distributed network of public nodes."
3,Tether,USDT,/en/coins/tether,tether,coingecko_about,CoinGecko about_text,,slug,entity behind,"[""ecosystem_context""]","Tether Limited, incorporated in the British Virgin Islands, is the issuing entity behind USDT and the broader Tether ecosystem."
3,Tether,USDT,/en/coins/tether,tether,coingecko_about,CoinGecko about_text,,slug,parent company,[],"The company shares close ties with cryptocurrency exchange Bitfinex, with both previously operating under parent company iFinex."
3,Tether,USDT,/en/coins/tether,tether,coingecko_about,CoinGecko about_text,,slug,team behind,[],Who Is the Team Behind Tether?
3,Tether,USDT,/en/coins/tether,tether,coingecko_about,CoinGecko about_text,,slug,foundation,[],"Pierce is a prominent crypto entrepreneur who co-founded Blockchain Capital and served as director of the Bitcoin Foundation, while Sellars was a member of the Omni Foundation, which provided the technological foundation for Tether's creation."
3,Tether,USDT,/en/coins/tether,tether,coingecko_about,CoinGecko about_text,,slug,issuer,[],"Under his leadership, Tether has accelerated its Bitcoin mining operations and broader ecosystem expansion initiatives, positioning the company as more than just a stablecoin issuer in the digital assets space."
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,parent company,[],"As a fully transparent company, Tether publishes a record of the current reserve assets."
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are The Founders Of Tether?
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"In 2014, Pierce became the director of the Bitcoin Foundation, a nonprofit established to help improve and promote Bitcoin."
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,company behind,[],"Pierce has also co-founded Block.one, the company behind EOS, one of the largest cryptocurrencies on the market."
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"Other than working on Tether, Craig Sellars has been a member of the Omni Foundation for over six years."
3,Tether,USDT,/en/coins/tether,tether,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"Sellars has also worked in several other cryptocurrency companies and organizations, such as Bitfinex, Factom, Synereo and the MaidSafe Foundation."
4,XRP,XRP,/en/coins/xrp,xrp,coingecko_about,CoinGecko about_text,,slug,labs,[],"XRP is the native token and the ticker symbol of the XRP Ledger XRP Ledger is the distributed consensus ledger Ripple (formerly known as Ripple Labs) is the company behind Ripple Network Ripple Network is a global network payment built on top of the XRP Ledger What Makes XRP Unique Federated Consensus : Unlike most blockchains, it does not use Proof of Work or Proof of Stake ."
4,XRP,XRP,/en/coins/xrp,xrp,coingecko_about,CoinGecko about_text,,slug,labs,[],"In 2013, OpenCoin then rebranded to Ripple Labs Incorporated."
4,XRP,XRP,/en/coins/xrp,xrp,coingecko_about,CoinGecko about_text,,slug,labs,[],"In 2016, Ripple Labs rebranded to Ripple."
4,XRP,XRP,/en/coins/xrp,xrp,coingecko_about,CoinGecko about_text,,slug,issuer,[],"Major issuers currently offering these products include Bitwise, Grayscale, 21Shares, Canary Capital, and Franklin Templeton."
4,XRP,XRP,/en/coins/xrp,xrp,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of the XRP Ledger?
5,BNB,BNB,/en/coins/bnb,bnb,coingecko_about,CoinGecko about_text,,slug,launched by,[],Team Info and Investors BNB was launched by the Binance platform in 2017.
5,BNB,BNB,/en/coins/bnb,bnb,cmc_about,CoinMarketCap about_text,,slug,foundation,"[""ecosystem_context""]",It later evolved into the foundational asset of a much broader ecosystem.
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,issued by,[],"The Centre consortium, which is behind this asset, says USDC is issued by regulated financial institutions."
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,founder,"[""heading_without_entity""]",Who Are the Founders of USDC?
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,founder,[],"Explaining the rationale behind USDC, Circle co-founders Jeremy Allaire and Sean Neville wrote: “We believe that an open internet of value exchange can transform and integrate the world more deeply, eventually eliminating artificial economic borders and enabling a more efficient and inclusive global marketplace that connects every person on the planet.” In 2020, Circle and Coinbase collectively announced a major upgrade to USDC’s protocol and smart contract."
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,issuer,[],"Following the collapse of TerraUSD, stablecoin issuers have been under intense scrutiny over the quality of the reserves backing their tokens."
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,issuer,[],"In a transparency move, Circle Internet Financial LLC (Circle), the issuer of the USDC stablecoin released its reserves report as of July 31, 2022."
6,USDC,USDC,/en/coins/usdc,usdc,cmc_about,CoinMarketCap about_text,,symbol,issued by,[],The monthly reserve report was issued by leading global accounting firm Grant Thornton.
7,Solana,SOL,/en/coins/solana,solana,coingecko_about,CoinGecko about_text,,slug,labs,[],"He was joined by Greg Fitzgerald, Raj Gokal, and Stephen Akridge to form Solana Labs."
7,Solana,SOL,/en/coins/solana,solana,coingecko_about,CoinGecko about_text,,slug,foundation,[],"The project is supported by the Solana Foundation, a non-profit based in Switzerland."
7,Solana,SOL,/en/coins/solana,solana,coingecko_about,CoinGecko about_text,,slug,issuer,"[""etf_issuer_not_token_issuer""]","As of early 2026, issuers such as Bitwise (BSOL) and Fidelity (FSOL) have seen significant inflows, with total Solana ETF assets surpassing $1 billion."
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"While the idea and initial work on the project began in 2017, Solana was officially launched in March 2020 by the Solana Foundation with headquarters in Geneva, Switzerland."
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,foundation,[],A significant focus for the Solana Foundation is to make decentralized finance accessible on a larger scale.
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Solana?
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,labs,[],"He teamed up with his Qualcomm colleague Greg Fitzgerald , and they founded a project called Solana Labs."
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,developed by,[],One of the essential innovations Solana brings to the table is the proof-of-history (PoH) consensus developed by Anatoly Yakovenko.
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,foundation,[],The Solana Foundation has announced that a total of 489 million SOL tokens will be released in circulation.
7,Solana,SOL,/en/coins/solana,solana,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"The SOL token distribution is as follows: 16.23% went towards an initial seed sale, 12.92% of tokens were dedicated to a founding sale, 12.79% of SOL coins were distributed among team members and 10.46% of tokens were given to the Solana Foundation."
8,TRON,TRX,/en/coins/tron,tron,coingecko_about,CoinGecko about_text,,slug,dao,[],"The network is governed by a decentralized autonomous organization (DAO), a community-led entity that manages the protocol without a central authority."
8,TRON,TRX,/en/coins/tron,tron,coingecko_about,CoinGecko about_text,,slug,dao,[],"Decentralized Finance (DeFi) : Access lending, borrowing, and exchange services through integrated platforms like JustLend DAO and SunSwap."
8,TRON,TRX,/en/coins/tron,tron,coingecko_about,CoinGecko about_text,,slug,founder,[],"Team Info and Investors TRON was established by the TRON Foundation, led by founder Justin Sun."
8,TRON,TRX,/en/coins/tron,tron,coingecko_about,CoinGecko about_text,,slug,dao,[],The project completed a significant initial funding round in 2017 before transitioning to a DAO structure.
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,developed by,[],TRON (TRX) is a decentralized blockchain-based operating system developed by the Tron Foundation and launched in 2017.
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of TRON?
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,founded by,[],"TRON was founded by Justin Sun, who now serves as CEO."
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,labs,[],"The company also says that it has a talented and experienced developer team, based around the world, that has been drawn from major companies such as Ripple Labs."
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,foundation,[],"The Tron Foundation was given 34 billion, and a company owned by Justin Sun got 10 billion."
8,TRON,TRX,/en/coins/tron,tron,cmc_about,CoinMarketCap about_text,,slug,founder,[],"All in all, this meant that 45% of TRX supply went to the founder and the project itself, while 55% was distributed among investors."
9,Lido Staked Ether,STETH,/en/coins/lido-staked-ether,lido-staked-ether,coingecko_about,CoinGecko about_text,,unmatched,dao,"[""variant_token""]","As of June 11, 2022, 1 stETH is worth 0.955 ETH due to liquidity issue and supposed additional risks due to the delay of the merge alongside with DAO/smart contract risks."
10,Dogecoin,DOGE,/en/coins/dogecoin,dogecoin,coingecko_about,CoinGecko about_text,,slug,foundation,[],"Today, the Dogecoin Foundation, a non-profit group, helps guide the project along with a core team of volunteer developers."
10,Dogecoin,DOGE,/en/coins/dogecoin,dogecoin,cmc_about,CoinMarketCap about_text,,slug,created by,[],"The open-source digital currency was created by Billy Markus from Portland, Oregon and Jackson Palmer from Sydney, Australia, and was forked from Litecoin in December 2013."
11,USDS,USDS,/en/coins/usds,usds,coingecko_about,CoinGecko about_text,,unmatched,foundation,[],"Legacy Foundation : Built on the established framework of MakerDAO and DAI, it inherits years of security and stability while introducing new scalability features."
11,USDS,USDS,/en/coins/usds,usds,coingecko_about,CoinGecko about_text,,unmatched,dao,[],"Team Info and Investors The project is governed by the Sky DAO, a global community of token holders rather than a traditional corporate hierarchy."
11,USDS,USDS,/en/coins/usds,usds,coingecko_about,CoinGecko about_text,,unmatched,founded by,[],"It was founded by Rune Christensen, who co-founded MakerDAO in 2017."
14,LEO Token,LEO,/en/coins/leo-token,leo-token,cmc_about,CoinMarketCap about_text,,symbol,founded by,[],"UNUS SED LEO was founded by iFinex after Crypto Capital, the company that processed its payments, saw part of its funds seized by the government."
14,LEO Token,LEO,/en/coins/leo-token,leo-token,cmc_about,CoinMarketCap about_text,,symbol,parent company,[],"IFinex is the parent company of Bitfinex, which warned that it may not be possible to recover these funds."
15,Cardano,ADA,/en/coins/cardano,cardano,coingecko_about,CoinGecko about_text,,slug,built by,[],"Built by academics and engineers who peer-review all major updates before implementation, ensuring the platform is secure and reliable."
15,Cardano,ADA,/en/coins/cardano,cardano,coingecko_about,CoinGecko about_text,,slug,foundation,[],This careful process aims to create a more secure and stable foundation compared to platforms that prioritize speed over thorough testing.
15,Cardano,ADA,/en/coins/cardano,cardano,coingecko_about,CoinGecko about_text,,slug,foundation,"[""ecosystem_context""]","The Cardano ecosystem operates through three organizations: IOG handles technical development, the Cardano Foundation promotes adoption and standardization, and Emurgo helps businesses integrate blockchain technology into their operations."
15,Cardano,ADA,/en/coins/cardano,cardano,cmc_about,CoinMarketCap about_text,,slug,team behind,[],"The team behind the layered blockchain say that there have already been some compelling use cases for its technology, which aims to allow decentralized apps and smart contracts to be developed with modularity."
15,Cardano,ADA,/en/coins/cardano,cardano,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Cardano?
15,Cardano,ADA,/en/coins/cardano,cardano,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Cardano was founded by Charles Hoskinson, who was also one of the co-founders of the Ethereum network."
16,Hyperliquid,HYPE,/en/coins/hyperliquid,hyperliquid,coingecko_about,CoinGecko about_text,,slug,labs,[],Hyperliquid Labs leads core development of the Hyperliquid blockchain.
16,Hyperliquid,HYPE,/en/coins/hyperliquid,hyperliquid,coingecko_about,CoinGecko about_text,,slug,labs,[],Hyperliquid Labs is entirely self-funded and has not taken any external capital.
16,Hyperliquid,HYPE,/en/coins/hyperliquid,hyperliquid,cmc_about,CoinMarketCap about_text,,slug,foundation,"[""ecosystem_context""]","One of the foundational steps was the deployment of HIP-1 and HIP-2 assets, which likely represent pivotal upgrades or initiatives within its ecosystem."
18,Bitcoin Cash,BCH,/en/coins/bitcoin-cash,bitcoin-cash,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Bitcoin Cash (BCH)?
22,Chainlink,LINK,/en/coins/chainlink,chainlink,coingecko_about,CoinGecko about_text,,slug,operator,[],"Key Differentiators Proven Decentralized Architecture: The network is secured by the same high-quality, Sybil -resistant node operators that have a proven track record of securing billions of dollars across hundreds of applications."
22,Chainlink,LINK,/en/coins/chainlink,chainlink,coingecko_about,CoinGecko about_text,,slug,operator,[],"Pay for Services: Users and developers use LINK to pay Chainlink node operators for their work, such as fetching data, performing off-chain computation, or securing cross-chain transfers."
22,Chainlink,LINK,/en/coins/chainlink,chainlink,coingecko_about,CoinGecko about_text,,slug,operator,[],Incentivize Security: Node operators stake LINK as collateral to participate in the network.
22,Chainlink,LINK,/en/coins/chainlink,chainlink,coingecko_about,CoinGecko about_text,,slug,labs,[],"Team Info and Investors Chainlink was co-founded in 2017 by Sergey Nazarov (CEO of Chainlink Labs) and Steve Ellis (CTO of Chainlink Labs), who co-authored the white paper with Ari Juels."
22,Chainlink,LINK,/en/coins/chainlink,chainlink,coingecko_about,CoinGecko about_text,,slug,labs,"[""negative_relation_context""]","Chainlink raised $32 million in its ICO on September 20, 2017, backed by investors including Limitless Crypto Investments, Nirvana Capital, Fundamental Labs, and Andreas Schwartz."
22,Chainlink,LINK,/en/coins/chainlink,chainlink,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Chainlink?
22,Chainlink,LINK,/en/coins/chainlink,chainlink,cmc_about,CoinMarketCap about_text,,slug,founder,[],Sergey Nazarov is a co-founder and CEO at Chainlink Labs.
22,Chainlink,LINK,/en/coins/chainlink,chainlink,cmc_about,CoinMarketCap about_text,,slug,founder,[],"Schmidt joins other notable Chainlink advisors, including former LinkedIn CEO Jeff Weiner and DocuSign co-founder Tom Gonser."
23,sUSDS,SUSDS,/en/coins/susds,susds,coingecko_about,CoinGecko about_text,,unmatched,managed by,"[""ecosystem_context""]",It is managed by Sky ecosystem governance.
24,Monero,XMR,/en/coins/monero,monero,cmc_about,CoinMarketCap about_text,,slug,team behind,[],"The team behind Monero say privacy and security are their biggest priorities, with ease of use and efficiency coming second."
24,Monero,XMR,/en/coins/monero,monero,cmc_about,CoinMarketCap about_text,,slug,founder,"[""heading_without_entity""]",Who Are the Founders of Monero?
24,Monero,XMR,/en/coins/monero,monero,cmc_about,CoinMarketCap about_text,,slug,invented by,[],"There have been rumors that XMR was also invented by Satoshi Nakamoto , the inventor of Bitcoin."
28,Canton,CC,/en/coins/canton,canton,cmc_about,CoinMarketCap about_text,,symbol,founder,"[""heading_without_entity""]",Who Are the Founders of Canton Network?
28,Canton,CC,/en/coins/canton,canton,cmc_about,CoinMarketCap about_text,,symbol,launched by,[],Canton Network and the Global Synchronizer Foundation were launched by a range of institutions across TradFi and Crypto.
28,Canton,CC,/en/coins/canton,canton,cmc_about,CoinMarketCap about_text,,symbol,foundation,[],The Global Synchronizer Foundation is managed by the Linux Foundation.
28,Canton,CC,/en/coins/canton,canton,cmc_about,CoinMarketCap about_text,,symbol,founder,[],"Members include: 7Ridge, Bitwave, Broadridge, Calastone, Cumberland, Digital Asset, Equilend, Euroclear, Global Blockchain Business Council, IntellectEU, Kaleido, LendOS, Liberty City Ventures, MPCH, Obsidian Systems, SBI Digital Asset Holdings, Taurus, Tradeweb Digital Asset, the company that developed the Canton blockchain protocol and its Daml smart contract language was founded by Don Wilson; Founder & CEO of DRW Yuval Rooz; ex-Citadel, ex-DRW, Founder DRW VC Eric Saraniecki; ex-DRW, co-founder Cumberland Shaul Kfir; co-author libsnark, co-founder Bits of Gold Related CMC AI Articles What is Canton (CC)?"
