row_index,token_name,token_symbol,token_href,slug,confidence,review_priority,review_reason,source_labels,cmc_match_methods,sentence_risk_flags,validation_issues,founder_people,related_companies,foundation_or_orgs,evidence_spans,notes
12,WhiteBIT Coin,WBT,/en/coins/whitebit,whitebit,low,medium,low_confidence,[],[],[],"[""low_confidence""]",[],[],[],[],No explicit founder or issuer in provided text.
13,Wrapped stETH,WSTETH,/en/coins/wrapped-steth,wrapped-steth,low,high,low_confidence; variant_token_requires_review,[],[],[],"[""low_confidence"", ""variant_token_requires_review""]",[],[],[],[],No explicit founder or related company in provided text.
14,LEO Token,LEO,/en/coins/leo-token,leo-token,high,high,company_looks_like_investor; high_confidence_without_official_support; no_slug_match_support,"[""cmc_about""]","[""symbol""]",[],"[""company_looks_like_investor"", ""high_confidence_without_official_support"", ""no_slug_match_support""]",[],"[""iFinex"",""Bitfinex"",""Crypto Capital""]",[],"[""the token is used across the iFinex ecosystem"",""UNUS SED LEO was founded by iFinex after Crypto Capital"",""iFinex is the parent company of Bitfinex""]",No individual founder named in text.
15,Cardano,ADA,/en/coins/cardano,cardano,high,high,high_confidence_without_official_support,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""ecosystem_context"", ""heading_without_entity""]","[""high_confidence_without_official_support""]","[""Charles Hoskinson""]","[""Input Output Global (IOG)"",""IOHK"",""Emurgo""]","[""Cardano Foundation""]","[""Cardano was founded in 2017 by Charles Hoskinson"",""Hoskinson leads Input Output Global (IOG)"",""the Cardano Foundation promotes adoption and standardization"",""Emurgo helps businesses integrate blockchain technology into their operations""]",IOG and IOHK are both named in the source.
16,Hyperliquid,HYPE,/en/coins/hyperliquid,hyperliquid,medium,high,company_looks_like_org,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""ecosystem_context""]","[""company_looks_like_org""]",[],"[""Hyperliquid Labs""]",[],"[""Hyperliquid Labs leads core development of the Hyperliquid blockchain""]",No explicit founder named.
17,Binance Bridged USDT (BNB Smart Chain),BSC-USD,/en/coins/binance-bridged-usdt-bnb-smart-chain,binance-bridged-usdt-bnb-smart-chain,low,high,low_confidence; variant_token_requires_review,[],[],[],"[""low_confidence"", ""variant_token_requires_review""]",[],[],[],[],No founder or related company stated in the provided text.
18,Bitcoin Cash,BCH,/en/coins/bitcoin-cash,bitcoin-cash,low,medium,low_confidence,"[""cmc_about""]","[""slug""]","[""heading_without_entity""]","[""low_confidence""]",[],"[""Bitmain""]",[],"[""Mining hardware manufacturer Bitmain proposed the hard fork""]",Text does not name a BCH founder.
19,Wrapped Bitcoin,WBTC,/en/coins/wrapped-bitcoin,wrapped-bitcoin,low,high,low_confidence; variant_token_requires_review,[],[],[],"[""low_confidence"", ""variant_token_requires_review""]",[],[],[],[],No founder or related company in provided text.
20,Wrapped Beacon ETH,WBETH,/en/coins/wrapped-beacon-eth,wrapped-beacon-eth,medium,high,company_looks_like_exchange_or_platform; variant_token_requires_review,[],[],[],"[""company_looks_like_exchange_or_platform"", ""variant_token_requires_review""]",[],"[""Binance""]",[],"[""official smart contract provided by Binance"",""Binance users can wrap their BETH tokens to WBETH""]",No founder named in provided text.
21,Aave v3 WETH,AWETH,/en/coins/aave-v3-weth,,low,medium,low_confidence,[],[],[],"[""low_confidence""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
22,Chainlink,LINK,/en/coins/chainlink,,low,high,candidate_sentence_risk_flags_present; low_confidence,"[""cmc_about"", ""coingecko_about""]","[""slug""]","[""heading_without_entity"", ""negative_relation_context""]","[""candidate_sentence_risk_flags_present"", ""low_confidence""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
23,sUSDS,SUSDS,/en/coins/susds,,low,high,low_confidence; no_slug_match_support,"[""coingecko_about""]","[""unmatched""]","[""ecosystem_context""]","[""low_confidence"", ""no_slug_match_support""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
24,Monero,XMR,/en/coins/monero,,low,medium,low_confidence,"[""cmc_about""]","[""slug""]","[""heading_without_entity""]","[""low_confidence""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
25,Coinbase Wrapped BTC,CBBTC,/en/coins/coinbase-wrapped-btc,,low,high,low_confidence; variant_token_requires_review,[],[],[],"[""low_confidence"", ""variant_token_requires_review""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
26,Wrapped eETH,WEETH,/en/coins/wrapped-eeth,,low,high,low_confidence; variant_token_requires_review,[],[],[],"[""low_confidence"", ""variant_token_requires_review""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
27,Ethena USDe,USDE,/en/coins/ethena-usde,,low,medium,low_confidence,[],[],[],"[""low_confidence""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
28,Canton,CC,/en/coins/canton,,low,high,low_confidence; no_slug_match_support,"[""cmc_about""]","[""symbol""]","[""heading_without_entity""]","[""low_confidence"", ""no_slug_match_support""]",[],[],[],[],No extraction result exists for this sample row; requires agent fallback or manual review.
