row_index,token_name,token_symbol,token_href,slug,founder_people,related_companies,foundation_or_orgs,confidence,evidence_spans,notes,status,error
11,USDS,USDS,/en/coins/usds,usds,"[""Rune Christensen""]","[""BlackRock"",""Janus Henderson""]","[""Sky DAO"",""MakerDAO""]",high,"[""It was founded by Rune Christensen, who co-founded MakerDAO in 2017"",""The project is governed by the Sky DAO"",""Major institutional contributors and partners include BlackRock and Janus Henderson""]","Source text explicitly names the founder, DAO governance, and partners.",ok,
12,WhiteBIT Coin,WBT,/en/coins/whitebit,whitebit,[],[],[],low,[],No explicit founder or issuer in provided text.,ok,
13,Wrapped stETH,WSTETH,/en/coins/wrapped-steth,wrapped-steth,[],[],[],low,[],No explicit founder or related company in provided text.,ok,
14,LEO Token,LEO,/en/coins/leo-token,leo-token,[],"[""iFinex"",""Bitfinex"",""Crypto Capital""]",[],high,"[""the token is used across the iFinex ecosystem"",""UNUS SED LEO was founded by iFinex after Crypto Capital"",""iFinex is the parent company of Bitfinex""]",No individual founder named in text.,ok,
15,Cardano,ADA,/en/coins/cardano,cardano,"[""Charles Hoskinson""]","[""Input Output Global (IOG)"",""IOHK"",""Emurgo""]","[""Cardano Foundation""]",high,"[""Cardano was founded in 2017 by Charles Hoskinson"",""Hoskinson leads Input Output Global (IOG)"",""the Cardano Foundation promotes adoption and standardization"",""Emurgo helps businesses integrate blockchain technology into their operations""]",IOG and IOHK are both named in the source.,ok,
16,Hyperliquid,HYPE,/en/coins/hyperliquid,hyperliquid,[],"[""Hyperliquid Labs""]",[],medium,"[""Hyperliquid Labs leads core development of the Hyperliquid blockchain""]",No explicit founder named.,ok,
17,Binance Bridged USDT (BNB Smart Chain),BSC-USD,/en/coins/binance-bridged-usdt-bnb-smart-chain,binance-bridged-usdt-bnb-smart-chain,[],[],[],low,[],No founder or related company stated in the provided text.,ok,
18,Bitcoin Cash,BCH,/en/coins/bitcoin-cash,bitcoin-cash,[],"[""Bitmain""]",[],low,"[""Mining hardware manufacturer Bitmain proposed the hard fork""]",Text does not name a BCH founder.,ok,
19,Wrapped Bitcoin,WBTC,/en/coins/wrapped-bitcoin,wrapped-bitcoin,[],[],[],low,[],No founder or related company in provided text.,ok,
20,Wrapped Beacon ETH,WBETH,/en/coins/wrapped-beacon-eth,wrapped-beacon-eth,[],"[""Binance""]",[],medium,"[""official smart contract provided by Binance"",""Binance users can wrap their BETH tokens to WBETH""]",No founder named in provided text.,ok,
21,Aave v3 WETH,AWETH,/en/coins/aave-v3-weth,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
22,Chainlink,LINK,/en/coins/chainlink,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
23,sUSDS,SUSDS,/en/coins/susds,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
24,Monero,XMR,/en/coins/monero,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
25,Coinbase Wrapped BTC,CBBTC,/en/coins/coinbase-wrapped-btc,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
26,Wrapped eETH,WEETH,/en/coins/wrapped-eeth,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
27,Ethena USDe,USDE,/en/coins/ethena-usde,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
28,Canton,CC,/en/coins/canton,,[],[],[],low,[],No extraction result exists for this sample row; requires agent fallback or manual review.,pending_agent,
