task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_ticker,token_name,token_url,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
15,104552-84,Kriptown,kriptown.com,protocol_or_network,medium,yes,"Kriptown and its Kassis product are tokenization tools, but no public fungible ticker was found.","[""Kriptown"", ""Kassis""]","[""https://www.kriptown.com/"", ""https://www.kriptown.com/kassis""]",completed,,[],[],[],No reliable public fungible token ticker found.,https://www.kriptown.com/|https://www.kriptown.com/kassis,official_site|official_site,medium,yes
16,104556-45,Gigantec Media,gigantec.media,service_provider,medium,yes,"Branded crypto-token service provider found, but no single public owned fungible ticker was identified.","[""Gigantec Media""]","[""https://www.gigantec.media/""]",completed,,[],[],[],No reliable public fungible token ticker found.,https://www.gigantec.media/,official_site,medium,yes
17,104571-63,ANote Music,anotemusic.com,investment_or_holdings,low,yes,"Verifier found official support evidence for NOTES as ANote Music royalty token.","[""ANote Music""]","[""https://www.anotemusic.com/""]",completed,,"[""NOTES""]","[""NOTES""]","[""https://support.anotemusic.com/what-are-notes""]","ANote Music support pages identify NOTES as the fungible token used for royalties.","https://support.anotemusic.com/what-are-notes|https://www.anotemusic.com/","official_site|official_site",medium,yes
18,104579-12,Provenance,provenance.org,protocol_or_network,high,yes,Provenance Blockchain docs and CMC identify HASH as the native utility token.,"[""Provenance Blockchain""]","[""https://www.provenance.org/""]",completed,,"[""HASH""]","[""HASH""]","[""https://developer.provenance.io/docs/discover/hash""]",Provenance docs state HASH is the public utility token on Provenance Blockchain.,https://developer.provenance.io/docs/discover/hash|https://coinmarketcap.com/currencies/provenance-blockchain/,docs|coinmarketcap,high,no
19,104586-37,Boardroom 35,boardroom.tv,media_or_education,none,no,News portal with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
20,104591-75,GetHedge,gethedge.io,service_provider,low,yes,"Crypto payroll/payment service found, but no owned fungible token evidence.","[""GetHedge""]","[""https://www.gethedge.io/""]",completed,,[],[],[],No reliable fungible token evidence found after bounded search.,,,low,yes
21,104612-16,CySecure,cysecure.us,security_or_compliance,none,no,Identity/security software with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
22,104617-34,Januar,januar.com,service_provider,low,yes,"Crypto payment gateway found, but no owned fungible token evidence.","[""Januar""]","[""https://www.januar.com/""]",completed,,[],[],[],No reliable fungible token evidence found after bounded search.,,,low,yes
23,104627-53,DeSpace Protocol,despace.io,protocol_or_network,high,yes,DeSpace Protocol docs and CMC identify DES as the native token.,"[""DeSpace Protocol""]","[""https://despace.io/""]",completed,,"[""DES""]","[""DES""]","[""https://coinmarketcap.com/currencies/despace-protocol/""]",DeSpace Protocol official pages and CMC identify DES as the token.,https://despace.io/|https://coinmarketcap.com/currencies/despace-protocol/,official_site|coinmarketcap,high,no
24,104641-57,SFOX,sfox.com,exchange_or_broker,high,yes,"Crypto trading platform found, but no native fungible token evidence.","[""SFOX""]","[""https://www.sfox.com/""]",completed,,[],[],[],No reliable fungible token evidence found after search.,,,high,no
25,104657-15,VALIDATED ID,validatedid.com,security_or_compliance,none,no,Identity/document-signature software with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
26,104659-96,New Renaissance,newrenaissance.io,gaming_or_nft,low,yes,"NFT marketplace found, but no owned fungible token evidence.","[""New Renaissance""]","[""https://newrenaissance.io/""]",completed,,[],[],[],No reliable fungible token evidence found after search.,,,low,yes
27,104663-93,Cybera,cybera.io,security_or_compliance,none,no,Cybersecurity platform with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
28,104667-37,Good Stock,goodstocksoups.com,gaming_or_nft,low,yes,"Blockchain gambling platform found, but no owned fungible token evidence.","[""Good Stock""]","[""https://www.goodstocksoups.com/""]",completed,,[],[],[],No reliable fungible token evidence found after search.,,,low,yes
29,481864-42,Angle (Financial Software),angle.money,protocol_or_network,high,yes,Angle docs identify ANGLE governance token and EURA/USDA stablecoins.,"[""Angle Protocol""]","[""https://angle.money/"", ""https://docs.angle.money/""]",completed,,"[""ANGLE"", ""EURA"", ""USDA""]","[""ANGLE"", ""EURA"", ""USDA""]","[""https://docs.angle.money/governance/angle-token"", ""https://angle.money/eura"", ""https://angle.money/usda""]","Angle docs identify ANGLE, EURA, and USDA as protocol tokens.",https://docs.angle.money/governance/angle-token|https://docs.angle.money/overview/stablecoins|https://angle.money/eura|https://angle.money/usda,docs|docs|official_site|official_site,high,no
30,481270-69,SolarMente,solarmente.es,traditional_business,none,no,Solar installer business with no owned fungible token signal.,[],[],completed,,[],[],[],No search budget spent because this is clearly out of scope for fungible token mapping.,,,high,no
