task_index,company_id,company_name,classifier_search_tier,worker_token_ticker,verifier_search_tier,verifier_token_ticker,verdict,error_type,error_reason,evidence_urls,recommended_action,corrected_result_row_json
50,482141-35,Easy Crypto,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
51,481315-33,Prostarter,full,"[""PROT""]",full,"[""PROT""]",pass,,,,accept_worker_row,
52,481337-65,Light (San Francisco),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
53,482156-56,AIDONIC,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
54,481339-00,Nifty Island,full,"[""ISLAND""]",full,"[""ISLAND""]",pass,,,,accept_worker_row,
55,482160-34,Vesta Equity,light,[],light,[],pass,,,,accept_worker_row,
56,482163-49,CoinMENA,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
57,482168-44,The Convo Space,light,[],light,[],pass,,,,accept_worker_row,
58,482189-23,RabbitX,full,"[""RBX""]",full,"[""RBX""]",pass,,,,accept_worker_row,
59,481364-02,Minterest,full,"[""MINTY""]",full,"[""MINTY""]",pass,,,,accept_worker_row,
60,481367-53,Maxwell Labs,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
61,481368-61,QTI,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
62,481370-68,Spice AI,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
63,482267-35,Tinyman,full,"[""TINY""]",full,"[""TINY""]",pass,,,,accept_worker_row,
64,482282-29,Kollect.Cards,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
65,482282-65,PureFi,full,"[""UFI""]",full,"[""UFI""]",pass,,,,accept_worker_row,
66,482283-91,XY Finance,full,"[""XY""]",full,"[""XY""]",pass,,,,accept_worker_row,
67,481381-48,onCyber,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
68,482300-65,GooseFX,full,"[""GOFX""]",full,"[""GOFX""]",pass,,,,accept_worker_row,
69,482309-56,Blockfish,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
70,482310-46,W3Block,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
71,482317-03,KlimaDAO,full,"[""KLIMA""]",full,"[""KLIMA""]",pass,,,,accept_worker_row,
72,481387-15,Pledge Finance,full,"[""PLGR""]",full,"[""PLGR""]",pass,,,,accept_worker_row,
73,482334-31,t3rn,full,"[""TRN""]",full,"[""TRN""]",pass,,,,accept_worker_row,
74,481396-42,BagIt Solutions,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
75,481395-34,LayerZero,full,"[""ZRO""]",full,"[""ZRO""]",pass,,,,accept_worker_row,
76,482356-36,Digital Supply Chain Technology,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
77,481397-32,Astarter,full,"[""AA""]",full,"[""AA""]",pass,,,,accept_worker_row,
78,482360-05,Connected Medical System,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
79,481405-60,Robes (IT Consulting and Outsourcing),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
80,482369-23,ReNFT,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
81,481407-76,Mint Songs,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
82,482406-13,IPOR,full,"[""IPOR""]",full,"[""IPOR""]",pass,,,,accept_worker_row,
83,482417-02,Ground (Business/Productivity Software),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
84,481417-93,FANZONE.io,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
85,481423-96,Violet,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
86,482431-24,Vietnam Blockchain Corporation,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
87,482434-03,Thorstarter,full,"[""XRUNE""]",full,"[""XRUNE""]",pass,,,https://www.thorstarter.org/|https://www.thorstarter.org/docs/tokenomics|https://www.thorstarter.org/faq,accept_worker_row,
88,481429-63,Silicon (Plano),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
89,481427-65,Danvas,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
90,482444-74,Hal (Business/Productivity Software),skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
91,482462-02,Data Mynt,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
92,481446-28,Marvion Media,full,[],full,[],pass,,,https://www.marvion.net/|https://www.marvion.net/zh,accept_worker_row,
93,481446-64,GFX Labs,light,[],light,[],pass,,,,accept_worker_row,
94,481415-41,Naapbooks,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
95,481417-12,Bunicorn,full,"[""BUNI""]",full,"[""BUNI""]",pass,,,,accept_worker_row,
96,482483-89,Loanbase,skip_candidate,[],skip_candidate,[],pass,,,https://loanbase.com/|https://loanbase.com/about-new/|https://loanbase.com/loans/,accept_worker_row,
97,481448-98,Sea Green,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
98,481454-65,Riseonline Entertainment,full,"[""ROCO""]",full,"[""ROCO""]",pass,,,,accept_worker_row,
99,481455-01,Structure,full,"[""STF""]",full,"[""STF""]",pass,,,,accept_worker_row,
100,481455-19,Vader,full,"[""VADER"", ""USDV""]",full,"[""VADER"", ""USDV""]",pass,,,,accept_worker_row,
101,481458-07,Huddle01,full,"[""HUDL""]",full,"[""HUDL""]",pass,,,,accept_worker_row,
102,482513-32,Leeway (Financial Software),skip_candidate,[],skip_candidate,[],pass,,,https://www.theleeway.com/|https://www.theleeway.com/company,accept_worker_row,
103,482520-88,Arkham,full,"[""ARKM""]",full,"[""ARKM""]",pass,,,,accept_worker_row,
104,481465-54,Skytale,light,[],light,[],pass,,,https://skytale.finance/|https://www.f6s.com/company/skytale|https://www.cbinsights.com/company/skytale/,accept_worker_row,
105,481444-30,Defina,full,"[""FINA""]",full,"[""FINA""]",pass,,,,accept_worker_row,
106,481465-99,Pretoria Research Lab,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
107,482555-62,Gadze Finance,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
108,481475-98,Nightverse,full,"[""NVG""]",full,"[""NVG""]",pass,,,,accept_worker_row,
109,481476-16,Skyscend,light,[],light,[],pass,,,,accept_worker_row,
110,481481-02,Magna,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
111,481477-96,Whale (Financial Services),full,"[""WHALE""]",full,"[""WHALE""]",pass,,,,accept_worker_row,
112,481483-00,Papyrus Network,full,"[""PPR""]",full,"[""PPR""]",pass,,,https://papyrus.network/|https://papyrus-network.readthedocs.io/en/latest/doc/network_architecture.html,accept_worker_row,
113,482588-38,PreStocks,full,[],full,[],pass,,,https://prestocks.com/|https://prestocks.com/products|https://prestocks.com/faq,accept_worker_row,
114,482588-47,PlaceWar,full,"[""PLACE"", ""GEAR""]",full,"[""PLACE"", ""GEAR""]",pass,,,,accept_worker_row,
115,481481-20,Stageverse,light,[],light,[],pass,,,https://stageverse.com/|https://www.altlabvr.com/stageverse|https://www.prnewswire.com/news-releases/stageverse-integrates-with-stable-diffusion-to-launch-worlds-first-ai-powered-fashion-designer-in-the-metaverse-301661988.html,accept_worker_row,
116,482595-76,Dodas,full,"[""ACK""]",full,"[""ACK""]",pass,,,,accept_worker_row,
117,482628-16,Legaci,light,[],light,[],pass,,,https://legaci.com/|https://www.crunchbase.com/organization/legaci,accept_worker_row,
118,482628-79,Genopets,full,"[""GENE"", ""KI""]",full,"[""GENE"", ""KI""]",pass,,,,accept_worker_row,
119,482665-06,TheOne.art,full,"[""1ART""]",full,"[""1ART""]",pass,,,,accept_worker_row,
120,481519-90,Taker Labs,full,"[""TAKER""]",full,"[""TAKER""]",pass,,,,accept_worker_row,
121,482667-67,Turnt Gaming,full,"[""TNT""]",full,"[""TNT""]",pass,,,https://www.turntgaming.com/|https://www.taunttoken.io/faq-new|https://taunt-battleworld.gitbook.io/battleworld/airdrop|https://www.taunttoken.io/faq,accept_worker_row,
122,482673-97,Omni Network,full,"[""NOM""]",full,"[""NOM""]",pass,,,,accept_worker_row,
123,481526-02,Dropee,full,"[""DROPEE""]",full,"[""DROPEE""]",pass,,,,accept_worker_row,
124,482693-23,AW3 Technology,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
125,482721-85,Daliado,full,[],full,[],pass,,,https://daliadosecondhomes.com/|https://app.dealroom.co/companies/daliado|https://www.damalion.com/investinstartups/daliado/,accept_worker_row,
126,481528-45,Kronoshev,light,[],light,[],pass,,,,accept_worker_row,
127,482724-28,Anypad,full,"[""APAD""]",full,"[""APAD""]",pass,,,,accept_worker_row,
128,481528-63,Ryskex,light,[],light,[],pass,,,https://www.ryskex.io/|https://www.lloyds.com/insights/lloyds-lab/programmes-and-initiatives/lloyds-lab-accelerator/alumni/ryskex,accept_worker_row,
129,482726-35,MyCointainer,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
130,481532-50,Fuel Labs,full,"[""FUEL""]",full,"[""FUEL""]",pass,,,,accept_worker_row,
131,482737-87,Oivan Group,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
132,482739-94,Atlendis Labs,full,[],full,[],pass,,,https://www.atlendis.io/|https://www.atlendis.io/about|https://docs.atlendis.io/atlendis-v2/|https://docs.atlendis.io/atlendis-v2/user-manual/lender/faq,accept_worker_row,
133,481543-48,Portal to Bitcoin,full,"[""PTB""]",full,"[""PTB""]",pass,,,,accept_worker_row,
134,481552-84,HeroVerse,full,"[""HER"", ""HES""]",full,"[""HER"", ""HES""]",pass,,,,accept_worker_row,
135,482757-76,Synchrony Labs,full,"[""SCY""]",full,"[""SCY""]",pass,,,,accept_worker_row,
136,482762-08,Undo Studios,full,"[""NEMS""]",full,"[""NEMS""]",pass,,,,accept_worker_row,
137,481549-51,Pocket Properties,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
138,481559-14,UNXD,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
139,1237033-18,Rocket (Financial Software),full,[],full,[],pass,,,https://userocket.app/|https://crypto-fundraising.info/projects/rocket|https://pm.wiki/projects/rocket,accept_worker_row,
140,1237098-25,easy.fun,light,[],light,[],pass,,,,accept_worker_row,
141,481561-30,BeNewtral,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
142,481552-12,The Dematerialised,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
143,481552-48,Pink Panda Holdings,full,"[""PINKPANDA""]",full,"[""PINKPANDA""]",pass,,,,accept_worker_row,
144,481555-36,%Gank,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
145,481571-11,Colexion,full,"[""CLXN""]",full,"[""CLXN""]",pass,,,,accept_worker_row,
146,482501-26,Proxima.one,full,[],full,[],pass,,,https://proxima.one/|https://docs.proxima.one/proxima/|https://messari.io/project/proxima,accept_worker_row,
147,482631-22,Bsquared Technology,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
148,481582-09,Waggle Network,full,"[""WAG""]",full,"[""WAG""]",pass,,,,accept_worker_row,
149,482493-52,Claribay Capital,skip_candidate,[],skip_candidate,[],pass,,,,accept_worker_row,
150,481594-24,Sundae Labs,full,"[""SUNDAE""]",full,"[""SUNDAE""]",pass,,,,accept_worker_row,
151,481602-07,ORCA (Financial Services),full,"[""ORCA""]",full,"[""ORCA""]",pass,,,https://docs.orca.so/governance/tokenomics|https://docs.orca.so/support/about,accept_worker_row,
152,481612-51,Crypto Global United,full,"[""CGU""]",full,"[""CGU""]",pass,,,https://docs.cgu.io/welcome-to-gitbook/info/cgu-token|https://cgu.io/buy-cgu,accept_worker_row,
153,481606-84,Web3 Pro,light,[],light,[],pass,,,https://www.web3pro.com/|https://www.linkedin.com/company/web3pro|https://www.cbinsights.com/company/web3-pro,accept_worker_row,
154,482480-47,cocoNFT,skip_candidate,[],skip_candidate,[],pass,,,https://www.coconft.com/|https://betakit.com/token-coms-metaverse-subsidiary-acquires-nft-minting-platform-coconft/,accept_worker_row,
155,481621-96,Arthur Inc,skip_candidate,[],skip_candidate,[],pass,,,https://arthur.inc/|https://arthur.inc/solutions/bitcoin-mining/,accept_worker_row,
156,481622-32,Redux (Financial Software),full,"[""RDX""]",full,"[""RDX""]",pass,,,https://reduxprotocol.medium.com/new-beginnings-libre-defi-is-rebranding-to-redux-protocol-df27e1850b62|https://www.coindesk.com/price/rdx|https://messari.io/project/libre-defi/profile,accept_worker_row,
157,481624-12,Eterna (Financial Software),light,[],light,[],pass,,,https://www.eterna.exchange/,accept_worker_row,
158,481633-03,Meta4 Capital,skip_candidate,[],skip_candidate,[],pass,,,https://www.meta4.capital/,accept_worker_row,
159,481648-60,Notch (Other Insurance),skip_candidate,[],skip_candidate,[],pass,,,https://www.notch.cx/,accept_worker_row,
160,481654-36,CompliFi,full,"[""COMFI""]",full,"[""COMFI""]",pass,,,https://docs.compli.fi/community/comfi-token|https://coinmarketcap.com/currencies/complifi/,accept_worker_row,
161,482235-49,Paloma Pay,skip_candidate,[],skip_candidate,[],pass,,,https://www.palomapayinc.com/about|https://www.palomapayinc.com/faq,accept_worker_row,
162,481665-70,Grape Protocol,full,"[""GRAPE""]",full,"[""GRAPE""]",pass,,,https://grapes.network/|https://docs.grapes.network/grape-network/tokenomics-and-treasury/tokenomics|https://docs.grapes.network/grape-network/quick-start-and-faq,accept_worker_row,
163,481651-30,Internet of Things.,light,[],light,[],pass,,,https://sensingassets.net/,accept_worker_row,
164,481671-64,Rand (Financial Software),full,"[""RND""]",full,"[""RND""]",pass,,,https://rand.app/documents/whitepaper-en.pdf|https://blog.rand.app/article/the-transition-from-tokens-to-points-at-rand-a-new-chapter-to-enhance-your-experience|https://bitmart.zendesk.com/hc/en-us/articles/20521866671643-Rand-RND,accept_worker_row,
165,481671-82,Sarcophagus,full,"[""SARCO""]",full,"[""SARCO""]",pass,,,https://sarcophagus.io/assets/pdf/LITEPAPER_V0.3.pdf|https://coinmarketcap.com/currencies/sarcophagus/,accept_worker_row,
166,481981-78,TaurusBot,full,"[""TXRS""]",full,"[""TXRS""]",pass,,,https://taurus-ai.io/|https://docs.taurusbot.io/|https://docs.taurusbot.io/the-taurus-trend-ai-ecosystem/txrs-utility,accept_worker_row,
167,481981-42,NFracTion,full,"[""NFTA""]",full,"[""NFTA""]",pass,,,https://nfraction.com/|https://coinmarketcap.com/currencies/nfraction/,accept_worker_row,
168,481697-20,HyperTrader,light,[],light,[],pass,,,https://gethypertrader.com/dictionary/elastic-supply-tokens|https://gethypertrader.com/dictionary/native-token,accept_worker_row,
169,481698-28,Mnemonic (Software Development Applications),skip_candidate,[],skip_candidate,[],pass,,,https://www.mnemonichq.com/|https://docs.mnemonichq.com/docs/the-mnemonic-platform,accept_worker_row,
170,481722-04,Good Games Guild,full,"[""GGG""]",full,"[""GGG""]",pass,,,https://www.goodgamesguild.com/|https://docs.goodgamesguild.com/smart-contract-and-audit|https://docs.goodgamesguild.com/staking-platform,accept_worker_row,
171,481730-32,Fingerprints DAO,full,"[""PRINTS""]",full,"[""PRINTS""]",pass,,,https://fingerprintsdao.gitbook.io/fingerprints-dao/faq|https://fingerprintsdao.xyz/|https://coinpaprika.com/coin/prints-fingerprintsdao/,accept_worker_row,
172,481735-63,Blockchain Moon Acquisition,skip_candidate,[],skip_candidate,[],pass,,,https://www.globenewswire.com/news-release/2021/10/21/2318841/0/en/Blockchain-Moon-Acquisition-Corp-Announces-Closing-of-100-Million-Initial-Public-Offering.html|https://www.globenewswire.com/news-release/2023/04/22/2652278/0/en/Blockchain-Moon-Acquisition-Corp-Announces-Liquidation.html,accept_worker_row,
173,481745-98,bePOS,skip_candidate,[],skip_candidate,[],pass,,,https://bepos.io/en/about-us/|https://bepos.io/en/,accept_worker_row,
174,481756-42,AkinTec,light,[],light,[],pass,,,https://akintec.fr/,accept_worker_row,
175,481759-84,Attention Labs,skip_candidate,[],skip_candidate,[],pass,,,https://attentionlabs.ai/|https://www.attentionlabs.ai/about.html,accept_worker_row,
176,481755-34,Xooa,light,[],light,[],pass,,,https://xooa.com/|https://docs.xooa.com/,accept_worker_row,
177,481770-55,Plutoview,light,[],light,[],pass,,,https://www.plutoview.com/|https://www.cbinsights.com/company/plutoview|https://www.producthunt.com/posts/plutoview-api,accept_worker_row,
178,481775-77,Cumulus Digital,light,[],light,[],pass,,,https://cumulusinfra.com/,accept_worker_row,
179,481782-79,3IPK,skip_candidate,[],skip_candidate,[],pass,,,https://3ipk.com/about-us/,accept_worker_row,
180,481793-05,Secret Key Labs,skip_candidate,[],skip_candidate,[],pass,,,https://www.xverse.app/privacy|https://play.google.com/store/apps/details?id=com.secretkeylabs.xverse|https://github.com/secretkeylabs,accept_worker_row,
181,481796-02,Point Network,full,"[""POINT""]",full,"[""POINT""]",pass,,,https://docs.pointnetwork.io/docs/point-token|https://docs.pointnetwork.io/docs/point_chain/users/basics/tokens|https://pointnetwork.io/,accept_worker_row,
182,482042-71,Poof Payments,light,[],light,[],pass,,,https://poof.io/|https://docs.poof.io/,accept_worker_row,
183,482096-80,Sandhiguna,skip_candidate,[],skip_candidate,[],pass,,,https://sandhiguna.com/,accept_worker_row,
184,482261-68,Polygon Studios,full,[],full,[],pass,,,https://polygonstudios.com/|https://polygon.technology/,accept_worker_row,
185,481845-16,Plusman,skip_candidate,[],skip_candidate,[],pass,,,https://plusmanllc.co.jp/,accept_worker_row,
186,481990-60,Forta Network,full,"[""FORT""]",full,"[""FORT""]",pass,,,https://www.forta.org/fort|https://www.forta.org/blog/fort-token-goes-live|https://forta.org/,accept_worker_row,
187,481861-36,Zerocap,light,[],light,[],pass,,,https://zerocap.com/|https://docs.zerocap.com/docs/getting-started,accept_worker_row,
188,481980-52,Mars4,full,"[""MARS4""]",full,"[""MARS4""]",pass,,,https://www.mars4.me/token|https://whitepaper.mars4.me/|https://www.mars4.me/,accept_worker_row,
189,10747-09,Beowulf Electricity & Data,skip_candidate,[],skip_candidate,[],pass,,,https://beowulfed.com/,accept_worker_row,
190,100678-60,Advanced Global Concepts,light,[],light,[],pass,,,https://www.advancedglobalconcepts.com/,accept_worker_row,
191,100779-40,Veem,skip_candidate,[],skip_candidate,[],pass,,,https://veem.com/,accept_worker_row,
192,100867-06,AtlasCard.,skip_candidate,[],skip_candidate,[],pass,,,https://atlas.money/|https://atlascard.com/,accept_worker_row,
193,100936-90,bitbank,light,[],light,[],pass,,,https://bitbank.cc/|https://support.bitbank.cc/,accept_worker_row,
194,101010-61,BITCOIN INDIA,light,[],light,[],pass,,,https://bitcoin-india.org/,accept_worker_row,
195,104559-13,Cryptiv,light,[],light,[],pass,,,https://cryptiv.com/|https://www.f6s.com/company/cryptiv,accept_worker_row,
196,101060-38,Cascade (Financial Services),skip_candidate,[],skip_candidate,[],pass,,,https://cascadefintech.com/,accept_worker_row,
197,101074-51,Bitspark,light,[],light,[],pass,,,https://bitspark.io/,accept_worker_row,
198,101170-09,coin4ce,light,[],light,[],pass,,,https://coin4ce.com/,accept_worker_row,
199,101198-35,Crypta Labs,skip_candidate,[],skip_candidate,[],pass,,,https://cryptalabs.com/,accept_worker_row,
200,481968-19,Yipenhua Cultural & Creative,skip_candidate,[],skip_candidate,[],pass,,,https://hdd666.net/,accept_worker_row,
201,482527-90,Retreeb,full,"[""TREEB""]",full,"[""TREEB""]",pass,,,https://www.retreeb.io/about|https://www.retreeb.io/,accept_worker_row,
202,101288-80,ShowOpp,skip_candidate,[],skip_candidate,[],pass,,,https://dada.art/,accept_worker_row,
203,482533-30,THINK Agents,full,"[""THINK""]",full,"[""THINK""]",pass,,,https://docs.thinkagents.ai/tokens-and-governance/think-token-and-governance|https://docs.thinkagents.ai/faqs/faq/think-token-usdthink/what-is-usdthink|https://www.thinkagents.ai/,accept_worker_row,
204,481980-79,THEOS,full,"[""THEOS""]",full,"[""THEOS""]",pass,,,https://theos.fi/faq|https://theos.fi/about|https://www.theos.fi/,accept_worker_row,
205,482499-28,BrilliantMD,skip_candidate,[],skip_candidate,[],pass,,,https://brilliant.md/,accept_worker_row,
206,101670-94,Hatcher+,skip_candidate,[],skip_candidate,[],pass,,,https://hq.hatcher.com/,accept_worker_row,
207,482531-77,Silibrain,skip_candidate,[],skip_candidate,[],pass,,,https://silibrain.com/,accept_worker_row,
208,482434-75,SoftwareSuggest,skip_candidate,[],skip_candidate,[],pass,,,https://www.softwaresuggest.com/,accept_worker_row,
209,482479-21,Brand Minds,skip_candidate,[],skip_candidate,[],pass,,,https://brandminds.com/,accept_worker_row,
210,102156-94,Element,light,[],light,[],pass,,,https://element.io/|https://www.element.io/,accept_worker_row,
211,482151-07,Amond,full,"[""AMON""]",full,"[""AMON""]",pass,,,https://www.amond.cc/|https://coinmarketcap.com/currencies/amond/|https://medium.com/amondofficial/amond-token-information-3e7593bfdca3,accept_worker_row,
212,481916-26,Lantern Ventures,skip_candidate,[],skip_candidate,[],pass,,,https://lanternventures.com/,accept_worker_row,
213,102735-37,Vanbex Group,skip_candidate,[],skip_candidate,[],pass,,,https://www.vanbex.com/,accept_worker_row,
214,102786-40,Loyyal,full,[],full,[],pass,,,https://www.loyyal.com/|https://www.loyyal.com/about-us/|https://loyyal.com/press/loyyal-unveils-blockchain-empowered-loyalty-and-tokenisation-products-at-leap-2024/,accept_worker_row,
215,482500-54,DotOracle,full,"[""DTO""]",full,"[""DTO""]",pass,,,https://dotoracle.network/|https://coinmarketcap.com/currencies/dotoracle/|https://cryptototem.com/dotoracle-dto/,accept_worker_row,
216,102960-19,StockBet (Financial Software),light,[],light,[],pass,,,https://www.stockbet.com/,accept_worker_row,
217,103028-68,ViralTrade,skip_candidate,[],skip_candidate,[],pass,,,https://www.viraltrade.com/,accept_worker_row,
218,103344-76,VisiKard,skip_candidate,[],skip_candidate,[],pass,,,https://www.visikard.com/,accept_worker_row,
219,103429-00,Yaykuy,skip_candidate,[],skip_candidate,[],pass,,,https://yaykuy.cl/,accept_worker_row,
220,103558-06,Zenodys,full,[],full,[],pass,,,https://www.zenodys.com/,accept_worker_row,
221,289980-28,WhatsHalal,light,[],light,[],pass,,,https://www.whatshalal.com/,accept_worker_row,
222,10376-20,Silvergate Capital,skip_candidate,[],skip_candidate,[],pass,,,https://www.silvergatebank.com/,accept_worker_row,
223,481174-39,H3RO3S,full,"[""H3RO3S""]",full,"[""H3RO3S""]",pass,,,https://h3ro3s.org/|https://coinmarketcap.com/currencies/h3ro3s/,accept_worker_row,
