task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_results,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
73,482334-31,t3rn,t3rn.io,protocol_or_network,high,yes,Official tokenomics identify TRN.,"[""t3rn""]","[""https://www.t3rn.io""]",completed,,"[{""token_symbol"":""TRN"",""token_name"":""TRN"",""token_url"":""https://www.t3rn.io/blog/tokenomics"",""reason"":""Official t3rn materials identify TRN as the protocol token and state that t3rn was initially founded to solve cross-chain ecosystem expansion, supporting an original protocol-founding role."",""evidence_urls"":[""https://www.t3rn.io/blog/tokenomics"",""https://www.t3rn.io/blog/ev3rything-ev3rywhere-universal-execution""],""evidence_source_types"":[""official_docs"",""official_blog""]}]",Official t3rn sources support t3rn as the original cross-chain execution protocol organization and identify TRN as the protocol token.,Official t3rn tokenomics name TRN.,https://www.t3rn.io|https://www.t3rn.io/blog/tokenomics,official_site|official_docs,high,no
75,481395-34,LayerZero,layerzero.network,protocol_or_network,high,yes,Official blog identifies ZRO as the network token.,"[""LayerZero""]","[""https://layerzero.network""]",completed,,"[{""token_symbol"":""ZRO"",""token_name"":""ZRO"",""token_url"":""https://info.layerzero.foundation/introducing-zro-d39df554a9b7"",""reason"":""LayerZero Labs is the original organization behind the LayerZero omnichain protocol, and official LayerZero Foundation materials identify ZRO as the native asset of the LayerZero protocol."",""evidence_urls"":[""https://layerzero.network/publications/LayerZero_Whitepaper_V2.1.1.pdf"",""https://docs.layerzero.network/v2/concepts/layerzero-protocol-architecture"",""https://info.layerzero.foundation/introducing-zro-d39df554a9b7"",""https://coinmarketcap.com/currencies/layerzero/""],""evidence_source_types"":[""official_whitepaper"",""official_docs"",""official_foundation"",""coinmarketcap""]}]","LayerZero Labs/LayerZero sources support an original protocol organization role, and official Foundation materials identify ZRO as the native LayerZero protocol asset.",LayerZero blog states ZRO is the network token.,https://layerzero.network|https://layerzero.network/blog/understanding-zro-buybacks,official_site|official_docs,high,no
99,481455-01,Structure,structure.fi,protocol_or_network,high,yes,official site and token pages map Structure Finance to STF,"[""Structure Finance""]","[""https://structure.finance/""]",completed,2026-04-16T00:00:00Z,"[{""token_symbol"":""STF"",""token_name"":""STF"",""token_url"":""https://coinmarketcap.com/currencies/structure-finance/"",""reason"":""Structure is the original Structure Finance protocol/platform organization; official materials identify Structure Finance as the DeFi protocol/platform and STF as its official token for platform use and governance."",""evidence_urls"":[""https://structure.finance/"",""https://coinmarketcap.com/currencies/structure-finance/""],""evidence_source_types"":[""official_site"",""coinmarketcap""]}]",Structure Finance is treated as the original protocol/platform organization for STF based on official Structure materials and token-page corroboration.,official site and token pages map Structure Finance to STF,https://structure.finance/|https://coinmarketcap.com/currencies/structure-finance/|https://asdx.zendesk.com/hc/en-us/articles/4410294251027-Structure-Finance-STF,official_site|coinmarketcap|secondary_source,high,no
100,481455-19,Vader,vaderprotocol.io,protocol_or_network,high,yes,official docs and token pages map Vader Protocol to VADER and USDV,"[""Vader Protocol"", ""Vader Protocol""]","[""https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol"", ""https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol""]",completed,2026-04-16T00:00:00Z,"[{""token_symbol"":""VADER"",""token_name"":""VADER"",""token_url"":""https://docs.vaderprotocol.io/whitepaper/abstract/vader-token"",""reason"":""Vader is the original Vader Protocol project; official docs define VADER as the protocol token and USDV as the native stablecoin issued through VADER."",""evidence_urls"":[""https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol"",""https://docs.vaderprotocol.io/whitepaper/abstract/vader-token"",""https://coinmarketcap.com/currencies/vader-protocol/""],""evidence_source_types"":[""official_docs"",""official_docs"",""coinmarketcap""]},{""token_symbol"":""USDV"",""token_name"":""USDV"",""token_url"":""https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol"",""reason"":""Vader is the original Vader Protocol project; official docs define USDV as the protocol-native stablecoin issued by burning to and from VADER."",""evidence_urls"":[""https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol"",""https://docs.vaderprotocol.io/whitepaper/abstract/vader-token""],""evidence_source_types"":[""official_docs"",""official_docs""]}]","Vader qualifies for the rule because the company/project is the original Vader Protocol ecosystem around VADER and USDV, supported by official protocol docs.",official docs and token pages map Vader Protocol to VADER and USDV,https://docs.vaderprotocol.io/vader-protocol/what-is-vader-protocol|https://docs.vaderprotocol.io/whitepaper/abstract/vader-token|https://coinmarketcap.com/currencies/vader-protocol/,official_docs|official_docs|coinmarketcap,high,no
101,481458-07,Huddle01,huddle01.com,protocol_or_network,high,yes,official docs and token page map Huddle01 to HUDL,"[""Huddle01 Network""]","[""https://huddle01.com/media-node/documentation/introduction""]",completed,2026-04-16T00:00:00Z,"[{""token_symbol"":""HUDL"",""token_name"":""HUDL"",""token_url"":""https://huddle01.com/media-node/documentation/huddle01-token/hudl"",""reason"":""Huddle01 is the original organization building the Huddle01 Network/dRTC protocol, and official docs define HUDL as the native protocol token of that network."",""evidence_urls"":[""https://huddle01.com/about"",""https://huddle01.com/media-node/documentation/introduction"",""https://huddle01.com/media-node/documentation/huddle01-token/hudl""],""evidence_source_types"":[""official_site"",""official_docs"",""official_docs""]}]","Huddle01 qualifies because official materials describe Huddle01 starting and evolving into the dRTC protocol/network, with HUDL as the native protocol token.",official docs map Huddle01 Network to HUDL,https://huddle01.com/media-node/documentation/introduction|https://huddle01.com/media-node/documentation/huddle01-token/hudl|https://docs.huddle01.com/docs,official_docs|official_docs|official_docs,high,no
112,481483-00,Papyrus Network,papyrus.network,protocol_or_network,high,yes,Mainnet-live blockchain network with token-stake governance and reward-token language; current docs define PPR as the native unit of value.,"[""Papyrus Network""]","[""https://papyrus.network/"",""https://papyrus-network.readthedocs.io/en/latest/""]",completed,2026-04-17T10:49:33-07:00,"[{""token_symbol"":""PPR"",""token_name"":""Papyrus"",""token_url"":""https://papyrus-network.readthedocs.io/en/latest/doc/network_architecture.html"",""reason"":""Papyrus Network is the original public blockchain network/protocol organization; official site and docs describe the Papyrus blockchain network and token-staking resource model using its native PPR token."",""evidence_urls"":[""https://papyrus.network/"",""https://papyrus-network.readthedocs.io/en/latest/"",""https://papyrus-network.readthedocs.io/en/latest/doc/network_architecture.html""],""evidence_source_types"":[""official_site"",""official_docs"",""official_docs""]}]",Papyrus Network qualifies because official materials identify it as the original public blockchain network/protocol with token-staking resource management.,Official docs define PPR as the native unit of value and describe PPR token rewards for Authority Nodes.,https://papyrus.network/|https://papyrus-network.readthedocs.io/en/latest/|https://papyrus-network.readthedocs.io/en/latest/doc/network_architecture.html,official_site|docs,high,no
120,481519-90,Taker Labs,taker.xyz,protocol_or_network,high,yes,official docs map Taker to TAKER,"[""Taker""]","[""https://docs.taker.xyz/taker/taker-protocol/taker-chain/overview""]",completed,2026-04-16T00:00:00Z,"[{""token_symbol"":""TAKER"",""token_name"":""TAKER"",""token_url"":""https://docs.taker.xyz/taker/taker-protocol/taker-chain/overview"",""reason"":""Taker Labs is the company/project behind the original Taker Bitcoin incentive layer and Taker Chain; official docs define $TAKER as the native token of Taker Chain."",""evidence_urls"":[""https://docs.taker.xyz/taker"",""https://docs.taker.xyz/taker/taker-protocol/taker-chain/overview"",""https://docs.taker.xyz/taker/tokenomics/token-allocation"",""https://docs.taker.xyz/taker/tokenomics/utility""],""evidence_source_types"":[""official_docs"",""official_docs"",""official_docs"",""official_docs""]}]",Taker Labs qualifies because official Taker docs describe the original Taker protocol/chain ecosystem and TAKER as its native token.,official docs map Taker to TAKER,https://docs.taker.xyz/taker/taker-protocol/taker-chain/overview,official_docs,high,no
122,482673-97,Omni Network,nomina.io,protocol_or_network,high,yes,Official Nomina rebrand page and CMC map the Omni/Nomina project to NOM.,"[""Nomina""]","[""https://www.nomina.io/""]",completed,2026-04-16T12:00:00-07:00,"[{""token_symbol"":""NOM"",""token_name"":""Nomina"",""token_url"":""https://coinmarketcap.com/currencies/nomina/"",""reason"":""Official Nomina materials describe Omni rebranding to Nomina, NOM as the main token of the network, and Omni Network from its founding, supporting Omni Network as the original organization of the Omni/Nomina protocol."",""evidence_urls"":[""https://www.nomina.io/blog/omni-is-rebranding"",""https://www.nomina.io/blog/omni-tokenomics-tge-date""],""evidence_source_types"":[""official_site"",""official_site""]}]",Official Nomina materials support Omni Network as the original Omni/Nomina protocol organization and map the current network token to NOM.,official rebrand page and token page map Omni Network to NOM,https://www.nomina.io/blog/omni-is-rebranding|https://coinmarketcap.com/currencies/nomina/,official_site|coinmarketcap,high,no
130,481532-50,Fuel Labs,fuel.network,protocol_or_network,high,yes,Official docs define the FUEL token and the Fuel Network project.,"[""Fuel""]","[""https://fuel.network/""]",completed,2026-04-16T12:00:00-07:00,"[{""token_symbol"":""FUEL"",""token_name"":""Fuel Network"",""token_url"":""https://docs.fuel.network/docs/fuel-token-overview/"",""reason"":""Fuel Labs is identified as developing the Fuel Network/Fuel tooling, and official Fuel docs identify FUEL as the token securing and powering the Fuel sequencing network."",""evidence_urls"":[""https://fuelbook.fuel.network/v1.1.0/what-is-fuel.html"",""https://docs.fuel.network/docs/fuel-token-overview/"",""https://www.coindesk.com/price/fuel""],""evidence_source_types"":[""official_docs"",""official_docs"",""secondary_source""]}]","Fuel Labs qualifies as an original development organization behind Fuel Network, and FUEL is the network token.",official docs define the FUEL token for Fuel Network,https://docs.fuel.network/docs/fuel-token-overview/|https://www.coingecko.com/en/coins/fuel-network,official_site|coingecko,high,no
133,481543-48,Portal to Bitcoin,portaltobitcoin.com,protocol_or_network,high,yes,Official site and token pages map Portal To Bitcoin to PTB.,"[""Portal To Bitcoin""]","[""https://portaltobitcoin.com/""]",completed,2026-04-16T12:00:00-07:00,"[{""token_symbol"":""PTB"",""token_name"":""Portal To Bitcoin"",""token_url"":""https://coinmarketcap.com/currencies/portaltobitcoin/"",""reason"":""Official Portal materials identify Portal as building the Portal Network/Bitcoin cross-chain infrastructure, list the founding team, and official docs define PTB as the Portal Network token."",""evidence_urls"":[""https://portaltobitcoin.com/about/"",""https://docs.portaldefi.com/network-incentives/the-role-of-usdptb-token""],""evidence_source_types"":[""official_site"",""official_docs""]}]","Portal to Bitcoin qualifies as the original organization behind the Portal Network ecosystem, and PTB is the network token.",official site and token pages map Portal To Bitcoin to PTB,https://portaltobitcoin.com/|https://coinmarketcap.com/currencies/portaltobitcoin/|https://www.coingecko.com/en/coins/portal-to-bitcoin,official_site|coinmarketcap|coingecko,high,no
160,481654-36,CompliFi,docs.compli.fi,protocol_or_network,high,yes,CompliFi docs and token pages confirm COMFI.,"[""CompliFi""]","[""https://docs.compli.fi/""]",completed,,"[{""token_symbol"":""COMFI"",""token_name"":""COMFI"",""token_url"":""https://docs.compli.fi/community/comfi-token"",""reason"":""Official CompliFi docs identify CompliFi as a decentralized derivatives protocol and COMFI as the governance token of the CompliFi protocol, supporting CompliFi as the original protocol organization."",""evidence_urls"":[""https://docs.compli.fi/"",""https://docs.compli.fi/community/comfi-token"",""https://coinmarketcap.com/currencies/complifi/""],""evidence_source_types"":[""official_docs"",""official_docs"",""coinmarketcap""]}]",CompliFi qualifies because the task entity is the original CompliFi protocol ecosystem and official docs identify COMFI as its governance token.,Official docs define COMFI as the governance token of CompliFi.,https://docs.compli.fi/community/comfi-token|https://coinmarketcap.com/currencies/complifi/,official_docs|token_data,high,no
162,481665-70,Grape Protocol,grapes.network,protocol_or_network,high,yes,Official Grape docs confirm $GRAPE as the native token.,"[""Grape Network""]","[""https://grapes.network/""]",completed,,"[{""token_symbol"":""GRAPE"",""token_name"":""GRAPE"",""token_url"":""https://docs.grapes.network/grape-network/tokenomics-and-treasury/tokenomics"",""reason"":""Official Grape docs and token data identify Grape Network/Grape Protocol as the token-based community protocol ecosystem and $GRAPE as its protocol token, supporting the task entity as the original protocol organization."",""evidence_urls"":[""https://docs.grapes.network/grape-network/tokenomics-and-treasury/tokenomics"",""https://docs.grapes.network/grape-network/quick-start-and-faq"",""https://coinmarketcap.com/currencies/grape-network/""],""evidence_source_types"":[""official_docs"",""official_docs"",""coinmarketcap""]}]",Grape Protocol qualifies because the task entity is the original Grape Network protocol ecosystem associated with GRAPE.,Official docs and FAQ describe the $GRAPE token.,https://grapes.network/|https://docs.grapes.network/grape-network/tokenomics-and-treasury/tokenomics|https://docs.grapes.network/grape-network/quick-start-and-faq,official_site|official_docs|official_docs,high,no
165,481671-82,Sarcophagus,app.sarcophagus.io,protocol_or_network,high,yes,Official litepaper confirms SARCO as the primary unit of exchange.,"[""Sarcophagus Protocol""]","[""https://sarcophagus.io/""]",completed,,"[{""token_symbol"":""SARCO"",""token_name"":""SARCO"",""token_url"":""https://sarcophagus.io/assets/pdf/LITEPAPER_V0.3.pdf"",""reason"":""Sarcophagus materials identify Sarcophagus as the decentralized dead-man-switch protocol/project and SARCO as the token powering and governing the protocol, supporting the task entity as the original protocol organization."",""evidence_urls"":[""https://sarcophagus.io/"",""https://github.com/sarcophagus-org/sarco-token"",""https://coinmarketcap.com/currencies/sarcophagus/""],""evidence_source_types"":[""official_site"",""official_github"",""coinmarketcap""]}]",Sarcophagus qualifies because the task entity is the original Sarcophagus protocol ecosystem and SARCO is its native protocol token.,Official litepaper defines $SARCO as the primary unit of exchange.,https://sarcophagus.io/assets/pdf/LITEPAPER_V0.3.pdf|https://coinmarketcap.com/currencies/sarcophagus/,official_litepaper|token_data,high,no
181,481796-02,Point Network,pointnetwork.io,protocol_or_network,high,yes,official docs map Point Network to the native POINT token,"[""Point Network""]","[""https://pointnetwork.io/""]",completed,2026-04-17T10:56:22-07:00,"[{""token_symbol"":""POINT"",""token_name"":""POINT Token"",""token_url"":""https://docs.pointnetwork.io/docs/point-token"",""reason"":""CoinMarketCap states Point Labs invented and built Point Network, while official Point Network materials identify POINT as the network utility and staking token, supporting Point Network as the original protocol ecosystem behind POINT."",""evidence_urls"":[""https://coinmarketcap.com/currencies/point-network/"",""https://docs.pointnetwork.io/docs/point-token"",""https://pointnetwork.io/""],""evidence_source_types"":[""coinmarketcap"",""official_docs"",""official_site""]}]",Point Network satisfies the rule for POINT because evidence identifies the original Point Network protocol ecosystem and POINT as its utility/staking token.,official docs and token pages identify POINT as Point Network's native token,https://docs.pointnetwork.io/docs/point-token|https://docs.pointnetwork.io/docs/point_chain/users/basics/tokens|https://pointnetwork.io/,official_site|docs|official_site,high,no
186,481990-60,Forta Network,forta.org,protocol_or_network,high,yes,official site and docs map Forta Network to the native FORT token,"[""Forta Network""]","[""https://forta.org/""]",completed,2026-04-17T10:56:22-07:00,"[{""token_symbol"":""FORT"",""token_name"":""FORT Token"",""token_url"":""https://www.forta.org/fort"",""reason"":""Official Forta governance docs identify the founding/incubation history of Forta, and Forta official token pages identify FORT as the token used to secure, govern, and participate in the Forta Network."",""evidence_urls"":[""https://docs.forta.network/en/latest/governance/"",""https://www.forta.org/fort"",""https://www.forta.org/blog/fort-token-goes-live""],""evidence_source_types"":[""official_docs"",""official_site"",""blog""]}]",Forta Network satisfies the rule for FORT because official materials support Forta as the original decentralized monitoring protocol ecosystem and FORT as its permissionless network token.,official docs and token page identify FORT as Forta's native token,https://www.forta.org/fort|https://www.forta.org/blog/fort-token-goes-live|https://forta.org/,official_site|blog|official_site,high,no
203,482533-30,THINK Agents,thinkagents.ai,protocol_or_network,high,yes,ASM/Think network has native THINK token and former-name ambiguity,"[""Think Agents""]","[""https://www.thinkagents.ai/""]",completed,2026-04-17T10:56:22-07:00,"[{""token_symbol"":""THINK"",""token_name"":""THINK Token"",""token_url"":""https://docs.thinkagents.ai/tokens-and-governance/think-token-and-governance"",""reason"":""Official Think Agents docs describe Think Agents/Think Tree as a decentralized network and open protocol, with Genesis Agents and the THINK token forming the seed/base layer for network governance and participation."",""evidence_urls"":[""https://docs.thinkagents.ai/"",""https://docs.thinkagents.ai/tokens-and-governance/think-token-and-governance"",""https://www.thinkagents.ai/""],""evidence_source_types"":[""official_docs"",""official_docs"",""official_site""]}]",THINK Agents satisfies the rule for THINK because official docs identify the original Think decentralized protocol/network and THINK as its governance and participation token.,official docs identify $THINK as the native governance token,https://docs.thinkagents.ai/tokens-and-governance/think-token-and-governance|https://docs.thinkagents.ai/faqs/faq/think-token-usdthink/what-is-usdthink|https://www.thinkagents.ai/,official_site|docs|official_site,high,no
