task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_symbol,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review,token_results
1814,277692-94,BDW Exchange,bdw.top,exchange_or_broker,low,yes,Crypto exchange with an ambiguous BDW ticker signal.,"[""BDW Exchange""]","[""https://bdw.top/""]",completed,,[],No the rule token: BDW Exchange token evidence remains ambiguous; searched sources did not confirm a BDW Exchange-owned fungible token or founding-entity role for a token ecosystem.,Exact-domain and exchange probes found the exchange but did not confirm a company-owned token; BDW token pages are ambiguous.,https://bdw.top/|https://www.kjnewswire.com/3859/industry-dark-horse%EF%BC%8Cbdw-hong-kong-attracted-market-attention-its-newly-adjusted-develop-model,official_site|secondary_source,low,yes,[]
1862,466616-80,Staxe,staxe.io,gaming_or_nft,low,yes,Current site identity conflict prevents a clean fungible-token conclusion without overfitting the legacy brand.,"[""Silverblock Finance""]","[""https://staxe.io/""]",completed,2026-04-18T08:55:19-07:00,[],"Staxe/Silverblock has tokenized and NFT activity, but the current identity conflict remains unresolved and no confirmed fungible token or founding-organization role for a protocol token ecosystem was established.","Live site and current materials describe Silverblock Finance and tokenized/NFT activity, but no supported company-owned fungible token was confirmed.",https://staxe.io/,official_site,medium,yes,[]
1890,184655-17,Linklogis,linklogis.com,service_provider,high,yes,"Official current and press materials mention DTT and ABT, but I found no supported public fungible token page or active ticker.","[""Linklogis""]","[""https://www.linklogis.com/en/""]",completed,2026-04-18T08:55:19-07:00,[],"Linklogis materials mention DTT/ABT and stablecoin-related initiatives, but no supported public fungible token or evidence that Linklogis is an officially recognized founding organization of a token ecosystem was resolved.","Official materials mention a Stablecoin+ initiative centered on DTT and ABT, but no supported public fungible token ticker was confirmed.",https://www.linklogis.com/en/ | https://www.linklogis.com/en/about/ | https://www.malaymail.com/news/money/mediaoutreach/2025/08/26/linklogis-releases-2025-interim-results-accelerating-global-digital-asset-and-stablecoin-deployment/404700,official_site|official_site|secondary_source,medium,yes,[]
2043,277652-44,Promotion chain,pchain.io,service_provider,none,no,skip candidate: blockchain-enabled promotion services with no owned token signal,[],[],completed,2026-04-18T00:00:00Z,[],"Secondary token pages indicate a historical Promotion Coin/PC tied to pchain.io, but the current official domain is parked and reliable founding/original-organization evidence for the rule is unresolved.",official site describes promotional services; no company-owned fungible token found,https://promotionchain.com/,official_site,low,yes,[]
2047,466841-08,XMCS,xmcs.io,protocol_or_network,medium,yes,full search found legacy XMCS token evidence but current identity remains conflicting,"[""XMCS""]","[""https://medium.com/yggdrash/yggdrash-xmcs-d5420dc7ef1f""]",completed,2026-04-18T00:00:00Z,[],"Legacy YGGDRASH/XMCS sources show a rebrand and token-swap lineage, but current XMCS/MCS identity, ticker lineage, and official project continuity remain conflicting; no definitive the rule token can be emitted.","legacy rebrand sources mention XMCS token, but current xmcs.io identity conflicts",https://medium.com/yggdrash/yggdrash-xmcs-d5420dc7ef1f|https://bitcoin.es/noticias/yggdrash-cambia-su-nombre-a-xmcs-y-traer-consigo-un-nuevo-token/|https://xmcs.org/docs/companyInfo.html,secondary_source|secondary_source|official_site,low,yes,[]
2058,467662-78,NASH Metaverse,nashmetaverse.com,gaming_or_nft,medium,yes,full search found token-economy language but no reliable fungible ticker mapping,"[""NASH Metaverse""]","[""https://nashmetaverse.com/""]",completed,2026-04-18T00:00:00Z,[],Search found token-economy language but no reliable fungible ticker mapping or official founding-token evidence; the rule inclusion remains unresolved.,"secondary sources describe NASH token economy, but current stable ticker mapping is not resolved",https://blockcast.cc/programmable-dynamic-nft-understanding-nash-metaverse/|https://www.rootdata.com/Projects/detail/Nash%20Metaverse?k=NjA1MA%3D%3D|https://nashmetaverse.com/,secondary_source|secondary_source|official_site,low,yes,[]
2062,844441-30,SuperSol,supersol.ai,protocol_or_network,medium,yes,full search confirmed SuperSol token signal but mapping remains early and slightly ambiguous,"[""SuperSol""]","[""https://supersol.ai/""]",completed,2026-04-18T00:00:00Z,[],"SuperSol is described as an early Solana L2 project with SSOL token/staking signals, but the official token mapping and founding-token status remain too ambiguous for a definitive the rule positive.",official site explicitly mentions SSOL tokens and third-party token page corroborates the project,https://supersol.ai/|https://docs.supersol.ai/|https://ntm.ai/token/2ZuxwJ5fWwkwa1QC5p7MAU22WEzPicS1MHqPyGHEy8HF,official_site|official_docs|secondary_source,low,yes,[]
1951,277883-11,Khipu Blockchian,,protocol_or_network,high,yes,"Public-chain blockchain platform with a likely native token mapping, but the company/project identity is ambiguous.","[""Khipu Token""]","[""http://khipu.io/""]",completed,2026-04-18T16:19:59Z,[],"the rule not included: Khipu/KIP evidence is limited to token-data and legacy-site mapping, and the company/project identity remains too ambiguous to establish Khipu Blockchian as an official founding or original organization for KIP.",Official token listings identify KIP for Khipu; live branding is inconsistent across sources.,http://khipu.io/|https://coinmarketcap.com/currencies/khipu-token/,official_site|coinmarketcap,medium,yes,[]
1961,277572-79,Final Frontier,finalfrontier.io,investment_or_holdings,high,yes,Current token evidence maps to a Star Atlas DAO/gaming-guild project rather than the finance description; resolve identity carefully.,"[""Final Frontier""]","[""https://finalfrontier.io/""]",completed,2026-04-18T16:19:59Z,[],"the rule not included: FRNT evidence maps to a Final Frontier DAO/gaming-guild project in the Star Atlas ecosystem, but the task identity remains conflicted and evidence does not establish the PitchBook company as a founding organization of an underlying blockchain/protocol token ecosystem.",Token pages and project materials map Final Frontier to FRNT governance token.,https://finalfrontier.io/|https://coinmarketcap.com/currencies/final-frontier/,official_site|coinmarketcap,low,yes,[]
2373,465626-26,Peanut (Financial Services),peanut.trade,service_provider,high,yes,Token-launch and MEV market-making company with conflicting public token references that need review.,"[""Peanut Trade""]","[""https://peanut.trade/""]",completed,,[],the rule not included: Peanut evidence is split between service/market-making activity and conflicting NUX/NUTT token references; the current evidence does not clearly establish Peanut as an original founding protocol organization.,"Public token pages reference Peanut Trade with NUX, and a project page references NUTT; the mapping is not fully stable.",https://coinmarketcap.com/currencies/peanut/|https://peanuttrade.github.io/|https://www.linkedin.com/company/peanut-trade,coinmarketcap|official_site|secondary_source,medium,yes,[]
2380,654684-13,K4Coin,,dapp_or_product,high,yes,Stealth tokenization platform with no stable public project or token mapping.,[],[],completed,,[],the rule not included: no stable public K4Coin fungible token mapping or founding/original-organization evidence could be resolved from sparse public sources.,No public token mapping could be resolved from available sources.,https://www.google.com/search?q=K4Coin,secondary_source,medium,yes,[]
2395,277231-60,IoTBlock,iotblock.io,infrastructure_or_data,high,yes,Blockchain IoT infrastructure with conflicting legacy token references that need manual review.,"[""IoTBlock""]","[""https://iotblock.io/""]",completed,,[],the rule not included: IoTBlock has thin/conflicting legacy token references and the accessible official materials do not substantiate a stable IOTBLOCK token ecosystem or founding/original-organization role.,"Active and archived sources reference an IoTBlock token, but the identity and ticker history are inconsistent.",https://iotblock.io/|https://coinmarketcap.com/currencies/iotblock/|https://cryptorank.io/price/iotblock|https://medium.com/%40iotblock,official_site|coinmarketcap|secondary_source|official_site,medium,yes,[]
2463,935497-09,Ra Protocol,,infrastructure_or_data,high,yes,"Secondary token pages identify RA as the Ra Protocol token, but no official domain or primary source was available.","[""Ra Protocol""]",[],completed,2026-04-18T17:35:16Z,[],"RA is supported only by secondary token/launch references, and the available launch evidence points to Banz Capital rather than an official source showing Ra Protocol company as a founding/original organization.","AlphaGrowth and CoinStats both map Ra Protocol to RA, but the evidence remains secondary-only.",https://alphagrowth.io/ra-protocol|https://coinstats.app/coins/0xd01f23929421ff4da1a6a44817d98040b1028888_binance_smart/,secondary_source|secondary_source,medium,yes,[]
2482,557621-02,Fayda App,fayda.app,dapp_or_product,medium,yes,"Official site says rewards are tokenized into Fayda, and a public FAYD token listing exists, but the identity trail is noisy.","[""Fayda App""]","[""https://fayda.app/""]",completed,2026-04-18T17:35:16Z,[],"Fayda.app rewards references and public FAYD token pages point to noisy/mismatched identities, including fayda.games; no source establishes Fayda App as the founding organization of the FAYD token ecosystem.",Official site and token listings both point to a Fayda/FAYD rewards token.,https://fayda.app/|https://fayda.app/about|https://coinmarketcap.com/currencies/fayda/,official_site|official_site|coinmarketcap,medium,yes,[]
2534,463930-66,UGChain,ugchain.com,protocol_or_network,high,yes,CoinMarketCap and the project site identify UGC as the ugChain token.,"[""ugChain""]","[""http://www.ugchain.com/""]",completed,2026-04-18T12:00:00-07:00,[],"UGC maps to ugChain on token-data and legacy secondary pages, but the official site/whitepaper could not be verified and the available sources do not cleanly establish a the rule founding/original-organization role.",CoinMarketCap identifies UGC as the ugChain token and the project site matches the same project.,https://coinmarketcap.com/currencies/ugchain/|http://www.ugchain.com/,coinmarketcap|official_site,medium,yes,[]
2539,559665-28,Fraction AI,fractionai.xyz,protocol_or_network,medium,yes,"Official docs identify FRAC as Fraction AI's native token used for gas, staking, and rewards.","[""Fraction AI""]","[""https://fractionai.xyz/""]",completed,2026-04-18T12:00:00-07:00,[],"Fraction AI has secondary $FRAC references, but current official docs describe USDC rewards and Fractals/airdrop-style benefits rather than a confirmed official FRAC token, leaving the rule inclusion unresolved rather than supportable.",Official Fraction AI docs list FRAC as the native token and describe FRAC-based staking and reward flows.,https://docs.fractionai.xyz/technical-documentation|https://fractionai.xyz/,official_docs|official_site,high,yes,[]
2574,465358-42,Glozal(Specialty Retail),glozal.com,traditional_business,high,yes,Full resolution needed because the live site and legacy security-token announcement conflict with the dataset branding.,"[""Glozal""]","[""https://glozal.com/""]",completed,2026-04-18T12:00:00-07:00,"[""GLZ""]","the rule positive on legacy GLOZAL evidence: launch materials identify GLOZAL Inc. as the original NFT music platform organization issuing GLZ, but the current glozal.com real-estate branding conflict warrants manual review.","PRNewswire announces Glozal security token GLZ, but the current site now presents unrelated real-estate branding.",https://glozal.com/|https://www.prnewswire.com/news-releases/glozal-to-launch-its-security-token-offering-glz-on-september-2-2021-301363864.html,official_site|secondary_source,low,yes,"[{""token_symbol"":""GLZ"",""token_name"":""Glozal Security Token"",""token_url"":""https://www.prnewswire.com/news-releases/glozal-to-launch-its-security-token-offering-glz-on-september-2-2021-301363864.html"",""reason"":""Legacy GLOZAL launch evidence identifies GLOZAL Inc. as the original NFT music platform organization issuing GLZ, but the current live domain conflict keeps this under manual review."",""evidence_urls"":[""https://www.prnewswire.com/news-releases/glozal-to-launch-its-security-token-offering-glz-on-september-2-2021-301363864.html"",""https://www.einpresswire.com/article/567021923/glozal-creator-of-the-first-nft-music-player-will-be-unveiling-their-flagship-project-playone-on-april-1-in-miami""],""evidence_source_types"":[""press_release"",""press_release""]}]"
2657,178858-99,Great Coin,,dapp_or_product,high,yes,"Full resolution attempted, but legacy Great Coin / GX Coin references remain ambiguous enough to warrant review.","[""G-Coin""]","[""https://www.sec.gov/Archives/edgar/data/1656978/000101968715003979/coin_part2.htm""]",completed,2026-04-18T18:05:33Z,"[""G-Coin""]","Great Coin is the rule positive on SEC evidence showing Great Coin, Inc. as the original issuer/developer of G-Coins, but legacy G-Coin/GREAT/GX-Life naming remains ambiguous.","SEC filing and token explorer both point to Great Coin / G-Coin issuance, but legacy GX Coin references leave the mapping less than fully stable.",https://www.sec.gov/Archives/edgar/data/1656978/000101968715003979/coin_part2.htm|https://ethplorer.io/address/0x87fc480b011c1f11d81ac47b92a7b285d72b79c2,secondary_source|explorer,low,yes,"[{""token_symbol"": ""G-Coin"", ""token_name"": ""G-Coin"", ""token_url"": ""https://www.sec.gov/Archives/edgar/data/1656978/000101968715003979/coin_part2.htm"", ""reason"": ""Great Coin, Inc. qualifies on the SEC filing evidence because the company is identified as developing and offering G-Coins as its digital-security token system; explorer evidence uses related GREAT Coin naming, so token identity remains review-worthy."", ""evidence_urls"": [""https://www.sec.gov/Archives/edgar/data/1656978/000101968715003979/coin_part2.htm"", ""https://ethplorer.io/address/0x87fc480b011c1f11d81ac47b92a7b285d72b79c2""], ""evidence_source_types"": [""regulatory_filing"", ""explorer""]}]"
2635,463437-73,General Galactic (Financial Software),galactic.io,unclear,unclear,yes,Identity conflict between dataset row and live sources remains unresolved; no supported token mapping found.,[],[],completed,2026-04-18T18:01:30Z,[],"the rule not included: searches across galactic.io, legacy General Galactic/Skyteller, generalgalactic.io, and gengalactic.com did not confirm any company-founded fungible token; because the task identity remains conflicted, the the rule exclusion should be manually reviewed.","Live company pages conflict with the input row, so token absence is provisional.",https://gengalactic.com/|https://www.generalgalactic.io/|https://www.galactic.io/,official_site|official_site|official_site,low,yes,[]
2718,462098-62,Bertex,,service_provider,unclear,yes,Identity collision across Bertex/BERTEX companies; no unique company-owned fungible token resolved.,"[""Bertex""]",[],completed,2026-04-18T00:00:00Z,[],Bertex remains unresolved because the input identity collides with unrelated businesses and no stable company-owned token or original protocol-founding role could be confirmed.,"No stable token mapping. The name collides with unrelated Bertex businesses, so the blockchain-loyalty row could not be resolved confidently.",https://www.cbinsights.com/company/bertex|https://www.jetro.go.jp/en/invest/newsroom/2024/5795c37265e14ce6.html,secondary_source|secondary_source,low,yes,[]
2851,462654-19,Paraverse Technology,paraverse.cc,infrastructure_or_data,high,yes,Official Paraverse pages and whitepaper show a live PVS ecosystem token; PAR is mentioned as roadmap architecture and is not counted as a settled mapping.,"[""Paraverse ecosystem""]","[""https://paraverse.cc/""]",completed,2026-04-18T00:00:00Z,"[""PVS""]",Paraverse Technology satisfies the rule for PVS because official materials present the company as the original organization behind the Paraverse ecosystem and identify PVS as its utility token. PAR is not emitted because the available evidence shows roadmap/architecture language without a settled token page or contract in this task.,Official Paraverse token pages describe PVS as the ecosystem utility token.,https://paraverse.cc/pvs/|https://paraverse.cc/paraverse-pvs-token-officially-listed-on-solana/|https://paraverse.cc/about%20us,official_site|official_site|official_site,medium,yes,"[{""token_symbol"":""PVS"",""token_name"":""Paraverse Token"",""token_url"":""https://paraverse.cc/pvs/"",""reason"":""Official Paraverse Technology materials identify PVS as the utility token of the Paraverse ecosystem and say Paraverse Technology announced the listing as part of launching its decentralized real-time cloud rendering ecosystem."",""evidence_urls"":[""https://paraverse.cc/paraverse-pvs-token-officially-listed-on-solana/"",""https://paraverse.cc/pvs/"",""https://paraverse.cc/paraverse-releases-whitepaper-2025-decentralized-operations-and-trading-platforms-for-3d-digital-assets/""],""evidence_source_types"":[""official_site"",""official_site"",""official_site""]}]"
2856,461947-60,Tgrade,tgrade.finance,protocol_or_network,high,yes,"Secondary token pages identify TGD as Tgrade's ticker, but the official site no longer resolves and Messari conflicts with the token mapping.","[""Tgrade""]","[""https://blockspot.io/coin/tgrade/""]",completed,2026-04-18T00:00:00Z,[],"Secondary token pages identify TGD as a Tgrade token, but the official site is unavailable and the search did not establish Tgrade as an officially recognized founding or original organization for a token ecosystem.","Secondary token pages identify TGD, but official-site availability and Messari conflict keep the mapping unresolved.",https://blockspot.io/coin/tgrade/|https://coincodex.com/crypto/tgrade/|https://messari.io/project/tgrade,secondary_source|secondary_source|secondary_source,low,yes,[]
2915,461862-10,QPQ,qpq.io,protocol_or_network,high,yes,"Official QuantumProof pages show a live QP chain and token, but the input domain qpq.io currently resolves to maintenance, so the mapping is unstable.","[""QuantumProof""]","[""https://qqp.io/about.html""]",completed,2026-04-18T14:00:00-07:00,[],"No the rule token included: available QuantumProof pages describe a QP network/token, but they do not establish QPQ at qpq.io as an officially recognized founding entity; the qpq.io versus qqp.io identity mapping remains unstable.","Official QuantumProof pages show a live QP chain and token, but the input domain qpq.io is a maintenance page, so the identity mapping is unstable.",https://qpq.io/|https://qqp.io/about.html|https://qqp.io/,official_site|official_site|official_site,low,yes,[]
3012,178408-09,Bankorus,bankorus.com,dapp_or_product,high,yes,Bankorus token mapping remains secondary-only and ticker-collided; no clean current primary confirmation.,[],[],completed,,[],Bankorus has only secondary legacy BKT/BKTS token references and no reliable primary evidence establishing a the rule founding-token relationship.,"Secondary sources mention legacy BKT/BKTS claims for Bankorus, but no current primary source confirms a fungible token.",https://bitcointalk.org/index.php?topic=3215614.0|https://app.dealroom.co/companies/bankorus|https://www.youtocoin.com/hi/coin/bankorus|https://www.cbinsights.com/company/bankorus,secondary_source|secondary_source|secondary_source|secondary_source,low,yes,[]
3244,458401-96,Reneum,reneum.com,dapp_or_product,high,yes,Secondary and token-page sources map Reneum to the renewable-energy token RENEW.,"[""Reneum""]","[""https://reneum.com/marketplace""]",completed,2026-04-18T20:06:36Z,"[""RENEW""]","Reneum is treated as the rule positive for the RENEW token on legacy/secondary evidence tying Reneum to the original Proof-of-Impact marketplace, but token-symbol/source conflicts require manual review.","Reneum is publicly mapped to the RENEW renewable-energy token, but the primary record is thin.",https://reneum.com/marketplace|https://www.eco-business.com/press-releases/reneum-announces-platform-to-accelerate-the-energy-transition/|https://www.coingecko.com/en/coins/renew,official_site|secondary_source|token_page,medium,yes,"[{""token_symbol"":""RENEW"",""token_name"":""ReNeW"",""token_url"":""https://www.saurenergy.com/solar-energy-news/green-marketplace-reneum-raises-4-1m-pre-seed-funding-led-by-ajeej-capital"",""reason"":""Reneum/Reneum Institute is evidenced as the original web3 climate marketplace and Proof-of-Impact platform, and secondary/press sources identify RENEW tokens as the platform tokens; symbol/source conflict keeps review open."",""evidence_urls"":[""https://www.saurenergy.com/solar-energy-news/green-marketplace-reneum-raises-4-1m-pre-seed-funding-led-by-ajeej-capital"",""https://www.eco-business.com/press-releases/reneum-announces-platform-to-accelerate-the-energy-transition/""],""evidence_source_types"":[""secondary_source"",""press_release""]}]"
3256,461848-42,Helixyz ICO,helixyz.com,dapp_or_product,high,yes,"Dealroom and related sources indicate a proprietary cryptocurrency project, but no supported token ticker could be verified cleanly.","[""Helixyz ICO""]","[""https://helixyz.com""]",completed,2026-04-18T20:06:36Z,[],"Helixyz ICO has historical/proprietary cryptocurrency signals, but no stable supported ticker or evidence connecting Helixyz itself to a the rule founding-token ecosystem could be resolved.","Secondary sources describe a proprietary cryptocurrency and ICO history, but no supported public ticker was found.",https://app.dealroom.co/companies/helixyz_ico|https://latvia.beta.dealroom.co/companies/helixyz_ico,secondary_source|secondary_source,low,yes,[]
3266,554349-43,MagnetAI (Business/Productivity Software),,dapp_or_product,medium,yes,"ModelFi / GPU-sharing platform found, but no supported fungible token ticker was resolved.","[""MagnetAI""]","[""https://magnetai-showcase.webflow.io/""]",completed,2026-04-18T20:06:36Z,[],"MagnetAI has ModelFi/protocol tokenization language, but no supported public fungible ticker or the rule qualifying token evidence was resolved.","Official showcase and F6S describe a tokenization-heavy ModelFi platform, but no supported public token ticker was found.",https://magnetai-showcase.webflow.io/|https://www.f6s.com/company/magnetai,official_site|secondary_source,low,yes,[]
3382,551288-80,Star Fate,starfatetoken.com,dapp_or_product,medium,yes,Secondary token pages map Star Fate to SFE.,"[""Star Fate""]","[""https://starfatetoken.net""]",completed,,[],"Secondary pages map Star Fate to SFE, but no official or current source established Star Fate as an original founding organization of a blockchain/protocol ecosystem; the the rule inclusion remains unresolved.",Secondary token directories map Star Fate to SFE; official site was not stable enough to corroborate cleanly.,https://coinpaprika.com/coin/sfe-star-fate/|https://coincodex.com/crypto/star-fate/|https://blockspot.io/coin/star-fate/,secondary_source|secondary_source|secondary_source,low,yes,[]
3302,267798-52,Zeus Exchange,zeus.exchange,exchange_or_broker,high,yes,Official whitepaper defines $ZUS as the platform utility/governance token.,"[""ZEUS Exchange""]","[""https://zeus-exchange.gitbook.io/white-paper-zeus-exchange""]",completed,2026-04-18T20:39:58Z,"[""ZUS""]","Official ZEUS Exchange documentation identifies ZEUS Exchange as the original decentralized exchange protocol ecosystem and ZUS as its utility/governance token, but launch/contract status remains partially unresolved.",Official whitepaper defines $ZUS as the platform utility/governance token.,https://zeus-exchange.gitbook.io/white-paper-zeus-exchange|https://zeus-exchange.gitbook.io/white-paper-zeus-exchange/tokenomics,official_docs|official_docs,medium,yes,"[{""token_symbol"":""ZUS"",""token_name"":""ZUS"",""token_url"":""https://zeus-exchange.gitbook.io/white-paper-zeus-exchange/tokenomics"",""reason"":""Official ZEUS Exchange documentation identifies ZEUS Exchange as the original decentralized exchange protocol ecosystem and ZUS as its utility/governance token, but launch/contract status remains partially unresolved."",""evidence_urls"":[""https://zeus-exchange.gitbook.io/white-paper-zeus-exchange"",""https://zeus-exchange.gitbook.io/white-paper-zeus-exchange/tokenomics""],""evidence_source_types"":[""official_docs"",""official_docs""]}]"
3321,268061-86,Mefy Care,mefy.care,traditional_business,medium,yes,Former name MeMe Care and the current brand/legacy token lineage require a full continuity pass.,"[""MeFy""]","[""https://mefy.care/""]",completed,2026-04-18T20:39:58Z,"[""MEFY""]","Legacy MeFy evidence maps MeFy/MeMe Care to the original MEFY healthcare-token ecosystem, but the active official identity is thin and evidence is secondary-heavy.","Secondary token pages tie former MeMe Care/MeFy to ERC-20 token MEFY, but the current site is healthcare software.",https://icomarks.ai/ico/mefy|https://crunchbase.com/organization/mefy-care,secondary_source|secondary_source,low,yes,"[{""token_symbol"":""MEFY"",""token_name"":""MeFy"",""token_url"":""https://icomarks.ai/ico/mefy"",""reason"":""Legacy MeFy evidence maps MeFy/MeMe Care to the original MEFY healthcare-token ecosystem, but the active official identity is thin and evidence is secondary-heavy."",""evidence_urls"":[""https://icomarks.ai/ico/mefy"",""https://medium.com/@syafaa/mefy-global-blockchain-platform-for-health-monitoring-eaffc1830690""],""evidence_source_types"":[""secondary_source"",""secondary_source""]}]"
