task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,project_search_required,project_search_reason,project_name,project_url,status,completed_at,token_results,token_decision_reason,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
31,481270-78,Aria Health,myaria.health,dapp_or_product,medium,yes,"Official site describes token-based rewards, but Messari lists Aria Health as No Token and no current official token page was found after the resolution pass.","[""Aria""]","[""https://www.myaria.health/""]",completed,2026-04-17T10:30:00-07:00,[],No the rule token is included because the completed company-to-token search found no reliable company-owned fungible token for Aria Health.,"Official site uses token-based rewards language, but no company-owned fungible token was found.",https://www.myaria.health/|https://www.myaria.health/about-us|https://messari.io/project/aria-health,official_site|official_site|messari,medium,no
32,481872-34,warena,warena.io,gaming_or_nft,high,yes,official docs identify RENA as the Warena token,"[""Warena""]","[""https://warena.gitbook.io/warena"",""https://www.warena.io/""]",completed,,[],"Warena maps to the RENA game token, but the company/project is a play-to-earn NFT game rather than an officially recognized founding entity or original organization of a blockchain/protocol ecosystem.",official docs and token pages map Warena to RENA,https://warena.gitbook.io/warena/gameplay/phase-1-2d-tower-defence-game/guide-for-beginners|https://teamwarena.medium.com/warena-sho-whitelist-announcement-rena-goes-on-sale-on-daomaker-7d482960cbba|https://coinmarketcap.com/currencies/warena/,official_site|docs|coinmarketcap,high,no
33,481901-32,Xriba,xriba.com,protocol_or_network,high,yes,Xriba token pages identify XRA,"[""Xriba""]","[""https://xriba.com/""]",completed,,"[{""token_symbol"":""XRA"",""token_name"":""Xriba Token"",""token_url"":""https://coinmarketcap.com/currencies/xriba/"",""reason"":""Secondary token-data evidence states that XRA was developed by Xriba and powers the Xriba Ecosystem, supporting Xriba as the original organization for the token ecosystem."",""evidence_urls"":[""https://www.bitdegree.org/cryptocurrency-prices/xriba-xra-price"",""https://coinmarketcap.com/currencies/xriba/""],""evidence_source_types"":[""secondary_source"",""coinmarketcap""]}]",Xriba satisfies the rule for XRA because reliable token-data sources identify XRA as developed by Xriba and used to power/govern the Xriba Ecosystem.,token page maps XRA to the Xriba ecosystem,https://coinmarketcap.com/currencies/xriba/|https://en.cryptonomist.ch/2021/12/07/xriba-association-blockchain-accounting/,coinmarketcap|secondary_source,medium,no
34,481904-92,Tongtai Tech,ttaicloud.com,security_or_compliance,none,no,privacy-computing security vendor; no owned crypto project signal,[],[],completed,,[],No the rule token is included because Tongtai Tech was resolved as a privacy-computing security vendor with no owned fungible token or founding-token ecosystem evidence.,skip candidate; no token search budget justified,https://ttaicloud.com/,official_site,low,no
35,481279-87,Meld,meld.io,infrastructure_or_data,low,yes,exact-domain probe found no native token,"[""Meld""]","[""https://meld.io/"",""https://docs.meld.io/docs/supported-crypto-currencies""]",completed,,[],No the rule token is included because the completed search found no native Meld fungible token and no founding/original-organization token ecosystem evidence.,official site and docs describe a network and API only; no fungible token found,https://meld.io/|https://docs.meld.io/docs/supported-crypto-currencies,official_site|docs,low,no
36,481940-11,Coinshift,coinshift.xyz,infrastructure_or_data,high,yes,"official docs list SHIFT, csUSDL, and csUSDC as Coinshift assets","[""Coinshift""]","[""https://docs.coinshift.xyz/""]",completed,,[],"Coinshift maps to Coinshift product and vault/governance assets, but the evidence does not show Coinshift as an officially recognized founding entity or original founding organization of a blockchain/protocol ecosystem.",official docs map Coinshift to csUSDL csUSDC and SHIFT,https://docs.coinshift.xyz/|https://docs.coinshift.xyz/coinshift-assets/csusdl/coinshift-usdl-vault/characteristics|https://docs.coinshift.xyz/coinshift-assets/shift,official_site|docs,high,no
37,481291-93,iCoin,icointechnology.com,wallet_or_custody,low,yes,exact-domain probe found no owned token,"[""iCoin""]","[""https://icointechnology.com/""]",completed,,[],No the rule token is included because the completed search found no iCoin fungible token and no founding/original-organization token ecosystem evidence.,official site is a wallet product; no fungible token found,https://icointechnology.com/,official_site,low,no
38,481952-53,Layer3,layer3.xyz,protocol_or_network,high,yes,Layer3 foundation docs identify L3 as the protocol token,"[""Layer3""]","[""https://layer3.xyz/""]",completed,,"[{""token_symbol"":""L3"",""token_name"":""Layer3"",""token_url"":""https://docs.layer3foundation.org/governance"",""reason"":""Official Layer3 Foundation docs identify Layer3 Protocols, L3 as the token used to manage the protocols, and the Foundation/core-contributor structure supporting the original Layer3 protocol ecosystem."",""evidence_urls"":[""https://docs.layer3foundation.org/layer3-protocols"",""https://docs.layer3foundation.org/governance"",""https://docs.layer3foundation.org/tokenomics""],""evidence_source_types"":[""official_docs"",""official_docs"",""official_docs""]}]","Layer3 satisfies the rule for L3 because official Foundation docs identify the Layer3 Protocols, the L3 protocol token, and the original Foundation/core-contributor protocol structure.",official docs and token pages map Layer3 to L3,https://layer3.xyz/|https://tokenomist.ai/layer3/tokenomics|https://bitmart.zendesk.com/hc/en-us/articles/27825317590299-Layer3-L3,official_site|docs|secondary_source,high,no
39,481960-54,Kokoa Finance,kokoa.finance,protocol_or_network,high,yes,official docs describe a two-token system with KSD and KOKOA,"[""Kokoa Finance""]","[""https://docs.kokoa.finance/""]",completed,,"[{""token_symbol"":""KSD"",""token_name"":""KSD stablecoin"",""token_url"":""https://docs.kokoa.finance/"",""reason"":""Official Kokoa Finance docs describe Kokoa Finance as a crypto-asset-backed stablecoin platform adopting a two-token system with KSD and KOKOA, supporting Kokoa Finance as the original protocol organization for the KSD/KOKOA ecosystem."",""evidence_urls"":[""https://docs.kokoa.finance/"",""https://coinmarketcap.com/currencies/kokoa-finance/""],""evidence_source_types"":[""official_docs"",""coinmarketcap""]},{""token_symbol"":""KOKOA"",""token_name"":""KOKOA governance token"",""token_url"":""https://coinmarketcap.com/currencies/kokoa-finance/"",""reason"":""Official Kokoa Finance docs describe KOKOA as the governance token for Kokoa DAO within Kokoa Finance\u2019s two-token stablecoin protocol, supporting Kokoa Finance as the original protocol organization."",""evidence_urls"":[""https://docs.kokoa.finance/"",""https://coinmarketcap.com/currencies/kokoa-finance/""],""evidence_source_types"":[""official_docs"",""coinmarketcap""]}]",Kokoa Finance satisfies the rule for KSD and KOKOA because official docs describe the Kokoa Finance stablecoin protocol and its original two-token system.,official docs map Kokoa Finance to KSD and KOKOA,https://docs.kokoa.finance/|https://coinmarketcap.com/ko/currencies/kokoa-finance/,official_site|docs|coinmarketcap,high,no
40,481982-05,Meow Technologies,meow.com,service_provider,low,yes,exact-domain probe found no owned token,"[""Meow""]","[""https://meow.com/""]",completed,,[],No the rule token is included because the completed search found no Meow Technologies fungible token and no founding/original-organization token ecosystem evidence.,official site describes treasury and banking services only,https://meow.com/,official_site,low,no
41,481986-10,Rarimo,rarimo.com,infrastructure_or_data,high,yes,official docs and whitepaper define RMO as the protocol token,"[""Rarimo""]","[""https://rarimo.com/""]",completed,,"[{""token_symbol"":""RMO"",""token_name"":""RMO"",""token_url"":""https://docs.rarimo.com/resources/glossary/"",""reason"":""Official Rarimo docs state that Rarimo is building a permissionless ZK Registry and identify RMO as the Rarimo token used for governance and protocol/oracle staking, supporting Rarimo as the original protocol organization."",""evidence_urls"":[""https://docs.rarimo.com/"",""https://docs.rarimo.com/resources/glossary/"",""https://rarimo.gitbook.io/rarimo-whitepaper/rarimo-whitepaper/utilities-of-the-token""],""evidence_source_types"":[""official_docs"",""official_docs"",""whitepaper""]}]",Rarimo satisfies the rule for RMO because official docs identify Rarimo as the protocol/registry builder and RMO as the protocol token used in governance and security.,official docs and whitepaper map Rarimo to RMO,https://rarimo.com/|https://docs.rarimo.com/resources/glossary/|https://rarimo.gitbook.io/rarimo-whitepaper/rarimo-whitepaper/utilities-of-the-token,official_site|docs|whitepaper,high,no
42,482021-38,Reasoned Art,reasonedart.com,gaming_or_nft,none,no,NFT art gallery only; no fungible token signal,[],[],completed,,[],No the rule token is included because the completed search resolved Reasoned Art as an NFT art gallery with no fungible token or founding-token ecosystem evidence.,NFT-only platform; no fungible token search budget justified,https://reasonedart.com/,official_site,low,no
43,482022-28,Utopia (Financial Software),utopialabs.com,service_provider,low,yes,DAO ops software; exact-domain probe found no native token,"[""Utopia Labs""]","[""https://utopialabs.com/""]",completed,,[],No the rule token is included because the completed search found no Utopia Labs fungible token and no founding/original-organization token ecosystem evidence.,official site describes DAO operations software only; no fungible token found,https://utopialabs.com/,official_site,low,no
44,481308-22,FantomStarter,fantomstarter.io,protocol_or_network,high,yes,secondary sources identify FS as the FantomStarter token,"[""FantomStarter""]","[""https://fantomstarter.io/""]",completed,,[],"FantomStarter maps to the FS launchpad token, but the company/project is a fundraising and launchpad platform rather than an officially recognized founding entity or original organization of a blockchain/protocol ecosystem.",secondary market pages map FantomStarter to FS,https://fantomstarter.io/|https://chainbroker.io/projects/fantomstarter/|https://www.criptolog.com/coin/fantomstarter/,official_site|secondary_source,medium,no
45,482035-33,Ojamu AI,ojamuai.com,dapp_or_product,high,yes,official site and staking page identify OJA,"[""Ojamu""]","[""https://www.ojamuai.com/""]",completed,,[],"Ojamu AI maps to the OJA platform token, but the evidence frames the company as an AI and blockchain marketing product rather than a founding entity or original organization of a blockchain/protocol ecosystem.",official site exposes OJA staking,https://www.ojamuai.com/|https://www.ojamuai.com/staking,official_site,high,no
46,481316-14,GamyFI Labs,gamyfi.org,gaming_or_nft,high,yes,official site and token announcement identify GFX,"[""GamyFi""]","[""https://gamyfi.org/""]",completed,,[],"GamyFI Labs maps to the GFX gaming token, but the company/project is a fantasy sports and NFT gaming platform rather than a founding entity or original organization of a blockchain/protocol ecosystem.",official site and token pages map GamyFi to GFX,https://gamyfi.org/|https://beatmarket.com/analytics/cryptos/gamyfi-token,official_site|secondary_source,high,no
47,481323-25,Bubblehouse,bubblehouse.com,gaming_or_nft,none,no,NFT loyalty marketplace only; no fungible token signal,[],[],completed,,[],No the rule token is included because the completed search resolved Bubblehouse as an NFT loyalty marketplace with no fungible token or founding-token ecosystem evidence.,NFT-only loyalty marketplace; no token search budget justified,https://bubblehouse.com/,official_site,low,no
48,482110-21,DFarm,dfarminc.com,traditional_business,none,no,traditional produce-supply software; blockchain mention is incidental,[],[],completed,,[],No the rule token is included because DFarm was resolved as traditional produce-supply software with no owned fungible token or founding blockchain/protocol role.,no owned fungible token signal,https://dfarminc.com/,official_site,low,no
49,482119-93,Sturdy.,sturdy.co,gaming_or_nft,none,no,NFT-only platform; no fungible token signal,[],[],completed,,[],No the rule token is included because Sturdy was resolved as an NFT-only platform with no fungible token or founding-token ecosystem evidence.,NFT-only platform; no token search budget justified,https://sturdy.co/,official_site,low,no
50,482141-35,Easy Crypto,easycrypto.com,exchange_or_broker,none,no,crypto exchange with no owned token signal,[],[],completed,,[],No the rule token is included because Easy Crypto was resolved as a crypto exchange or broker with no owned fungible token or founding blockchain/protocol role.,exchange services only,https://easycrypto.com/,official_site,low,no
51,481315-33,Prostarter,prostarter.io,protocol_or_network,high,yes,secondary sources identify PROT as the Prostarter token,"[""Prostarter""]","[""https://prostarter.io/""]",completed,,[],"Prostarter maps to the PROT launchpad token, but the company/project is a fundraising and token-sale platform rather than an officially recognized founding entity or original organization of a blockchain/protocol ecosystem.",secondary token pages map Prostarter to PROT,https://prostarter.io/|https://whattofarm.io/tokens/prostarter-token-prot,official_site|secondary_source,medium,no
52,481337-65,Light (San Francisco),light.so,gaming_or_nft,none,no,NFT/metaverse exploration app only; no fungible token signal,[],[],completed,,[],No the rule token is included because Light was resolved as an NFT/metaverse exploration app with no fungible token or founding-token ecosystem evidence.,NFT-focused app; no token search budget justified,https://light.so/,official_site,low,no
53,482156-56,AIDONIC,aidonic.io,service_provider,none,no,humanitarian aid platform uses blockchain but no owned token signal,[],[],completed,,[],No the rule token is included because AIDONIC was resolved as humanitarian aid tooling that uses blockchain with no owned fungible token or founding blockchain/protocol role.,blockchain aid tooling only,https://aidonic.io/,official_site,low,no
54,481339-00,Nifty Island,niftyisland.com,gaming_or_nft,high,yes,official guide names ISLAND as the native token,"[""Nifty Island""]","[""https://guide.niftyisland.com/""]",completed,,[],"Nifty Island maps to the ISLAND game and creator-economy token, but the company/project is a social gaming and NFT ecosystem rather than a founding entity or original organization of a blockchain/protocol ecosystem.",official guide and token pages map Nifty Island to ISLAND,https://guide.niftyisland.com/|https://guide.niftyisland.com/island-token/token-utility|https://guide.niftyisland.com/how-to-earn,official_site|docs,high,no
55,482160-34,Vesta Equity,vestaequity.net,infrastructure_or_data,low,yes,exact-domain probe found no native token,"[""Vesta Equity""]","[""https://vestaequity.net/""]",completed,,[],No the rule token is included because the completed search found tokenized real-estate asset activity but no Vesta Equity company fungible token or founding-token ecosystem evidence.,official site and press coverage describe tokenized real-estate assets but no company token found,https://vestaequity.net/|https://www.prnewswire.com/news-releases/vesta-equity-launches-global-real-estate-nft-marketplace-on-algorand-301479069.html,official_site|secondary_source,low,no
