task_index,company_id,company_name,normalized_domain,company_type,crypto_project_likelihood,search_tier,project_search_required,risk_flags,classifier_reason
25,104756-14,VALIDATED ID,validatedid.com,security_or_compliance,low,light,yes,"[""blockchain_keyword_only""]","Identity/signature SaaS using cryptographic tech; no owned token signal, but exact-domain probe is cheap."
26,481264-03,New Renaissance,newrenaissance.io,gaming_or_nft,low,skip_candidate,no,"[""nft_only""]","NFT marketplace without fungible token signal; per scope, no token search budget justified."
27,481266-01,Cybera,cybera.io,security_or_compliance,low,light,yes,"[""exchange_security_context""]","Cybersecurity platform serving crypto exchanges; exact-domain token probe warranted, but no owned token signal."
28,293426-47,Good Stock,goodstocksoups.com,gaming_or_nft,low,light,yes,"[""brand_project_mismatch"",""nft_or_gaming""]","Current site is a gambling/content site; no owned fungible token surfaced on exact-domain probe, but the row's blockchain/gaming context justified a bounded search."
29,481864-42,Angle (Financial Software),angle.money,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Stablecoin protocol with an owned governance token and active token docs.
30,481270-69,SolarMente,solarmente.es,traditional_business,none,skip_candidate,no,"[""keyword_noise""]",Solar installer/energy services company; blockchain keyword is incidental and no owned token signal.
31,481270-78,Aria Health,myaria.health,dapp_or_product,medium,full,yes,"[""protocol_keyword"",""token_keyword""]",Aria Health is a blockchain-based health data platform with tokenized rewards language; confirm whether a native token exists.
32,481872-34,warena,warena.io,gaming_or_nft,high,full,yes,"[""token_keyword"",""game_token_terms""]",game/metaverse project with explicit RENA and WARE token references
33,481901-32,Xriba,xriba.com,protocol_or_network,high,full,yes,"[""token_keyword""]",blockchain accounting protocol with XRA token references
34,481904-92,Tongtai Tech,ttaicloud.com,security_or_compliance,none,skip_candidate,no,[],privacy-computing security vendor; no owned crypto project signal
35,481279-87,Meld,meld.io,infrastructure_or_data,low,light,yes,"[""api_network""]",digital asset network and API; cheap token probe warranted
36,481940-11,Coinshift,coinshift.xyz,infrastructure_or_data,high,full,yes,"[""former_name"",""token_keyword""]",treasury platform with official SHIFT csUSDL and csUSDC docs
37,481291-93,iCoin,icointechnology.com,wallet_or_custody,low,light,yes,"[""token_keyword""]",hardware wallet product; cheap token probe warranted
38,481952-53,Layer3,layer3.xyz,protocol_or_network,high,full,yes,"[""token_keyword""]",Layer3 foundation docs identify L3 as the protocol token
39,481960-54,Kokoa Finance,kokoa.finance,protocol_or_network,high,full,yes,"[""token_keyword""]",stablecoin protocol with official KSD and KOKOA docs
40,481982-05,Meow Technologies,meow.com,service_provider,low,light,yes,"[""crypto_partner""]",treasury platform references crypto lenders but no owned token signal
41,481986-10,Rarimo,rarimo.com,infrastructure_or_data,high,full,yes,"[""token_keyword""]",ZK identity infrastructure with RMO token docs
42,482021-38,Reasoned Art,reasonedart.com,gaming_or_nft,none,skip_candidate,no,[],NFT art gallery only; no fungible token signal
43,482022-28,Utopia (Financial Software),utopialabs.com,service_provider,low,light,yes,"[""dao_ops""]",DAO ops software; cheap token probe warranted
44,481308-22,FantomStarter,fantomstarter.io,protocol_or_network,high,full,yes,"[""token_keyword""]",launchpad protocol with FS token pages
45,482035-33,Ojamu AI,ojamuai.com,dapp_or_product,high,full,yes,"[""token_keyword""]",Ojamu site and staking page identify OJA token
46,481316-14,GamyFI Labs,gamyfi.org,gaming_or_nft,high,full,yes,"[""token_keyword""]",GamyFi site and token announcement identify GFX
47,481323-25,Bubblehouse,bubblehouse.com,gaming_or_nft,none,skip_candidate,no,[],NFT loyalty marketplace only; no fungible token signal
48,482110-21,DFarm,dfarminc.com,traditional_business,none,skip_candidate,no,[],traditional produce-supply software; blockchain mention is incidental
49,482119-93,Sturdy.,sturdy.co,gaming_or_nft,none,skip_candidate,no,[],NFT-only platform; no fungible token signal
50,482141-35,Easy Crypto,easycrypto.com,exchange_or_broker,none,skip_candidate,no,[],crypto exchange with no owned token signal
51,481315-33,Prostarter,prostarter.io,protocol_or_network,high,full,yes,"[""token_keyword""]",DeFi fundraising platform with PROT token pages
52,481337-65,Light (San Francisco),light.so,gaming_or_nft,none,skip_candidate,no,[],NFT/metaverse exploration app only; no fungible token signal
53,482156-56,AIDONIC,aidonic.io,service_provider,none,skip_candidate,no,[],humanitarian aid platform uses blockchain but no owned token signal
54,481339-00,Nifty Island,niftyisland.com,gaming_or_nft,high,full,yes,"[""token_keyword""]",Nifty Island guide names ISLAND as native utility token
55,482160-34,Vesta Equity,vestaequity.net,infrastructure_or_data,low,light,yes,"[""tokenization_terms""]",real-estate tokenization OS; exact-domain probe warranted
56,482163-49,CoinMENA,coinmena.com,exchange_or_broker,none,skip_candidate,no,[],crypto exchange with no owned token signal
57,482168-44,The Convo Space,theconvo.space,protocol_or_network,low,light,yes,"[""protocol_terms""]",decentralized conversation protocol; cheap token probe warranted
58,482189-23,RabbitX,intro.rabbitx.com,protocol_or_network,high,full,yes,"[""token_keyword""]",decentralized derivatives protocol with RBX token docs
59,481364-02,Minterest,minterest.com,protocol_or_network,high,full,yes,"[""token_keyword""]",lending protocol with MINTY token docs
60,481367-53,Maxwell Labs,mxllabs.com,traditional_business,none,skip_candidate,no,[],photonic cooling hardware company; crypto keyword is incidental
61,481368-61,QTI,qticompany.com,traditional_business,none,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",Quantum security company; crypto keyword is incidental.
62,481370-68,Spice AI,spice.ai,infrastructure_or_data,none,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",AI and data infra company; blockchain match is incidental.
63,482267-35,Tinyman,tinyman.org,exchange_or_broker,high,full,yes,[],DeFi AMM with a native governance token.
64,482282-29,Kollect.Cards,kollect.cards,gaming_or_nft,low,skip_candidate,no,"[""nft_or_gaming""]",NFT card platform with no fungible token signal.
65,482282-65,PureFi,purefi.io,security_or_compliance,high,full,yes,[],Compliance protocol with a native token project.
66,482283-91,XY Finance,xy.finance,protocol_or_network,high,full,yes,[],Cross-chain DeFi protocol with a native token project.
67,481381-48,onCyber,oncyber.io,dapp_or_product,low,skip_candidate,no,"[""nft_or_gaming""]",NFT display platform with no fungible token signal.
68,482300-65,GooseFX,goosefx.io,exchange_or_broker,high,full,yes,[],DeFi trading platform with a native token project.
69,482309-56,Blockfish,blockfish.io,gaming_or_nft,low,skip_candidate,no,"[""nft_or_gaming""]",Blockchain gaming platform with no fungible token signal.
70,482310-46,W3Block,w3block.io,dapp_or_product,low,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",NFT tokenization platform with no owned fungible token signal.
71,482317-03,KlimaDAO,klimadao.finance,protocol_or_network,high,full,yes,[],DAO protocol with a native carbon token project.
72,481387-15,Pledge Finance,pledger.finance,protocol_or_network,high,full,yes,"[""protocol_keyword""]",DeFi lending protocol with token evidence in the whitepaper.
73,482334-31,t3rn,t3rn.io,protocol_or_network,high,full,yes,[],Cross-chain execution protocol with a native token.
74,481396-42,BagIt Solutions,tasteport.com,traditional_business,none,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",Food-tech platform; web3 keyword is incidental.
75,481395-34,LayerZero,layerzero.network,protocol_or_network,high,full,yes,[],Interoperability protocol with a clear native token project.
76,482356-36,Digital Supply Chain Technology,shdatalink.com,infrastructure_or_data,low,skip_candidate,no,"[""token_keyword""]",Enterprise blockchain data platform with no owned token signal.
77,481397-32,Astarter,astarter.io,protocol_or_network,high,full,yes,[],Cardano DeFi hub with a native token project.
78,482360-05,Connected Medical System,,traditional_business,low,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",Blockchain medical record system with no owned token signal.
79,481405-60,Robes (IT Consulting and Outsourcing),robes.co.jp,service_provider,low,skip_candidate,no,"[""alias_or_former_name"",""thin_source_context""]",IT consulting and outsourcing with no owned token signal.
80,482369-23,ReNFT,renft.io,protocol_or_network,low,skip_candidate,no,"[""nft_or_gaming""]",NFT rental protocol with no fungible token signal.
81,481407-76,Mint Songs,mintsongs.com,dapp_or_product,low,skip_candidate,no,"[""nft_or_gaming""]",Music NFT marketplace with no fungible token signal.
82,482406-13,IPOR,ipor.io,protocol_or_network,high,full,yes,[],Interest-rate DeFi protocol with a native token.
83,482417-02,Ground (Business/Productivity Software),joinground.com,traditional_business,none,skip_candidate,no,"[""token_keyword""]",Productivity software; crypto keywords are incidental.
84,481417-93,FANZONE.io,fanzone.cloud,dapp_or_product,low,skip_candidate,no,"[""nft_or_gaming""]",Digital collectibles app with no fungible token signal.
85,481423-96,Violet,violet.co,security_or_compliance,low,skip_candidate,no,"[""protocol_keyword"",""thin_source_context""]",Compliance protocol exposes access tokens and NTTs only.
86,482431-24,Vietnam Blockchain Corporation,vietnamblockchain.asia,service_provider,low,skip_candidate,no,"[""token_keyword""]",Blockchain consulting and software services with no owned token signal.
87,482434-03,Thorstarter,thorswap.finance,dapp_or_product,high,full,yes,"[""token_keyword""]",IDO/venture DAO launchpad with explicit native currency XRUNE in official docs and FAQ; requires full project/token confirmation.
88,481429-63,Silicon (Plano),silicon.inc,service_provider,none,skip_candidate,no,"[""token_keyword"",""thin_source_context""]",Technology consulting with blockchain as a service capability.
89,481427-65,Danvas,danvas.art,dapp_or_product,low,skip_candidate,no,"[""nft_or_gaming""]",Digital art display platform with no fungible token signal.
90,482444-74,Hal (Business/Productivity Software),hal.xyz,infrastructure_or_data,low,skip_candidate,no,"[""protocol_keyword"",""thin_source_context""]",Web3 infrastructure product with no fungible token signal.
91,482462-02,Data Mynt,datamynt.com,traditional_business,none,skip_candidate,no,"[""token_keyword"", ""thin_source_context""]",fintech payments company; crypto keyword is incidental and no owned token signal
92,481446-28,Marvion Media,marvion.net,gaming_or_nft,medium,full,yes,"[""nft_or_gaming"",""token_keyword""]",Official site uses blockchain/NFT language and DOT ownership tokens; full search needed to confirm whether any fungible ticker exists.
93,481446-64,GFX Labs,gfx.xyz,dapp_or_product,low,light,yes,"[""thin_source_context""]",crypto product studio with no clear native token
94,481415-41,Naapbooks,naapbooks.com,service_provider,none,skip_candidate,no,"[""token_keyword"", ""thin_source_context""]",IT services company with generic blockchain app wording; no owned project/token signal
95,481417-12,Bunicorn,buni.finance,dapp_or_product,high,full,yes,"[""nft_or_gaming""]",web3 game and DEX ecosystem with native token
96,482483-89,Loanbase,loanbase.com,traditional_business,none,skip_candidate,no,"[""blockchain_keyword_only""]",Commercial real-estate lending marketplace; blockchain/NFT wording in the pitchbook context did not resolve to any owned crypto project or token signal.
97,481448-98,Sea Green,sea.green,infrastructure_or_data,none,skip_candidate,no,"[""thin_source_context""]",data intelligence company with incidental blockchain keywords and no owned token signal
98,481454-65,Riseonline Entertainment,roco.finance,dapp_or_product,high,full,yes,"[""nft_or_gaming""]",GameFi platform with native ROCO token
99,481455-01,Structure,structure.fi,protocol_or_network,high,full,yes,"[""protocol_keyword""]",DeFi structured-products protocol with STF token
100,481455-19,Vader,vaderprotocol.io,protocol_or_network,high,full,yes,"[""protocol_keyword""]",liquidity protocol with native VADER and USDV tokens
101,481458-07,Huddle01,huddle01.com,protocol_or_network,high,full,yes,"[""protocol_keyword""]",decentralized communication network with HUDL token
102,482513-32,Leeway (Financial Software),theleeway.com,service_provider,none,skip_candidate,no,[],Split-payment SaaS; crypto keyword is incidental and no owned token/project signal.
103,482520-88,Arkham,intel.arkm.com,infrastructure_or_data,high,full,yes,"[""protocol_keyword""]",onchain intelligence platform with ARKM governance token
104,481465-54,Skytale,skytale.finance,service_provider,low,light,yes,"[""token_keyword""]","Skytale is a crypto asset operations platform with wallet and token-trade language, but it is more likely a service provider than a token issuer."
105,481444-30,Defina,defina.finance,gaming_or_nft,high,full,yes,"[""nft_or_gaming""]",GameFi project with FINA token
106,481465-99,Pretoria Research Lab,pretoriaresearchlab.io,service_provider,none,skip_candidate,no,"[""thin_source_context""]",research/support lab for protocols with no owned token signal
107,482555-62,Gadze Finance,gadze.finance,investment_or_holdings,none,skip_candidate,no,"[""thin_source_context""]",crypto fund / hedge fund with no owned project or token
108,481475-98,Nightverse,nightverse.game,gaming_or_nft,high,full,yes,"[""nft_or_gaming""]",Solana-based NFT game with NVG token
109,481476-16,Skyscend,skyscend.com,infrastructure_or_data,medium,light,yes,"[""thin_source_context""]",blockchain supply-chain finance platform with no clear native token
110,481481-02,Magna,magna.so,service_provider,none,skip_candidate,no,"[""thin_source_context""]",token management platform with no owned token project
111,481477-96,Whale (Financial Services),whale.me,gaming_or_nft,high,full,yes,"[""nft_or_gaming""]",DAO-backed NFT vault project with WHALE token
112,481483-00,Papyrus Network,papyrus.network,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Mainnet-live blockchain network with token stake-based resource management and PPR token governance/reward language; requires full mapping.
113,482588-38,PreStocks,prestocks.com,dapp_or_product,high,full,yes,"[""token_keyword"",""protocol_keyword""]",Tokenized pre-IPO stock platform with live onchain products; full search needed to verify whether the company itself has a fungible token.
114,482588-47,PlaceWar,placewar.io,gaming_or_nft,high,full,yes,"[""nft_or_gaming""]",play-to-earn game with PLACE and GEAR tokens
115,481481-20,Stageverse,stageverse.com,gaming_or_nft,low,light,yes,"[""nft_or_gaming""]",Metaverse/social experience platform with gaming/NFT adjacency; cheap token-existence check was warranted.
116,482595-76,Dodas,dodas.xyz,dapp_or_product,high,full,yes,"[""alias_or_former_name"", ""brand_project_mismatch""]",rebranded AcknoLedger project with ACK token
117,482628-16,Legaci,legaci.com,gaming_or_nft,medium,light,yes,"[""nft_or_gaming""]",Web3 rewards/NFT platform; bounded token-existence check is warranted even though no fungible token is obvious.
118,482628-79,Genopets,genopets.me,gaming_or_nft,high,full,yes,"[""nft_or_gaming""]",Solana move-to-earn game with dual-token economy
119,482665-06,TheOne.art,theone.art,dapp_or_product,high,full,yes,"[""nft_or_gaming""]",digital art marketplace with 1ART token
120,481519-90,Taker Labs,taker.xyz,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Bitcoin incentive layer and protocol with TAKER token
121,482667-67,Turnt Gaming,turntgaming.com,gaming_or_nft,high,full,yes,"[""nft_or_gaming"",""token_keyword"",""brand_project_mismatch"",""legacy_ticker_conflict""]","Turnt Gaming is a blockchain gaming company with explicit tokenized-engagement language and a known ticker naming conflict, so it needs full token mapping."
122,482673-97,Omni Network,nomina.io,protocol_or_network,high,full,yes,"[""former_name_rebrand"", ""token_migration""]",Protocol-native company with a clear rebrand / token-migration signal; full company-to-project-to-token mapping is required.
123,481526-02,Dropee,dropee.xyz,gaming_or_nft,high,full,yes,"[""token_launch"", ""gamefi""]",Game studio with explicit token-launch language; full mapping is warranted.
124,482693-23,AW3 Technology,aw3.tech,service_provider,low,skip_candidate,no,"[""venture_studio"", ""no_owned_project_signal""]",Web3 venture studio / service provider with no owned token signal; skipping deep project search is appropriate.
125,482721-85,Daliado,daliadosecondhomes.com,dapp_or_product,high,full,yes,"[""token_keyword""]",Tokenized second-home co-owning business with strong blockchain/real-estate signal but no stable fungible ticker yet; requires full search and negative-resolution pass.
126,481528-45,Kronoshev,kronoshev.co.uk,dapp_or_product,medium,light,yes,"[""blockchain_social_network"", ""fan_club""]","Blockchain-based social app with possible product-token linkage, but no clear owned token signal yet."
127,482724-28,Anypad,anypad.io,dapp_or_product,high,full,yes,"[""launchpad"", ""nft_marketplace""]",Launchpad / NFT / gaming ecosystem with token project signal; full mapping is warranted.
128,481528-63,Ryskex,ryskex.io,dapp_or_product,medium,light,yes,"[""token_keyword"",""thin_source_context""]",Blockchain-enabled risk transfer platform with no obvious company-owned token; a bounded search is justified but a full deep dive is not.
129,482726-35,MyCointainer,mycointainer.com,wallet_or_custody,low,skip_candidate,no,"[""staking_service"", ""custody_service""]",Wallet / staking service with no owned token signal; skipping deep project search is appropriate.
130,481532-50,Fuel Labs,fuel.network,protocol_or_network,high,full,yes,"[""layer2"", ""token""]",Blockchain-native rollup / L2 protocol with explicit token signal; full mapping is warranted.
131,482737-87,Oivan Group,oivan.com,service_provider,none,skip_candidate,no,"[""consulting"", ""blockchain_service""]",IT consultancy / service provider with only incidental blockchain references and no owned token signal.
132,482739-94,Atlendis Labs,atlendis.io,protocol_or_network,high,full,yes,"[""alias_or_former_name"",""protocol_keyword""]",DeFi lending protocol with former name JellyFi; full company->project->token mapping was warranted.
133,481543-48,Portal to Bitcoin,portaltobitcoin.com,protocol_or_network,high,full,yes,"[""bitcoin_interoperability"", ""bridge_alternative""]",Bitcoin interoperability protocol with a clearly named native token and full company-to-project mapping.
134,481552-84,HeroVerse,heroverse.io,gaming_or_nft,high,full,yes,"[""gamefi"", ""multiple_tokens""]",GameFi project with multiple fungible tokens; full mapping is required.
135,482757-76,Synchrony Labs,,protocol_or_network,high,full,yes,"[""copy_trading"", ""index_protocol""]",On-chain copy-trading and composable-index protocol with clear token evidence; full mapping is required.
136,482762-08,Undo Studios,undostudios.com,gaming_or_nft,high,full,yes,"[""metaverse"", ""former_company_name""]",Metaverse / game studio with a named ecosystem token; full mapping is required.
137,481549-51,Pocket Properties,pocketpropertiesapp.com,dapp_or_product,low,skip_candidate,no,"[""real_estate_crowdfunding"", ""blockchain""]",Real-estate investment app with only incidental blockchain context and no owned token signal.
138,481559-14,UNXD,unxd.com,gaming_or_nft,low,skip_candidate,no,"[""nft_marketplace"", ""luxury""]",NFT marketplace and luxury platform with no fungible token signal; token search budget is not justified.
139,1237033-18,Rocket (Financial Software),userocket.app,protocol_or_network,high,full,yes,"[""protocol_keyword""]",Crypto prediction-market protocol/product; owned token cannot be ruled out.
140,1237098-25,easy.fun,easy.fun,dapp_or_product,medium,light,yes,"[""future_token_rewards"", ""points_system""]",Crypto-native trading app with rewards language but no explicit owned token signal yet; bounded search first.
141,481561-30,BeNewtral,benewtral.com,traditional_business,none,skip_candidate,no,"[""blockchain_traceability"", ""manufacturing""]",Manufacturing / cleantech company with blockchain traceability only and no owned token signal.
142,481552-12,The Dematerialised,thedematerialised.com,gaming_or_nft,low,skip_candidate,no,"[""nft_marketplace"", ""fashion""]",NFT fashion marketplace with no fungible token signal; token search budget is not justified.
143,481552-48,Pink Panda Holdings,pinkpanda.finance,dapp_or_product,high,full,yes,"[""token_launch"", ""dex"", ""wallet""]",Token-bearing DeFi / wallet app with explicit native token signal; full mapping is required.
144,481555-36,%Gank,gank.ai,dapp_or_product,low,skip_candidate,no,"[""crypto_adjacency_only""]",Investment community app with only crypto adjacency and no owned token signal.
145,481571-11,Colexion,colexion.io,gaming_or_nft,high,full,yes,"[""nft_marketplace"", ""utility_token""]",NFT marketplace with a fungible utility token; full mapping is warranted.
146,482501-26,Proxima.one,proxima.one,infrastructure_or_data,high,full,yes,"[""protocol_keyword""]",Proxima.one is blockchain data/infrastructure with DAOs context; full search is required to confirm whether it has an owned fungible token.
147,482631-22,Bsquared Technology,bsqrd.io,service_provider,low,skip_candidate,no,"[""liquidity_service"", ""no_owned_project_signal""]",Liquidity-service provider with no owned token signal; skipping deep project search is appropriate.
148,481582-09,Waggle Network,waggle.network,protocol_or_network,high,full,yes,"[""launchpad"", ""token_sale""]",Launchpad / token-fundraising protocol with explicit native token signal; full mapping is required.
149,482493-52,Claribay Capital,claribaycapital.com,investment_or_holdings,low,skip_candidate,no,"[""vc_firm"", ""no_owned_project_signal""]",Venture capital firm with no owned token signal; skipping deep project search is appropriate.
150,481594-24,Sundae Labs,sundae.fi,protocol_or_network,high,full,yes,"[""dex"", ""multiple_brand_names""]",Cardano DEX / DeFi protocol with explicit SUNDAE token governance; full mapping is required.
151,481602-07,ORCA (Financial Services),orca.so,exchange_or_broker,high,full,yes,"[""protocol_keyword"",""token_keyword""]",DEX on orca.so with native token signal.
152,481612-51,Crypto Global United,cgu.io,gaming_or_nft,high,full,yes,"[""nft_or_gaming"",""token_keyword""]",Play-to-earn gaming platform with native CGU token signal.
153,481606-84,Web3 Pro,web3pro.com,service_provider,low,light,yes,"[""alias_or_former_name"",""nft_or_gaming""]",Former NFT Pro / white-label NFT SaaS; probe for owned token but likely service-only.
154,482480-47,cocoNFT,coconft.com,gaming_or_nft,low,skip_candidate,no,"[""nft_or_gaming""]",NFT minting platform acquired by Metaverse Group; no owned fungible token signal.
155,481621-96,Arthur Inc,arthur.inc,mining_or_validator,low,skip_candidate,no,[],Bitcoin mining/HPC infrastructure provider with no owned token/project signal.
156,481622-32,Redux (Financial Software),reduxprotocol.io,protocol_or_network,high,full,yes,"[""alias_or_former_name"",""token_keyword"",""token_migration"",""legacy_ticker_conflict""]",Former Libre DeFi rebrand; current Redux Protocol has an active RDX token.
157,481624-12,Eterna (Financial Software),eterna.exchange,exchange_or_broker,low,light,yes,"[""thin_source_context""]",Crypto trading platform; bounded token probe found no company-owned token signal.
158,481633-03,Meta4 Capital,meta4.capital,investment_or_holdings,none,skip_candidate,no,[],Investment manager / fund with no owned crypto project signal.
159,481648-60,Notch (Other Insurance),notch.cx,service_provider,low,skip_candidate,no,[],Digital asset insurance service without owned token/project signal.
160,481654-36,CompliFi,docs.compli.fi,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Decentralized derivatives protocol with governance token signal.
161,482235-49,Paloma Pay,palomapayinc.com,service_provider,low,skip_candidate,no,[],Crypto payments platform with no owned token signal.
162,481665-70,Grape Protocol,grapes.network,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Grape Network has a native $GRAPE token.
163,481651-30,Internet of Things.,sensingassets.net,infrastructure_or_data,low,light,yes,"[""thin_source_context""]",IoT hardware/software services with incidental blockchain mention; no token signal.
164,481671-64,Rand (Financial Software),rand.app,dapp_or_product,high,full,yes,"[""token_keyword""]",Financial app with active RND token despite points migration.
165,481671-82,Sarcophagus,app.sarcophagus.io,protocol_or_network,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Protocol docs name the native $SARCO token.
166,481981-78,TaurusBot,taurus-ai.io,dapp_or_product,high,full,yes,"[""protocol_keyword"",""token_keyword""]",Trend AI / DeFi platform with TXRS token utility.
167,481981-42,NFracTion,nfraction.com,gaming_or_nft,high,full,yes,"[""nft_or_gaming"",""token_keyword""]",NFT fractionalization protocol with native NFTA token.
168,481697-20,HyperTrader,gethypertrader.com,service_provider,low,light,yes,"[""thin_source_context""]",Crypto trading terminal / service platform with no owned token signal.
169,481698-28,Mnemonic (Software Development Applications),mnemonichq.com,service_provider,low,skip_candidate,no,"[""thin_source_context""]",NFT data/analytics API provider with no owned fungible token signal.
170,481722-04,Good Games Guild,goodgamesguild.com,gaming_or_nft,high,full,yes,"[""nft_or_gaming"",""token_keyword""]",GameFi ecosystem with native GGG token.
171,481730-32,Fingerprints DAO,fingerprintsdao.xyz,gaming_or_nft,high,full,yes,"[""nft_or_gaming"",""token_keyword""]",DAO docs describe the $PRINTS ERC-20 token.
172,481735-63,Blockchain Moon Acquisition,bmaq.io,investment_or_holdings,none,skip_candidate,no,"[""stock_ticker_present""]",SPAC / blank check company with stock ticker only; no owned crypto project signal.
173,481745-98,bePOS,bepos.io,traditional_business,none,skip_candidate,no,[],POS / business management software with no owned crypto project signal.
174,481756-42,AkinTec,akintec.com,traditional_business,none,light,yes,"[""brand_project_mismatch"",""thin_source_context""]",Official site is a consulting / digital transformation firm; dataset crypto description appears mismatched.
175,481759-84,Attention Labs,attentionlabs.ai,traditional_business,none,skip_candidate,no,[],AI/audio company with incidental web3 keyword only; no owned crypto project signal.
176,481755-34,Xooa,xooa.com,service_provider,low,light,yes,"[""nft_or_gaming"",""thin_source_context""]",Web3 SaaS / NFT marketplace platform with no company token found after exact-domain probe.
177,481770-55,Plutoview,plutoview.com,service_provider,low,light,yes,"[""alias_or_former_name"",""nft_or_gaming"",""thin_source_context""]",Collaboration platform with metaverse/NFT language but no owned token signal.
