task_index,investor_id,investor_name,normalized_domain,primary_investor_type,investor_archetype,crypto_native_likelihood,operating_capability_likelihood,search_tier,capability_search_required,risk_flags,classifier_reason
19,492659-74,BlackDragon (Zagreb),blackdragon.io,Venture Capital,fund_vehicle_or_fund_platform,high,low,full,yes,"[""current_status_unclear"", ""tokenized_investment_platform_not_execution""]","BlackDragon official/secondary sources show a crypto investing platform/community focused on early-stage project access, while public current-status signals are mixed; no direct operating capability evidence was found."
20,461989-90,Exnetwork Capital,exnetworkcapital.com,Venture Capital,accelerator_or_incubator,high,low,light,yes,"[""incubator_support_not_operating_capability""]","Exnetwork official sources show a hybrid crypto fund, idea lab, and incubator funding decentralization projects; no self-operated trading or sub-fund capability was found."
21,60945-31,Pantera Capital,panteracapital.com,Venture Capital,asset_manager_or_family_office,high,medium,full,yes,"[""liquid_token_fund_not_defi_operation""]","Pantera official sources show a digital-asset asset manager with multiple current fund strategies, including liquid token and venture/token funds; no direct operating capability evidence was found."
22,484451-65,Big Brain Holdings,bigbrain.holdings,Venture Capital,crypto_native_vc,high,low,light,yes,"[""funds_invested_are_external_lp_exposure""]",Big Brain official sources show a multi-stage investment firm backing funds and founders; investing in external funds is LP exposure and not a qualifying sub-fund.
23,168852-52,Polychain Capital,polychain.capital,Venture Capital,hedge_fund_or_quant,high,medium,full,yes,"[""actively_managed_portfolios_not_specific_algo_or_defi""]","Polychain official sources show actively managed portfolios of blockchain assets and investment management, but no direct current evidence for the defined operating capabilities or a qualifying sub-fund."
24,458156-35,CMS Holdings (New York),cmsholdings.io,Venture Capital,hedge_fund_or_quant,high,medium,full,yes,"[""official_site_unavailable"", ""trading_background_not_direct_capability""]","CMS Holdings trusted/secondary sources show a principal crypto investment firm with liquid/illiquid token exposure and founders with trading backgrounds, but no direct current capability evidence."
25,459060-22,MV Global,mvglobal.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""venture_builder_not_execution"", ""ordinary_closed_fund_not_sub_fund""]","MV Global official sources show a Web3 venture builder/investor with build, investment, and support strategies; old Polkadot fund evidence is not enough for sub_fund under the current hard negatives."
26,265646-17,Moonwhale Ventures,moonwhale.capital,Venture Capital,asset_manager_or_family_office,high,high,full,yes,"[""official_site_trading_content_differs_from_vc_profile""]","Moonwhale official pages describe crypto investment/advisory, a digital-assets funds page, and investor-facing futures/leverage trading content; this supports execution_services and sub_fund, with no direct OTC/market-making/algo/DeFi evidence."
27,339873-94,IOSG Ventures,iosg.vc,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_defi_exposure_not_capability""]",IOSG official sources show a research-driven Web3 investment fund and portfolio; no current operating or qualifying sub-fund capability was found.
28,153042-22,Fenbushi Capital,fenbushi.vc,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]",Fenbushi official sources show blockchain venture investing and research/support only; no direct operating capability or qualifying sub-fund was found.
29,232193-35,Genblock Capital,genblock.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""defi_investment_focus_not_defi_operation""]",Genblock official sources show exclusive blockchain/cryptocurrency investing with a DeFi focus; this is portfolio exposure only.
30,484409-80,MH Ventures,mhventures.io,Venture Capital,crypto_native_vc,high,high,full,yes,"[""trading_lending_derivatives_not_enough_for_execution_without_detail""]",MH Ventures official site lists market making among institutional services and shows Frontier Fund I and II; trading/lending/derivatives language was not specific enough to add execution or DeFi.
31,168278-14,Digital Finance Group,dfg.group,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site and local context identify DFG as a Web3/blockchain venture investment firm; no initial current signal of self-operated trading, liquidity, execution, DeFi protocol operation, or qualifying parent/sub-fund capability."
32,462593-35,Morningstar Ventures,morningstar.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site identifies Morningstar Ventures as an early-stage Web3 investor with studio/community support, but initial evidence does not show current self-operated trading, liquidity, execution, DeFi protocol operation, or qualifying fund-platform capability."
33,436984-84,Spark Digital Capital,sparkdigitalcapital.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official domain describes a research-focused crypto fund investing/incubating blockchain projects; no current direct operating trading or fund-platform evidence was found on the official site.
34,467976-61,HTX Ventures,,Corporate Venture Capital,exchange_affiliated_investor,high,low,light,yes,"[""affiliate_no_inheritance""]","Official HTX page identifies HTX Ventures as the investment/incubation/research arm of HTX; the row is the venture arm itself, so exchange operating capabilities are not inherited downward."
35,120578-32,Outlier Ventures,outlierventures.io,Accelerator/Incubator,accelerator_or_incubator,high,low,light,yes,[],Official site identifies Outlier as a Web3 accelerator; accelerator support and token/fundraising guidance are not direct operating capabilities under the six labels.
36,222603-49,Hack VC,hack.vc,Venture Capital,crypto_native_vc,high,medium,full,yes,[],"Official site identifies Hack VC as a Web3 VC and describes hack.labs as an internal R&D arm with venture-studio capabilities, creating a current sub-unit signal but no direct current trading-service label."
37,466132-33,ZBS Capital,zbs.capital,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site shows a Web3/crypto startup investor and support network, with no current direct operating-capability evidence."
38,279816-67,GSR,gsr.io,Venture Capital,market_maker_or_otc_firm,high,high,full,yes,[],"Official GSR pages show current crypto trading, market making, OTC desk, smart/order algorithmic execution, and broader venture/asset-management arms."
39,432789-67,SNZ Holding,snzholding.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site identifies early-stage digital asset/blockchain/Web3 investing, not direct current operating capabilities."
40,497966-77,Cogitent Ventures,cogitent.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site describes early-stage crypto investment and consulting/support activities; no current direct trading/execution/liquidity/DeFi-operation capability.
41,436798-54,Alameda Research,alameda-research.com,Hedge Fund,hedge_fund_or_quant,high,medium,full,yes,"[""historical_stopped_activity"",""bankruptcy_status""]","Local context has historical quant/trading signals, but current official/court evidence shows Alameda is in the FTX bankruptcy process rather than a current operating firm."
42,279574-30,Waterdrip Capital,waterdrip.io,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site identifies Waterdrip as a blockchain investment institution; no direct current operating capability evidence.
43,229958-29,Arrington Capital,arringtoncapital.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site describes digital asset/Web3 investing and a portfolio; portfolio DeFi exposure does not count as DeFi operation by the investor.
44,443208-61,SevenX Ventures,7xvc.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site presents SevenX as a blockchain venture firm; no current direct operating or sub-fund capability evidence.
45,433758-25,Borderless Capital,borderlesscapital.io,Venture Capital,crypto_native_vc,high,medium,full,yes,[],"Official/current sources identify Borderless as a Web3 investment manager and describe a current dedicated DePIN fund, supporting sub_fund only."
46,461990-35,X21 Digital,x21digital.com,Accelerator/Incubator,accelerator_or_incubator,high,low,light,yes,[],"Current accessible sources describe X21 Digital as blockchain advisory/incubation/investment support, with no direct current trading or DeFi-operation capability."
47,56560-42,Digital Currency Group,dcg.co,Corporate Venture Capital,operating_company_disguised_as_investor,high,high,full,yes,"[""parent_attribution""]","Official DCG and Luno sources show DCG as crypto investor/operator and Luno as a current independent operating subsidiary with exchange and OTC execution services, allowing one-way parent attribution."
48,224548-84,Multicoin Capital,multicoin.capital,Venture Capital,hedge_fund_or_quant,high,medium,full,yes,[],Official site describes a master hedge fund and venture fund structure investing across liquid tokens and private markets; no direct algorithmic/execution/market-making/DeFi-operation evidence.
49,462995-74,Magnus Capital,magnuscapital.com,Venture Capital,crypto_native_vc,high,medium,full,yes,[],"Official site describes flagship and growth funds plus labs/advisory/incubation support, supporting sub_fund but not trading/execution capabilities."
50,484307-74,Mapleblock,mapleblock.capital,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site describes a Web3 venture investor with portfolio support; no current direct operating capability.
51,469749-34,Oracles Investment Group,oiginvest.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site describes a VC focused on DeFi/metaverse/gaming/infrastructure investments; investment focus is not DeFi operation by the investor.
52,41716-90,Andreessen Horowitz,a16z.com,Venture Capital,traditional_vc_or_pe,medium,medium,full,yes,[],"Official a16z/a16z crypto sources show a general VC parent with a dedicated crypto venture fund/arm and multiple crypto funds, supporting sub_fund only."
53,266684-95,ParaFi Capital,parafi.com,Asset Manager,asset_manager_or_family_office,high,high,full,yes,[],Official site describes a multi-strategy digital-asset asset manager using quantitative strategies in public markets and public/private market structures.
54,498150-73,Mirana Ventures,mirana.xyz,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official site identifies Mirana as a Web3 investment fund backing founders and emerging fund managers; no direct current operating capability.
55,462622-60,Momentum 6,momentum6.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site presents Web3/crypto investing, research, exposure, and marketing support; no current operating capability evidence."
56,268270-48,Robot Ventures,robvc.com,Venture Capital,crypto_native_vc,high,low,light,yes,"[""founder_affiliation_no_inheritance""]",Official site is minimal and trusted context identifies a crypto/fintech seed investor; founder affiliations with DeFi companies do not transfer capabilities to the Robot Ventures row.
57,233706-61,Dragonfly Capital (San Francisco),dragonfly.xyz,Venture Capital,crypto_native_vc,high,medium,full,yes,[],"Official site describes Dragonfly Ventures, Dragonfly Liquid, and Metastable under Dragonfly, supporting current fund-platform/sub-fund structure only."
58,222089-23,FBG Capital,fbg.capital,Asset Manager,hedge_fund_or_quant,high,high,full,yes,[],Official site shows current market-neutral quantitative trading strategies on major crypto exchanges; a provider case study ties FBG to Clearpool DeFi lending-protocol transactions.
59,443065-42,Alliance,alliance.xyz,Accelerator/Incubator,accelerator_or_incubator,high,low,light,yes,[],Official site identifies Alliance as a crypto/AI accelerator and founder community; accelerator funding/support does not equal DeFi operation or trading capability.
60,467231-23,ArkStream Capital,arkstream.capital,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official site describes ArkStream as a VC focused on digital infrastructure, emerging financial technologies, equity, and digital assets; no direct current operating capability."
61,62119-72,Blockchain Capital,blockchaincapital.com,Venture Capital,crypto_native_vc,high,low,full,yes,"[""crypto_fund_manager_boundary""]",Official and local context identify a crypto-native venture investor; fund references required checking against the strict ordinary-fund hard negative.
62,436336-57,Hypersphere Ventures,hypersphere.capital,Venture Capital,crypto_native_vc,high,low,full,yes,"[""hedge_fund_signal"",""fund_manager_boundary""]","Official site describes a crypto-native investment platform with venture capital and hedge fund activity, requiring full review for operating-capability and fund-structure boundaries."
63,719614-45,Digital Consensus Fund,digitalconsensus.fund,Venture Capital,fund_vehicle_or_fund_platform,high,low,full,yes,"[""row_itself_fund_vehicle"",""defi_portfolio_signal""]","Official site and local context show an early-stage Web3 venture fund with DeFi exposure signals, so full review was needed despite likely investor-only status."
64,443322-19,YBB,ybb.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""defi_portfolio_signal""]","Official/current profiles show a Web3 venture fund focused on crypto and blockchain, with DeFi as investment exposure rather than operating evidence."
65,461990-98,DeltaHub Capital,deltahub.capital,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""otc_signal"",""defi_product_signal""]","Official DeltaHub pages include crypto venture investing plus OTC and LP staking language, requiring full operating-capability review."
66,523414-99,Delphi Ventures,delphiventures.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""parent_child_boundary"",""brand_family_boundary""]","Delphi Ventures is a crypto/deep-tech venture brand with related Delphi entities, so parent/affiliate attribution required full boundary review."
67,61372-27,DHVC,dh.vc,Venture Capital,traditional_vc_or_pe,medium,low,light,yes,"[""broad_sector_vc""]","Local and trusted profiles show a broad traditional VC with crypto among several sectors, so bounded confirmation was sufficient."
68,437679-28,Bitscale Capital,bitscale.vc,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official and trusted profiles identify Bitscale as a crypto venture investor without operating-capability language.
69,279679-69,Maven 11,maven11.com,Venture Capital,crypto_native_vc,high,low,full,yes,"[""asset_manager_signal"",""defi_portfolio_signal""]","Official site calls Maven 11 a crypto-native fund and portfolio page includes DeFi exposure, requiring full review but likely investor-only status."
70,399157-21,Fundamental Labs,fundamentallabs.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],"Official CTH/Fundamental Labs page shows blockchain venture investment and portfolio support, with no operating-capability signal."
71,494015-50,Cypher Capital (Dubai),cyphercapital.com,Venture Capital,asset_manager_or_family_office,high,medium,full,yes,"[""multi_strategy_platform_signal"",""sub_fund_structure_signal""]","Official site describes Cypher Capital as a multi-asset management platform with several investment divisions, requiring full structure review."
72,226878-31,1kx,1kx.network,Venture Capital,crypto_native_vc,high,low,light,yes,"[""token_fund_signal""]","Official pages identify 1kx as an early-stage crypto/token investment firm, so light capability confirmation was required."
73,466701-67,Newtribe Capital,newtribe.capital,Venture Capital,crypto_native_vc,high,low,full,yes,"[""defi_portfolio_signal""]","Official and secondary profiles show a Web3 VC with DeFi investment focus, requiring full review for DeFi-operation boundary."
74,230048-20,Lemniscap,lemniscap.com,Venture Capital,crypto_native_vc,high,low,full,yes,"[""hedge_fund_signal""]",Official and trusted profiles identify Lemniscap as a crypto investment firm; hedge-fund/local signals required full capability review.
75,54172-81,Plug and Play Tech Center,plugandplaytechcenter.com,Accelerator/Incubator,accelerator_or_incubator,medium,low,full,yes,"[""accelerator_boundary"",""venture_arm_signal""]","Plug and Play is an accelerator/VC platform with a crypto vertical and venture-capital pages, requiring full review of accelerator and structure hard negatives."
76,169540-75,Kenetic Capital,kenetic.capital,Venture Capital,crypto_native_vc,high,low,full,yes,"[""trading_context_unconfirmed""]","Kenetic has crypto investment focus and some non-official trading-language context, so full review was needed before denying operating capabilities."
77,439457-68,Mechanism Capital,mechanism.capital,Venture Capital,crypto_native_vc,high,low,full,yes,"[""defi_research_signal""]","Mechanism Capital has explicit crypto/DeFi investment and research signals, requiring full DeFi-operation boundary review."
78,229985-65,Youbi Capital,youbicapital.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official and secondary pages show Youbi as a Web3/blockchain investment firm without direct operating-capability language.
79,437685-49,Gate Technology,gate.com,VC-Backed Company,exchange_affiliated_investor,high,high,full,yes,"[""operating_company_signal"",""exchange_signal"",""sub_fund_structure_signal""]","Gate is an operating crypto exchange with official OTC, bot, Web3/DEX, and venture-arm pages, requiring full operating-capability review."
80,438930-91,Moonrock Capital,moonrockcapital.io,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official and secondary pages identify Moonrock as a crypto-native advisory/investment firm without direct operating-capability evidence.
81,230148-37,Continue Capital,continue.capital,Venture Capital,hedge_fund_or_quant,high,high,full,yes,"[""quant_trading_signal""]","Official site states Continue Capital provides Quant-Trading service, so full review and algorithm capability classification were required."
82,483738-04,HG Ventures (South Korea),hgventures.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""identity_disambiguation"",""hedge_fund_signal""]","The hgventures.io row needed disambiguation from unrelated HG Ventures entities and has hedge/secondary local signals, so full review was required."
83,439457-41,Sandeep Nailwal,,Angel (individual),angel_or_individual,high,low,full,yes,"[""individual_attribution_boundary"",""founder_affiliation_signal""]",Individual angel/founder row with Polygon and Symbolic Capital affiliations; full review needed because individual rows cannot inherit affiliated capabilities.
84,458779-42,Vendetta Capital,vendetta.capital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""official_domain_inactive""]","Vendetta has crypto VC database profiles but its listed official domain appears inactive/expired, so bounded trusted-database confirmation was used."
85,465618-79,DCI Capital,dutchcryptoinvestors.com,Venture Capital,crypto_native_vc,high,low,light,yes,[],Official DCI pages identify a crypto startup investor/support firm without direct operating-capability language.
86,62151-67,DeFiance Capital,defiance.capital,Venture Capital,hedge_fund_or_quant,high,medium,full,yes,"[""defi_investment_signal"",""liquid_token_fund_signal""]","DeFiance is a crypto/digital-asset investment firm with DeFi and liquid-token signals, requiring full DeFi and trading-capability boundary review."
87,232822-00,CMT Digital Holdings,cmt.digital,Corporate Venture Capital,crypto_native_vc,high,low,full,yes,"[""historical_trading_context"",""parent_child_boundary""]","CMT Digital has historical/third-party trading context and parent-group links, but current official pages present the row as a VC, requiring full boundary review."
88,489999-25,Jump Crypto,jumpcrypto.com,Corporate Venture Capital,hedge_fund_or_quant,high,medium,full,yes,"[""trading_signal_without_capability_evidence"",""parent_quant_boundary""]","Jump Crypto official page says it trades and is linked to Jump Trading, a quant trading firm, so full review was required; exact capability mapping remains boundary-sensitive."
89,231107-59,Amber Group,ambergroup.io,VC-Backed Company,market_maker_or_otc_firm,high,high,full,yes,"[""operating_company_signal"",""liquidity_provider_signal"",""sub_fund_structure_signal""]","Amber is a digital-asset operating company with current official liquidity, market-making, OTC, automated execution, DeFi, and subsidiary/platform evidence, requiring full review."
90,439789-69,LongHash Ventures,longhash.vc,Venture Capital,crypto_native_vc,high,low,full,yes,"[""accelerator_boundary"",""fund_manager_boundary""]","LongHash is a Web3 venture/accelerator investor, requiring review of accelerator and fund-structure hard negatives."
91,460245-97,Collab+Currency,collabcurrency.com,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]","Official site describes Collab+Currency as a crypto-focused venture firm; local input also lists crypto/blockchain and a fund name, but there is no direct operating trading/execution/liquidity signal."
92,482265-73,Infinity Ventures Crypto,ivcrypto.io,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]","Official site identifies IVC as a Web3 venture capital firm investing in Web3, gaming, infrastructure, fintech, and DeFi projects; no direct operating trading or liquidity signal was found in current official material."
93,443321-47,Rarestone Capital,rarestone.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]","Official Rarestone pages identify a Web3 investment firm and venture studio backing early-stage projects; no direct trading, execution, liquidity, or fund-platform signal was found."
94,468973-72,SkyVision Capital,skyvisioncapital.com,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]",Official site describes SkyVision Capital as a private investment family office focused on decentralized technology; no self-operated trading or liquidity signal was found.
95,340926-13,Polygon Labs,polygon.technology,VC-Backed Company,operating_company_disguised_as_investor,high,medium,full,yes,"[""acquisition_or_control_status_ambiguous"",""third_party_execution_excluded""]","Polygon Labs is an operating blockchain/payments infrastructure company with current Open Money Stack, portal, and acquisition signals; full search was required to test execution and parent-control boundaries."
96,465617-89,AVstar Capital,avstarcapital.co,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]","AVstar Capital is described in official/trusted sources as a VC investor focused on DeFi, Web3 infrastructure, NFTs, and gaming; no direct operating capability signal was found."
97,436693-24,Framework Ventures,framework.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]",Framework Ventures is a crypto-native VC with a DeFi-heavy portfolio; current official evidence describes venture investing rather than direct operating capabilities.
98,224549-29,CoinFund,coinfund.io,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""liquid_strategy_spinoff_reviewed""]",CoinFund is a crypto/Web3 investment manager with recent liquid-strategy history; full search was required to determine whether any current operating trading capability remained with the row.
99,495494-29,Foresight Ventures (Singapore),foresightventures.com,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""multi_fund_structure""]",Official Foresight Ventures pages describe a crypto investment platform operating four distinct funds and a dedicated stablecoin infrastructure fund.
100,183106-54,KR1,kr1.io,Venture Capital,operating_company_disguised_as_investor,high,medium,full,yes,"[""staking_yield_boundary""]","KR1 is a listed digital asset technology company that actively stakes digital assets for rewards, creating a DeFi/yield capability question requiring full search."
101,226912-78,Balaji Srinivasan,balajis.com,Angel (individual),angel_or_individual,medium,low,light,yes,"[""individual_affiliation_only""]",Balaji Srinivasan is an individual crypto entrepreneur/investor; individual affiliations and former executive roles do not support capability attribution.
102,443065-06,Divergence Ventures,div.vc,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]",Divergence is a crypto operator fund investing in early-stage blockchain and DeFi projects; no direct operating capability evidence was found.
103,280588-51,Black Edge Capital,blackedge.io,Venture Capital,crypto_native_vc,high,low,light,yes,"[""incubation_not_operating_capability""]","Black Edge Capital officially says it incubates, funds, and launches blockchain projects; this is venture/incubation support, not direct trading or DeFi operation."
104,494483-41,Figment Capital,figmentcapital.io,Venture Capital,crypto_native_vc,high,low,full,yes,"[""parent_capability_not_inherited""]",Figment Capital is a Web3 investment fund connected to Figment Inc.; full search was required to avoid inheriting parent infrastructure capabilities.
105,443208-52,Kyros Ventures,kyros.ventures,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]","Kyros Ventures official material describes Vietnam crypto-market gateway, research, events, and project support; no direct operating capability evidence was found."
106,484567-03,Contango Digital Assets,contango.digital,Venture Capital,crypto_native_vc,high,low,light,yes,"[""name_collision_excluded""]",Contango Digital Assets is a crypto-focused VC; the separate Contango Protocol/Exchange search result is a name collision and not attributable to this row.
107,224413-84,Alphabit,alphabit.fund,Venture Capital,hedge_fund_or_quant,high,high,full,yes,"[""direct_automated_trading_evidence""]","Alphabit official fund page describes automated quantitative strategies and discretionary crypto trading, requiring full capability classification."
108,230149-00,Bixin Ventures,bixin.com,Venture Capital,crypto_native_vc,high,medium,full,yes,"[""parent_capability_not_inherited""]","Bixin Ventures is an investment firm associated with Bixin Group, whose broader infrastructure includes wallets/custody/mining/liquidity; full search was required for attribution boundaries."
109,462896-92,Titans Ventures,titans.ventures,Venture Capital,accelerator_or_incubator,medium,low,light,yes,"[""limited_official_access"",""portfolio_exposure_only""]",Titans Ventures appears as a Vietnam blockchain VC/incubator in trusted sources; exact official site access was limited and no operating trading service was confirmed.
110,467198-92,Ellipti,ellipti.io,Venture Capital,fund_vehicle_or_fund_platform,high,medium,full,yes,"[""sub_fund_structure_evidence""]","Ellipti official pages describe Ellipti Labs as a research-based fund under the Ellipti platform, alongside DeFi portfolio exposure."
111,183284-83,Placeholder Venture Capital,placeholder.vc,Venture Capital,crypto_native_vc,high,low,light,yes,"[""portfolio_exposure_only""]",Placeholder official site describes a capital partnership investing in decentralized information networks; no direct operating capability evidence was found.
112,494789-86,Animoca Ventures,animoca.ventures,Corporate Venture Capital,exchange_affiliated_investor,high,low,full,yes,"[""row_is_child_no_parent_inheritance""]",Animoca Ventures is the venture investment arm of Animoca Brands; full search was required for parent/child attribution and sub-fund exclusion.
113,462677-68,Double Peak,doublepeak.io,Venture Capital,asset_manager_or_family_office,high,low,full,yes,"[""secondary_market_language_reviewed""]",Double Peak is a digital-asset family office/prop venture fund with secondary-market investment language; full search was required to test trading-service boundaries.
114,571592-98,Taisu Ventures,taisu.io,Venture Capital,crypto_native_vc,high,low,light,yes,"[""ordinary_fund_close_excluded""]","Taisu Ventures is an official Web3 VC with a maiden fund, but the fund close is treated as ordinary fund evidence rather than a qualifying sub-fund capability."
