task_index,InvestorID,InvestorName,InvestorAlsoKnownAs,InvestorFormerName,InvestorLegalName,Website,normalized_domain,ParentCompany,Exchange,Ticker,HQLocation,HQCountry,PrimaryInvestorType,OtherInvestorTypes,PreferredInvestmentTypes,PreferredVerticals,OtherInvestmentPreferences,LastClosedFundName,LastClosedFundType,Description,MatchedKeywords,MatchedColumns,InvestorCapabilityContext,SearchPolicy,AgentTaskScope
11,484451-65,Big Brain Holdings,,,"Big Brain Holdings, LLC",bigbrain.holdings,bigbrain.holdings,,,,"Weston, FL",United States,Venture Capital,,"Early Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, Gaming","Long-Term Investor, Prefers minority stake, Will syndicate",Big Brain Holdings Fund,Venture Capital - Early Stage,"Founded in 2021, Big Brain Holdings is a venture capital investment firm based in Los Angeles, California. The firm seeks to invest in business products and services (b2b), fintech, cryptocurrency, blockchain, gaming, defi, and web3 companies.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 189 token companies, 204 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, Gaming | PreferredInvestmentTypes: Early Stage VC, Seed Round | CompanyInvestorRelation: Fuel Labs; status=",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
12,234449-20,Coinbase Ventures,,,,,,Coinbase Global,,,"Oakland, CA",United States,Corporate Venture Capital,,"Early Stage VC, Seed Round","B2B Payments, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2018, Coinbase Ventures is a venture capital arm of Coinbase Global based in Oakland, California. The firm seeks to invest in web3, crypto, blockchain, and technology sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 188 token companies, 221 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: B2B Payments, Cryptocurrency/Blockchain, FinTech, Internet of Things, SaaS, TMT | PreferredInvestmentTypes: Early Stage VC, Seed Roun",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
13,466147-81,OKX Ventures,,,,,,OKX,,,"Singapore, Singapore",Singapore,Corporate Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, TMT","Prefers minority stake, Will syndicate",Ankaa Fund,Venture - General,"Founded in 2021, OKX Ventures is the corporate venture capital arm of OKX, based in Singapore. The firm seeks to invest in financial services, information technology, blockchain & financial technology sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 187 token companies, 199 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelat",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
14,462605-50,GBV Capital,,,,gbv.capital,gbv.capital,,,,Cayman Islands,Cayman Islands,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, TMT","Prefers minority stake, Will syndicate",,,"Founded in 2020, GBV Capital is a venture capital investment firm based in the Cayman Islands. The firm prefers to invest in the blockchain and digital asset sectors across Asia.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 181 token companies, 191 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, TMT | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Ojamu AI; status=Active; holdi",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
15,484522-30,International Blockchain Consulting,,,,ibcgroup.io,ibcgroup.io,,,,"London, United Kingdom",United Kingdom,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",,,"Founded in 2017, International Blockchain Consulting is a venture capital firm based in London, United Kingdom. The firm seeks to incubate and invest in blockchain technology startups.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 175 token companies, 176 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Later Stage VC, Seed R",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
16,492659-74,BlackDragon (Zagreb),,,,www.blackdragon.io,blackdragon.io,,,,"Zagreb, Croatia",Croatia,Venture Capital,Accelerator/Incubator,"Accelerator/Incubator, Early Stage VC, Seed Round",Cryptocurrency/Blockchain,"Prefers minority stake, Will syndicate",,,"Founded in 2017, BlackDragon is a venture capital firm headquartered in Zagreb, Croatia. The firm seeks to invest in the blockchain and DeFi sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 173 token companies, 176 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Seed Round | CompanyInvestorRel",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
17,459060-22,MV Global,,Master Ventures,"Master Ventures Co., Ltd.",mvglobal.io,mvglobal.io,,,,"Road Town, British Virgin Islands",British Virgin Islands,Venture Capital,Accelerator/Incubator,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech","Prefers minority stake, Will syndicate",Master Ventures Polkadot VC Fund,Venture Capital - Early Stage,"Founded in 2012, MV Global is a venture capital firm based in Road Town, British Virgin Islands. The firm prefers to invest in companies operating in the Web 3 and blockchain sectors. The firm also provides venture-building services.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 171 token companies, 179 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Venture Capital | OtherInvestorTypes: Accelerator/Incubator | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
18,461990-35,X21 Digital,,,,www.x21digital.com,x21digital.com,,,,"Singapore, Singapore",Singapore,Accelerator/Incubator,Venture Capital,"Accelerator/Incubator, Early Stage VC, Seed Round","Cryptocurrency/Blockchain, Gaming",,,,"Founded in 2020, X21 Digital is an incubator based in Singapore. The firm seeks to invest in blockchain projects.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|lead_investor,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 169 token companies, 173 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Accelerator/Incubator | OtherInvestorTypes: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, Gaming | PreferredInvestmentTypes: Accelerator/Incubator, Early Stage VC, Seed Round | CompanyInv",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
19,466476-40,Hashkey Capital,,,HashKey Capital Singapore Pte. Ltd.,hashkey.capital,hashkey.capital,HashKey Digital Asset Group,,,"Singapore, Singapore",Singapore,Corporate Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round","Cryptocurrency/Blockchain, FinTech, SaaS","Prefers minority stake, Will syndicate",Hashkey Capital Blockchain Fund III,Venture Capital - Early Stage,"Established in 2018, Hashkey Capital is the corporate venture capital arm of HashKey Group based in Singapore. The firm focuses on making investments in the blockchain technology sector startups.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 167 token companies, 192 deals, 1 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Corporate Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech, SaaS | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRela",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
20,466132-33,ZBS Capital,,,,www.zbs.capital,zbs.capital,,,,"Kyiv, Ukraine",Ukraine,Venture Capital,,"Early Stage VC, Later Stage VC, Seed Round",Cryptocurrency/Blockchain,"Long-Term Investor, Prefers minority stake, Will syndicate",,,"Founded in 2018, ZBS Capital is a venture capital firm based in Kyiv, Ukraine. The firm prefers to invest in companies operating in the web3, cryptocurrency sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID,"Part5 token-company investor graph: 162 token companies, 165 deals, 0 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation | PrimaryInvestorType: Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain | PreferredInvestmentTypes: Early Stage VC, Later Stage VC, Seed Round | CompanyInvestorRelation: Waggle Network; status=Former; holding=Minor",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
21,234465-85,Spartan Group,,,Spartan Group LLC,www.spartangroup.io,spartangroup.io,,,,"Singapore, Singapore",Singapore,Asset Manager,"Hedge Fund, Venture Capital",,"Cryptocurrency/Blockchain, FinTech",,Spartan Venture Fund II,Venture Capital - Early Stage,"Founded in 2018, Spartan Group is an asset management and advisory firm based in Singapore. The firm seeks to invest in information technology, blockchain & financial technology sectors.",part5_token_company|source:company_investor_relation|source:deal_investor_relation|source:investor_investment_relation|source:fund_investment_relation|lead_investor|fund_linked,CompanyInvestorRelation.CompanyID|CompanyInvestorRelation.InvestorID|Deal.CompanyID|DealInvestorRelation.DealID|DealInvestorRelation.InvestorID|InvestorInvestmentRelation.CompanyID|InvestorInvestmentRelation.InvestorID|FundInvestmentRelation.CompanyID|FundInvestorRelation.FundID|FundInvestorRelation.InvestorID,"Part5 token-company investor graph: 161 token companies, 174 deals, 3 funds | source_methods=company_investor_relation,deal_investor_relation,investor_investment_relation,fund_investment_relation | PrimaryInvestorType: Asset Manager | OtherInvestorTypes: Hedge Fund, Venture Capital | PreferredVerticals: Cryptocurrency/Blockchain, FinTech | CompanyInvestorRelation: Coinshift; status=Active; holding",part5_token_company_investor_graph_then_web_search_with_primary_source_priority,investor_router|capability_classification
