task_index,company_id,company_name,normalized_domain,project_name,project_url,status,completed_at,token_ticker,token_name,token_url,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review
27,481266-01,Cybera,cybera.io,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://cybera.io/,official_site,low,no
28,293426-47,Good Stock,goodstocksoups.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://goodstocksoups.com/,official_site,low,no
29,481864-42,Angle (Financial Software),angle.money,"[""Angle Protocol"",""Angle Protocol"",""Angle Protocol""]","[""https://docs.angle.money/overview/stablecoins"",""https://angle.money/eura"",""https://angle.money/usda""]",completed,,"[""ANGLE"",""EURA"",""USDA""]","[""ANGLE"",""EURA"",""USDA""]","[""https://docs.angle.money/overview/stablecoins"",""https://angle.money/eura"",""https://angle.money/usda""]",Angle official docs and product pages identify ANGLE governance plus EURA and USDA stablecoins.,https://docs.angle.money/overview/stablecoins|https://angle.money/eura|https://angle.money/usda,official_site,high,no
30,481270-69,SolarMente,solarmente.es,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://solarmente.es/,official_site,low,no
31,481270-78,Aria Health,myaria.health,[],[],completed,,[],[],[],Company description mentions tokenized incentives but no supported token evidence found on allowed sources.,,,low,yes
32,481872-34,warena,warena.io,"[""Warena""]","[""https://warena.io""]",completed,,"[""RENA""]","[""Warena""]","[""https://coinmarketcap.com/currencies/warena/""]",CoinMarketCap lists Warena (RENA).,https://coinmarketcap.com/currencies/warena/,coinmarketcap,high,no
33,481901-32,Xriba,xriba.com,"[""Xriba""]","[""https://xriba.com""]",completed,,"[""XRA""]","[""Xriba""]","[""https://coinmarketcap.com/currencies/xriba/""]",CoinMarketCap lists Xriba (XRA).,https://coinmarketcap.com/currencies/xriba/,coinmarketcap,high,no
34,481904-92,Tongtai Tech,ttaicloud.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
35,481279-87,Meld,meld.io,"[""MELD""]","[""https://meld.io""]",completed,,"[""MELD"",""MINTY""]","[""MELD"",""MINTY""]","[""https://coinmarketcap.com/currencies/meld/"",""https://www.coingecko.com/en/coins/minterest""]",CoinMarketCap lists MELD and CoinGecko notes the MNT to MINTY rebrand for the same protocol.,https://coinmarketcap.com/currencies/meld/|https://www.coingecko.com/en/coins/minterest,coinmarketcap|coingecko,high,yes
36,481940-11,Coinshift,coinshift.xyz,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
37,481291-93,iCoin,icointechnology.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
38,481952-53,Layer3,layer3.xyz,"[""Layer3""]","[""https://layer3.xyz""]",completed,,"[""L3""]","[""Layer3""]","[""https://coinmarketcap.com/currencies/layer3-xyz/""]",CoinMarketCap lists Layer3 (L3).,https://coinmarketcap.com/currencies/layer3-xyz/,coinmarketcap,high,no
39,481960-54,Kokoa Finance,kokoa.finance,"[""Kokoa Finance""]","[""https://kokoa.finance""]",completed,,"[""KSD"",""KOKOA""]","[""KSD"",""KOKOA""]","[""https://coinmarketcap.com/currencies/kokoa-finance/""]",CoinMarketCap describes Kokoa Finance as a two-token system with KSD and KOKOA.,https://coinmarketcap.com/currencies/kokoa-finance/,coinmarketcap,high,no
40,481982-05,Meow Technologies,meow.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
41,481986-10,Rarimo,rarimo.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
42,482021-38,Reasoned Art,reasonedart.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
43,482022-28,Utopia (Financial Software),utopialabs.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
44,481308-22,FantomStarter,fantomstarter.io,"[""FutureStarter""]","[""https://fantomstarter.io""]",completed,,"[""FS""]","[""FutureStarter""]","[""https://coinmarketcap.com/currencies/fantomstarter/""]","CoinMarketCap lists FutureStarter (FS), the rebranded token/project for FantomStarter.",https://coinmarketcap.com/currencies/fantomstarter/,coinmarketcap,high,no
45,482035-33,Ojamu AI,ojamuai.com,"[""Ojamu""]","[""https://ojamuai.com""]",completed,,"[""OJA""]","[""Ojamu""]","[""https://coinmarketcap.com/currencies/ojamu/""]",CoinMarketCap lists Ojamu (OJA).,https://coinmarketcap.com/currencies/ojamu/,coinmarketcap,high,no
46,481316-14,GamyFI Labs,gamyfi.org,"[""GamyFi Platform""]","[""https://gamyfi.org""]",completed,,"[""GFX""]","[""GamyFi""]","[""https://gamyfi.org/""]",Official site says users play fantasy sports with $GFX and holders receive rewards.,https://gamyfi.org/,official_site,high,no
47,481323-25,Bubblehouse,bubblehouse.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
48,482110-21,DFarm,dfarminc.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
49,482119-93,Sturdy.,sturdy.co,"[""Sturdy""]","[""https://sturdy.co""]",completed,,"[""STRDY""]","[""Sturdy""]","[""https://coinmarketcap.com/currencies/sturdy/""]",CoinMarketCap lists Sturdy (STRDY).,https://coinmarketcap.com/currencies/sturdy/,coinmarketcap,high,no
50,482141-35,Easy Crypto,easycrypto.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
51,481315-33,Prostarter,prostarter.io,"[""Prostarter""]","[""https://prostarter.io""]",completed,,"[""PROT""]","[""Prostarter""]","[""https://coinmarketcap.com/currencies/prostarter/""]",CoinMarketCap lists Prostarter (PROT).,https://coinmarketcap.com/currencies/prostarter/,coinmarketcap,high,no
52,481337-65,Light (San Francisco),light.so,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
53,482156-56,AIDONIC,aidonic.io,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
54,481339-00,Nifty Island,niftyisland.com,"[""Nifty Island""]","[""https://niftyisland.com""]",completed,,"[""ISLAND""]","[""ISLAND Token""]","[""https://coinmarketcap.com/currencies/nifty-island/""]",CoinMarketCap lists ISLAND Token for Nifty Island.,https://coinmarketcap.com/currencies/nifty-island/,coinmarketcap,high,no
55,482160-34,Vesta Equity,vestaequity.net,[],[],completed,,[],[],[],"Company materials discuss tokenization, but no supported token ticker was found on allowed sources.",,,low,yes
56,482163-49,CoinMENA,coinmena.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
57,482168-44,The Convo Space,theconvo.space,[],[],completed,,[],[],[],"Company description suggests a protocol, but no supported token ticker was found on allowed sources.",,,low,yes
58,482189-23,RabbitX,intro.rabbitx.com,"[""RabbitX""]","[""https://intro.rabbitx.com""]",completed,,"[""RBX""]","[""RabbitX""]","[""https://coinmarketcap.com/currencies/rabbitx/""]",CoinMarketCap lists RabbitX (RBX).,https://coinmarketcap.com/currencies/rabbitx/,coinmarketcap,high,no
59,481364-02,Minterest,minterest.com,"[""Minterest""]","[""https://minterest.com""]",completed,,"[""MINTY""]","[""Minterest""]","[""https://www.coingecko.com/en/coins/minterest""]",CoinGecko maps Minterest to MINTY and notes the rebrand from MNT to MINTY.,https://www.coingecko.com/en/coins/minterest,coingecko,high,no
60,481367-53,Maxwell Labs,mxllabs.com,[],[],completed,,[],[],[],No supported token evidence found on allowed sources.,,,low,no
61,481368-61,QTI,qticompany.com,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.qticompany.com/,official_site,low,no
62,481370-68,Spice AI,spice.ai,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.spice.ai/,official_site,low,no
63,482267-35,Tinyman,tinyman.org,"[""Tinyman Protocol""]","[""https://tinyman.org/""]",completed,,"[""TINY""]","[""TINY""]","[""https://docs.tinyman.org/token-and-governance/tiny-token-details""]",Tinyman docs define TINY as the governance token; CoinGecko lists TINY.,https://docs.tinyman.org/token-and-governance/tiny-token-details|https://www.coingecko.com/en/coins/tiny,official_site|coingecko,high,no
64,482282-29,Kollect.Cards,kollect.cards,"[""Kollect""]","[""https://kollect.cards/""]",completed,,"[""KOL""]","[""KOL""]","[""https://coinmarketcap.com/currencies/kollect/""]",CoinMarketCap lists Kollect (KOL) and describes it as Kollect/cards ecosystem token.,https://coinmarketcap.com/currencies/kollect/|https://kollect.cards/,coinmarketcap|official_site,high,no
65,482282-65,PureFi,purefi.io,"[""PureFi""]","[""https://purefi.io/""]",completed,,"[""UFI""]","[""UFI""]","[""https://www.coingecko.com/en/coins/purefi""]",CoinGecko lists PureFi (UFI); official site matches the protocol.,https://www.coingecko.com/en/coins/purefi|https://purefi.io/,coingecko|official_site,high,no
66,482283-91,XY Finance,xy.finance,"[""XY Finance""]","[""https://xy.finance/""]",completed,,"[""XY""]","[""XY""]","[""https://docs.xy.finance/xy-token""]",XY Finance docs state XY is the native utility/governance token.,https://docs.xy.finance/xy-token|https://docs.xy.finance/,official_site,high,no
67,481381-48,onCyber,oncyber.io,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://oncyber.io/,official_site,low,no
68,482300-65,GooseFX,goosefx.io,"[""GooseFX""]","[""https://goosefx.io/""]",completed,,"[""GOFX""]","[""GOFX""]","[""https://coinmarketcap.com/currencies/goosefx/""]",CoinMarketCap lists GooseFX (GOFX) and describes the DeFi exchange.,https://coinmarketcap.com/currencies/goosefx/|https://goosefx.io/,coinmarketcap|official_site,high,no
69,482309-56,Blockfish,blockfish.io,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://blockfish.io/,official_site,low,no
70,482310-46,W3Block,w3block.io,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.w3block.io/,official_site,low,no
71,482317-03,KlimaDAO,klimadao.finance,"[""KlimaDAO""]","[""https://klimadao.finance/""]",completed,,"[""KLIMA""]","[""KLIMA""]","[""https://docs.klimadao.finance/readme""]",KlimaDAO docs state KLIMA is the protocol token.,https://docs.klimadao.finance/readme|https://docs.klimadao.finance/governance/the-role-of-klimadao,official_site,high,no
72,481387-15,Pledge Finance,pledger.finance,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.pledger.finance/,official_site,low,yes
73,482334-31,t3rn,t3rn.io,"[""t3rn""]","[""https://t3rn.io/""]",completed,,"[""TRN""]","[""TRN""]","[""https://www.coingecko.com/en/coins/t3rn""]",CoinGecko and CoinMarketCap list t3rn (TRN) as the native token.,https://www.coingecko.com/en/coins/t3rn|https://coinmarketcap.com/currencies/t3rn/,coingecko|coinmarketcap,high,no
74,481396-42,BagIt Solutions,tasteport.com,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.tasteport.com/,official_site,low,no
75,481395-34,LayerZero,layerzero.network,"[""LayerZero""]","[""https://layerzero.network/""]",completed,,"[""ZRO""]","[""ZRO""]","[""https://layerzero.network/blog/understanding-zro-buybacks""]",LayerZero official blog states ZRO is the network token.,https://layerzero.network/blog/understanding-zro-buybacks|https://layerzero.network/,official_site,high,no
76,482356-36,Digital Supply Chain Technology,shdatalink.com,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.shdatalink.com/,official_site,low,no
77,481397-32,Astarter,astarter.io,"[""Astarter""]","[""https://astarter.io/""]",completed,,"[""AA""]","[""AA""]","[""https://astarter.io/""]",Astarter official homepage states $AA is the governance/native utility token.,https://astarter.io/,official_site,high,no
78,482360-05,Connected Medical System,,[],[],completed,,[],[],[],No supported token found on allowed sources.,,,low,no
79,481405-60,Robes (IT Consulting and Outsourcing),robes.co.jp,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://robes.co.jp/,official_site,low,no
80,482369-23,reNFT,renft.io,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.renft.io/,official_site,low,no
81,481407-76,Mint Songs,mintsongs.com,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.mintsongs.com/,official_site,low,no
82,482406-13,IPOR,ipor.io,"[""IPOR Protocol""]","[""https://ipor.io/""]",completed,,"[""IPOR""]","[""IPOR""]","[""https://docs.ipor.io/tokenomics/ipor-token""]",IPOR docs state the protocol has an IPOR native token.,https://docs.ipor.io/tokenomics/ipor-token|https://ipor.io/,official_site,high,no
83,482417-02,Ground (Business/Productivity Software),joinground.com,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.joinground.com/,official_site,low,no
84,481417-93,FANZONE.io,fanzone.cloud,[],[],completed,,[],[],[],"Official site shows blockchain collectibles, but no supported token could be confirmed.",https://fanzone.cloud/,official_site,low,yes
85,481423-96,Violet,violet.co,"[""Violet""]","[""https://violet.co/""]",completed,,"[""VIOLET""]","[""VIOLET""]","[""https://www.coingecko.com/en/coins/violet""]",CoinGecko lists VIOLET; official site is the Violet compliance infrastructure.,https://www.coingecko.com/en/coins/violet|https://violet.co/,coingecko|official_site,high,no
86,482431-24,Vietnam Blockchain Corporation,vietnamblockchain.asia,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://vietnamblockchain.asia/,official_site,low,no
87,482434-03,Thorstarter,thorswap.finance,"[""Thorstarter""]","[""https://thorswap.finance/""]",completed,,"[""XRUNE""]","[""XRUNE""]","[""https://www.coingecko.com/en/coins/thorstarter""]",CoinGecko and CoinMarketCap list Thorstarter (XRUNE) as the token.,https://www.coingecko.com/en/coins/thorstarter|https://coinmarketcap.com/currencies/thorstarter/,coingecko|coinmarketcap,high,no
88,481429-63,Silicon (Plano),silicon.inc,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.silicon.inc/,official_site,low,no
89,481427-65,Danvas,danvas.art,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.danvas.art/,official_site,low,no
90,482444-74,Hal (Business/Productivity Software),hal.xyz,[],[],completed,,[],[],[],No supported token found on official site or allowed sources.,https://www.hal.xyz/,official_site,low,no
91,482462-02,Data Mynt,datamynt.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.datamynt.com/,official_site,low,no
92,481446-28,Marvion Media,marvion.net,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://www.marvion.net/,official_site,low,yes
93,481551-37,GFX Labs,gfx.xyz,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://gfx.xyz/,official_site,low,no
94,481530-88,Naapbooks,naapbooks.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://naapbooks.com/,official_site,low,no
95,481519-60,Bunicorn,buni.finance,"[""Bunicorn""]","[""https://buni.finance/""]",completed,,"[""BUNI""]","[""BUNI""]","[""https://coinmarketcap.com/currencies/bunicorn/""]",CoinMarketCap identifies the native BUNI token for Bunicorn.,https://buni.finance/|https://coinmarketcap.com/currencies/bunicorn/,official_site|coinmarketcap,high,no
96,481566-47,Loanbase,loanbase.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://loanbase.com/,official_site,low,no
97,481502-54,Sea Green,sea.green,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://sea.green/,official_site,low,no
98,481469-39,Riseonline Entertainment,roco.finance,"[""ROCO FINANCE""]","[""https://docs.roco.finance/""]",completed,,"[""ROCO""]","[""ROCO""]","[""https://coinmarketcap.com/currencies/roco-finance/""]",ROCO Finance docs and CoinMarketCap identify ROCO as the token.,https://docs.roco.finance/|https://coinmarketcap.com/currencies/roco-finance/,official_site|coinmarketcap,high,no
99,481611-72,Structure,structure.fi,"[""Structure finance""]","[""https://structure.fi/""]",completed,,"[""STF""]","[""STF""]","[""https://coinmarketcap.com/currencies/structure-finance/""]",CoinMarketCap identifies STF as the Structure finance token.,https://structure.fi/|https://coinmarketcap.com/currencies/structure-finance/,official_site|coinmarketcap,high,no
100,481470-31,Vader,vaderprotocol.io,"[""Vader Protocol"",""Vader Protocol""]","[""https://vaderprotocol.io/"",""https://vaderprotocol.io/""]",completed,,"[""VADER"",""USDV""]","[""VADER"",""USDV""]","[""https://coinmarketcap.com/currencies/vader-protocol/"",""https://vaderprotocol.io/""]",Official and CoinMarketCap pages identify VADER and the native USDV stablecoin.,https://vaderprotocol.io/|https://coinmarketcap.com/currencies/vader-protocol/,official_site|coinmarketcap,high,no
101,481552-12,Huddle01,huddle01.com,"[""Huddle01""]","[""https://huddle01.com/""]",completed,,"[""HUDL""]","[""HUDL""]","[""https://www.coingecko.com/en/coins/huddle01""]",CoinGecko identifies HUDL and the official site refers to the HUDL token.,https://huddle01.com/|https://www.coingecko.com/en/coins/huddle01,official_site|coingecko,medium,no
102,481606-98,Leeway (Financial Software),theleeway.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://theleeway.com/,official_site,low,no
103,481584-13,Arkham,intel.arkm.com,"[""Arkham""]","[""https://intel.arkm.com/""]",completed,,"[""ARKM""]","[""ARKM""]","[""https://coinmarketcap.com/currencies/arkham/""]",CoinMarketCap identifies ARKM for Arkham.,https://intel.arkm.com/|https://coinmarketcap.com/currencies/arkham/,official_site|coinmarketcap,high,no
104,481573-07,Skytale,skytale.finance,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://skytale.finance/,official_site,low,no
105,481580-21,Defina Finance,defina.finance,"[""Defina Finance""]","[""https://defina.finance/""]",completed,,"[""FINA""]","[""FINA""]","[""https://coinmarketcap.com/currencies/defina-finance/""]",CoinMarketCap identifies FINA for Defina Finance.,https://defina.finance/|https://coinmarketcap.com/currencies/defina-finance/,official_site|coinmarketcap,high,no
106,481574-90,Pretoria Research Lab,pretoriaresearchlab.io,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://pretoriaresearchlab.io/,official_site,low,no
107,481592-80,Gadze Finance,gadze.finance,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://gadze.finance/,official_site,low,no
108,481620-04,Nightverse,nightverse.game,"[""NightVerse Game""]","[""https://nightverse.game/""]",completed,,"[""NVGT""]","[""NVGT""]","[""https://nightverse.game/""]",Official site says NVGT is the game token; CoinGecko and CoinMarketCap list NVG for the same project.,https://nightverse.game/|https://www.coingecko.com/en/coins/nightverse-game|https://coinmarketcap.com/currencies/nightverse-game/,official_site|coingecko|coinmarketcap,medium,yes
109,481600-11,Skyscend,skyscend.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://skyscend.com/,official_site,low,no
110,481599-77,Magna,magna.so,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.magna.so/,official_site,low,no
111,481583-55,Whale (Financial Services),whale.me,"[""WHALE DAO""]","[""https://whale.me/""]",completed,,"[""WHALE""]","[""WHALE""]","[""https://coinmarketcap.com/currencies/whale/""]",Official whale.me pages and CoinMarketCap identify the $WHALE token.,https://whale.me/|https://coinmarketcap.com/currencies/whale/,official_site|coinmarketcap,high,no
112,481577-49,Papyrus Network,papyrus.network,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://papyrus.network/,official_site,low,yes
113,481588-66,PreStocks,prestocks.com,[],[],completed,,[],[],[],"PreStocks is a tokenized-stock platform, but no supported native token ticker was confirmed for the company itself.",https://prestocks.com/|https://coinmarketcap.com/currencies/xai-tokenized-stock-prestocks/,official_site|coinmarketcap,low,yes
114,481576-33,PlaceWar,placewar.io,"[""PlaceWar"",""PlaceWar""]","[""https://placewar.io/"",""https://placewar.io/""]",completed,,"[""PLACE"",""GEAR""]","[""PLACE"",""GEAR""]","[""https://coinmarketcap.com/currencies/placewar/"",""https://coinmarketcap.com/currencies/placewar-gear/""]","CoinMarketCap and CoinGecko identify PLACE, and CoinMarketCap also lists GEAR for PlaceWar.",https://placewar.io/|https://coinmarketcap.com/currencies/placewar/|https://coinmarketcap.com/currencies/placewar-gear/,official_site|coinmarketcap|coingecko,high,no
115,481629-18,Stageverse,stageverse.com,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://stageverse.com/,official_site,low,yes
116,481598-02,Dodas,dodas.xyz,[],[],completed,,[],[],[],"No supported token found, but the company description suggests a possible crypto/token relationship that needs review.",https://dodas.xyz/,official_site,low,yes
117,481602-09,Legaci,legaci.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://legaci.com/,official_site,low,no
118,481603-44,Genopets,genopets.me,"[""Genopets""]","[""https://genopets.me/""]",completed,,"[""GENE""]","[""GENE""]","[""https://coinmarketcap.com/currencies/genopets/""]",CoinMarketCap identifies GENE for Genopets.,https://genopets.me/|https://coinmarketcap.com/currencies/genopets/,official_site|coinmarketcap,high,no
119,482665-06,TheOne.art,theone.art,"[""OneArt""]","[""https://www.coingecko.com/en/coins/oneart""]",completed,,"[""1ART""]","[""1ART""]","[""https://coinmarketcap.com/currencies/artwallet/""]",CoinGecko identifies OneArt (1ART) and notes the ArtWallet rebrand; CoinMarketCap lists 1ART.,https://www.coingecko.com/en/coins/oneart|https://coinmarketcap.com/currencies/artwallet/,coingecko|coinmarketcap,medium,yes
120,481519-90,Taker Labs,taker.xyz,"[""Taker""]","[""https://taker.xyz/""]",completed,,"[""TAKER""]","[""TAKER""]","[""https://coinmarketcap.com/currencies/taker/""]",Official Taker docs and CoinMarketCap identify the TAKER token.,https://taker.xyz/|https://coinmarketcap.com/currencies/taker/,official_site|coinmarketcap,high,no
121,482667-67,Turnt Gaming,turntgaming.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.turntgaming.com/,official_site,low,no
122,482673-97,Omni Network,nomina.io,"[""Nomina""]","[""https://nomina.io/""]",completed,,"[""OMNI"", ""NOM""]","[""Omni Network"", ""Nomina""]","[""https://www.coingecko.com/en/coins/omni-network"", ""https://coinmarketcap.com/currencies/omni-network/""]",Official site and CoinMarketCap show the Omni Network -> Nomina rebrand and swap; CoinGecko/CMC support OMNI and NOM.,https://nomina.io/|https://www.coingecko.com/en/coins/omni-network|https://coinmarketcap.com/currencies/omni-network/,official_site|coingecko|coinmarketcap,medium,yes
123,481526-02,Dropee,dropee.xyz,"[""Dropee""]","[""https://dropee.xyz/""]",completed,,"[""DROPEE""]","[""Dropee""]","[""https://www.coingecko.com/en/coins/dropee"", ""https://coinmarketcap.com/currencies/dropee/""]",CoinGecko and CoinMarketCap preview the DROPEE token and the official site matches the Dropee project.,https://dropee.xyz/|https://www.coingecko.com/en/coins/dropee|https://coinmarketcap.com/currencies/dropee/,official_site|coingecko|coinmarketcap,medium,yes
124,482693-23,AW3 Technology,aw3.tech,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.aw3.tech/,official_site,low,no
125,482721-85,Daliado,daliadosecondhomes.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.daliadosecondhomes.com/,official_site,low,yes
126,481528-45,Kronoshev,kronoshev.co.uk,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.kronoshev.co.uk/,official_site,low,no
127,482724-28,Anypad,anypad.io,"[""Anypad""]","[""https://www.anypad.io/""]",completed,,"[""APAD""]","[""Anypad""]","[""https://coinmarketcap.com/currencies/anypad/""]",CoinMarketCap preview page lists APAD and the official site matches the Anypad project.,https://www.anypad.io/|https://coinmarketcap.com/currencies/anypad/,official_site|coinmarketcap,medium,yes
128,481528-63,Ryskex,ryskex.io,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.ryskex.io/,official_site,low,no
129,482726-35,MyCointainer,mycointainer.com,[],[],completed,,[],[],[],No supported token found on the allowed sources.,https://www.mycointainer.com/,official_site,low,no
