task_index,company_id,company_name,normalized_domain,status,completed_at,CompanyID,CompanyName,has_token,token_ticker,has_token_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review,raw_output
11,104223-52,Aurovine,aurovine.com,completed,2026-04-10T08:27:37+00:00,104223-52,Aurovine,unknown,,"CoinMarketCap lists AudioCoin (ADC), but allowed sources do not clearly map Aurovine itself to a native token ticker.",https://coinmarketcap.com/currencies/audiocoin/,coinmarketcap,low,yes,"{""CompanyID"": ""104223-52"", ""CompanyName"": ""Aurovine"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""CoinMarketCap lists AudioCoin (ADC), but allowed sources do not clearly map Aurovine itself to a native token ticker."", ""evidence_urls"": [""https://coinmarketcap.com/currencies/audiocoin/""], ""evidence_source_types"": [""coinmarketcap""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
12,104278-78,WikiRealty,wikirealty.com,completed,2026-04-10T08:27:37+00:00,104278-78,WikiRealty,unknown,,WikiRealty official site did not provide clear token or ticker evidence on allowed sources.,https://wikirealty.com/,official_site,low,yes,"{""CompanyID"": ""104278-78"", ""CompanyName"": ""WikiRealty"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""WikiRealty official site did not provide clear token or ticker evidence on allowed sources."", ""evidence_urls"": [""https://wikirealty.com/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
13,292467-25,Fidectus,fidectus.com,completed,2026-04-10T08:27:37+00:00,292467-25,Fidectus,unknown,,Fidectus official pages focus on energy trading post-trade automation and do not provide explicit token evidence on allowed sources.,https://fidectus.com/|https://fidectus.com/en/about,official_site,medium,no,"{""CompanyID"": ""292467-25"", ""CompanyName"": ""Fidectus"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Fidectus official pages focus on energy trading post-trade automation and do not provide explicit token evidence on allowed sources."", ""evidence_urls"": [""https://fidectus.com/"", ""https://fidectus.com/en/about""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
14,292577-86,Pluang,pluang.com,completed,2026-04-10T08:27:37+00:00,292577-86,Pluang,unknown,,"Pluang official pages show crypto and crypto futures products, but no native Pluang token ticker is confirmed on allowed sources.",https://pluang.com/en/tentang-pluang|https://pluang.com/en/explore/crypto,official_site,high,no,"{""CompanyID"": ""292577-86"", ""CompanyName"": ""Pluang"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Pluang official pages show crypto and crypto futures products, but no native Pluang token ticker is confirmed on allowed sources."", ""evidence_urls"": [""https://pluang.com/en/tentang-pluang"", ""https://pluang.com/en/explore/crypto""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
15,292754-80,Kriptown,kriptown.com,completed,2026-04-10T08:27:37+00:00,292754-80,Kriptown,unknown,,"Kriptown official pages describe a digital asset trading platform and neo-exchange, but no native Kriptown token ticker is identified on allowed sources.",https://www.kriptown.com/en/about-us,official_site,high,no,"{""CompanyID"": ""292754-80"", ""CompanyName"": ""Kriptown"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Kriptown official pages describe a digital asset trading platform and neo-exchange, but no native Kriptown token ticker is identified on allowed sources."", ""evidence_urls"": [""https://www.kriptown.com/en/about-us""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
16,292821-85,Gigantec Media,gigantec.media,completed,2026-04-10T08:27:37+00:00,292821-85,Gigantec Media,unknown,,Current Gigantec Media public presence does not provide reliable official token evidence on allowed sources.,https://gigantec.media/,official_site,low,yes,"{""CompanyID"": ""292821-85"", ""CompanyName"": ""Gigantec Media"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Current Gigantec Media public presence does not provide reliable official token evidence on allowed sources."", ""evidence_urls"": [""https://gigantec.media/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
17,293059-27,ANote Music,anotemusic.com,completed,2026-04-10T08:27:37+00:00,293059-27,ANote Music,unknown,,"ANote Music official company materials describe music-finance infrastructure and royalty investing, but no native token ticker is confirmed on allowed sources.",https://www.anotemusic.com/company,official_site,medium,no,"{""CompanyID"": ""293059-27"", ""CompanyName"": ""ANote Music"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""ANote Music official company materials describe music-finance infrastructure and royalty investing, but no native token ticker is confirmed on allowed sources."", ""evidence_urls"": [""https://www.anotemusic.com/company""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
18,104374-63,Provenance,provenance.org,completed,2026-04-10T08:27:37+00:00,104374-63,Provenance,unknown,,"Provenance official pages currently describe a sustainability and product data platform, and no token ticker is identified on allowed sources.",https://www.provenance.org/about,official_site,high,no,"{""CompanyID"": ""104374-63"", ""CompanyName"": ""Provenance"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Provenance official pages currently describe a sustainability and product data platform, and no token ticker is identified on allowed sources."", ""evidence_urls"": [""https://www.provenance.org/about""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
19,481191-94,Boardroom 35,boardroom.tv,completed,2026-04-10T08:27:37+00:00,481191-94,Boardroom 35,unknown,,"Boardroom official pages describe a sports, media, and entertainment brand, and no token ticker is identified on allowed sources.",https://boardroom.tv/about/,official_site,high,no,"{""CompanyID"": ""481191-94"", ""CompanyName"": ""Boardroom 35"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Boardroom official pages describe a sports, media, and entertainment brand, and no token ticker is identified on allowed sources."", ""evidence_urls"": [""https://boardroom.tv/about/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
20,481194-91,GetHedge,gethedge.io,completed,2026-04-10T08:27:37+00:00,481194-91,GetHedge,unknown,,"Hedge official FAQ describes fiat-to-crypto conversion features, but no native Hedge token ticker is confirmed on allowed sources.",https://gethedge.io/faq/,official_site,high,no,"{""CompanyID"": ""481194-91"", ""CompanyName"": ""GetHedge"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Hedge official FAQ describes fiat-to-crypto conversion features, but no native Hedge token ticker is confirmed on allowed sources."", ""evidence_urls"": [""https://gethedge.io/faq/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
21,481197-61,CySecure,cysecure.us,completed,2026-04-10T08:27:37+00:00,481197-61,CySecure,unknown,,"CySecure official pages describe identity verification and anti-deepfake security products, but no token ticker is identified on allowed sources.",https://cysecure.us/,official_site,medium,no,"{""CompanyID"": ""481197-61"", ""CompanyName"": ""CySecure"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""CySecure official pages describe identity verification and anti-deepfake security products, but no token ticker is identified on allowed sources."", ""evidence_urls"": [""https://cysecure.us/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
22,481230-73,Januar,januar.com,completed,2026-04-10T08:27:37+00:00,481230-73,Januar,unknown,,"Januar official pages describe regulated crypto trading, custody, and payment infrastructure, but no native Januar token ticker is confirmed on allowed sources.",https://www.januar.com/,official_site,high,no,"{""CompanyID"": ""481230-73"", ""CompanyName"": ""Januar"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Januar official pages describe regulated crypto trading, custody, and payment infrastructure, but no native Januar token ticker is confirmed on allowed sources."", ""evidence_urls"": [""https://www.januar.com/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
23,481220-65,DeSpace Protocol,despace.io,completed,2026-04-10T08:27:37+00:00,481220-65,DeSpace Protocol,yes,DES,"The official DeSpace site says users earn DES coin from successful transactions, and CoinMarketCap lists DeSpace Protocol with ticker DES.",https://despace.io/|https://coinmarketcap.com/currencies/despace-protocol/,official_site|coinmarketcap,high,no,"{""CompanyID"": ""481220-65"", ""CompanyName"": ""DeSpace Protocol"", ""has_token"": ""yes"", ""token_ticker"": ""DES"", ""has_token_evidence"": ""The official DeSpace site says users earn DES coin from successful transactions, and CoinMarketCap lists DeSpace Protocol with ticker DES."", ""evidence_urls"": [""https://despace.io/"", ""https://coinmarketcap.com/currencies/despace-protocol/""], ""evidence_source_types"": [""official_site"", ""coinmarketcap""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
24,104704-48,SFOX,sfox.com,completed,2026-04-10T08:27:37+00:00,104704-48,SFOX,unknown,,"sFOX official pages describe crypto and stablecoin infrastructure products, but no native sFOX token ticker is identified on allowed sources.",https://www.sfox.com/connect/,official_site,high,no,"{""CompanyID"": ""104704-48"", ""CompanyName"": ""SFOX"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""sFOX official pages describe crypto and stablecoin infrastructure products, but no native sFOX token ticker is identified on allowed sources."", ""evidence_urls"": [""https://www.sfox.com/connect/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
25,104756-14,VALIDATED ID,validatedid.com,completed,2026-04-10T08:27:37+00:00,104756-14,VALIDATED ID,unknown,,Validated ID official pages describe electronic signature and digital identity products and do not identify a native token ticker on allowed sources.,https://www.validatedid.com/en|https://www.validatedid.com/en/identity/vidwallet,official_site,medium,no,"{""CompanyID"": ""104756-14"", ""CompanyName"": ""VALIDATED ID"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""Validated ID official pages describe electronic signature and digital identity products and do not identify a native token ticker on allowed sources."", ""evidence_urls"": [""https://www.validatedid.com/en"", ""https://www.validatedid.com/en/identity/vidwallet""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
26,481264-03,New Renaissance,newrenaissance.io,completed,2026-04-10T08:27:37+00:00,481264-03,New Renaissance,unknown,,"The official New Renaissance domain did not provide accessible token evidence, and no matching CoinGecko or CoinMarketCap token page was confirmed on allowed sources.",https://newrenaissance.io/,official_site,low,yes,"{""CompanyID"": ""481264-03"", ""CompanyName"": ""New Renaissance"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""The official New Renaissance domain did not provide accessible token evidence, and no matching CoinGecko or CoinMarketCap token page was confirmed on allowed sources."", ""evidence_urls"": [""https://newrenaissance.io/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
27,481266-01,Cybera,cybera.io,completed,2026-04-10T08:27:37+00:00,481266-01,Cybera,unknown,,"CYBERA official pages describe scam prevention and recovery services for financial institutions and crypto platforms, but no native token ticker is identified on allowed sources.",https://www.cybera.io/,official_site,medium,no,"{""CompanyID"": ""481266-01"", ""CompanyName"": ""Cybera"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""CYBERA official pages describe scam prevention and recovery services for financial institutions and crypto platforms, but no native token ticker is identified on allowed sources."", ""evidence_urls"": [""https://www.cybera.io/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""medium"", ""needs_manual_review"": ""no""}"
28,293426-47,Good Stock,goodstocksoups.com,completed,2026-04-10T08:27:37+00:00,293426-47,Good Stock,unknown,,GoodStockSoups official pages describe a gambling information site and do not provide any token ticker evidence on allowed sources.,https://www.goodstocksoups.com/about-us/,official_site,high,no,"{""CompanyID"": ""293426-47"", ""CompanyName"": ""Good Stock"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""GoodStockSoups official pages describe a gambling information site and do not provide any token ticker evidence on allowed sources."", ""evidence_urls"": [""https://www.goodstocksoups.com/about-us/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
29,481864-42,Angle (Financial Software),angle.money,completed,2026-04-10T08:27:37+00:00,481864-42,Angle (Financial Software),yes,ANGLE,"CoinGecko and CoinMarketCap both list ANGLE as the governance token of Angle Protocol, while the official site identifies the protocol and stablecoin system.",https://angle.money/|https://www.coingecko.com/en/coins/angle|https://coinmarketcap.com/currencies/angle/,official_site|coingecko|coinmarketcap,high,no,"{""CompanyID"": ""481864-42"", ""CompanyName"": ""Angle (Financial Software)"", ""has_token"": ""yes"", ""token_ticker"": ""ANGLE"", ""has_token_evidence"": ""CoinGecko and CoinMarketCap both list ANGLE as the governance token of Angle Protocol, while the official site identifies the protocol and stablecoin system."", ""evidence_urls"": [""https://angle.money/"", ""https://www.coingecko.com/en/coins/angle"", ""https://coinmarketcap.com/currencies/angle/""], ""evidence_source_types"": [""official_site"", ""coingecko"", ""coinmarketcap""], ""confidence"": ""high"", ""needs_manual_review"": ""no""}"
30,481270-69,SolarMente,solarmente.es,completed,2026-04-10T08:27:37+00:00,481270-69,SolarMente,unknown,,"The SolarMente official domain did not provide accessible token evidence, and no matching CoinGecko or CoinMarketCap token page was confirmed on allowed sources.",https://solarmente.es/,official_site,low,yes,"{""CompanyID"": ""481270-69"", ""CompanyName"": ""SolarMente"", ""has_token"": ""unknown"", ""token_ticker"": """", ""has_token_evidence"": ""The SolarMente official domain did not provide accessible token evidence, and no matching CoinGecko or CoinMarketCap token page was confirmed on allowed sources."", ""evidence_urls"": [""https://solarmente.es/""], ""evidence_source_types"": [""official_site""], ""confidence"": ""low"", ""needs_manual_review"": ""yes""}"
