CompanyID,CompanyName,Website,normalized_domain,Verticals,Description,Keywords,MatchedKeywords,MatchedColumns,agent_priority,search_query_primary,search_query_token,search_query_listing,is_crypto_related_company,is_crypto_related_company_evidence,has_crypto_project,project_name,has_crypto_project_evidence,has_token,token_ticker,has_token_evidence,listed_where,listed_when,listing_evidence,evidence_urls,evidence_source_types,confidence,needs_manual_review,allowed_sources,agent_task_scope,agent_prompt_template
103729-60,Wordseye World,www.wordseyeworld.com,wordseyeworld.com,"Artificial Intelligence & Machine Learning, Big Data, SaaS","Developer of an online application designed to offer a creative visual experience through 3D scene creations. The company's AI-powered 3D content generation platform allows users to create 3D worlds and experiences with simple language inputs, enabling customers to convey their jokes, stories, and art beautifully and colorfully.","3d content, 3d games tools, 3d graphics, 3d modelling, generative ai, generative ai platform, natural language processing",crypto|blockchain|web3,Relation_SimilarVerticals|Relation_SimilarDescriptions|Relation_CompetitorVerticals|Relation_CompetitorDescriptions,low,"official site ""Wordseye World"" ""wordseyeworld.com""","site:wordseyeworld.com token OR ticker | CoinGecko ""Wordseye World"" | CoinMarketCap ""Wordseye World""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103735-45,Workfrom,www.workfrom.co,workfrom.co,"Mobile, TMT","Provider of flexible workspace access designed for remote and distributed workers. The company's platform offers a credit-based system allowing individuals and teams to book day-access to a global network of partner workspaces without committing to monthly memberships, features include transparent usage-based pricing, a referral program to grow the space network, support for team benefits and access to analytics of workspace usage, enabling freelancers, digital nomads and remote employees around the world to find productive work environments on flexible terms.","co-working hub, digital workspace, freelancing application, office space, online platform, online working, video rooms, wifi connectivity, working space",crypto|blockchain,Relation_SimilarVerticals,low,"official site ""Workfrom"" ""workfrom.co""","site:workfrom.co token OR ticker | CoinGecko ""Workfrom"" | CoinMarketCap ""Workfrom""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103736-44,YuanV Software,www.yuanv.com,yuanv.com,"Cybersecurity, SaaS","Provider of cybersecurity products and services for cloud computing-based applications. The company offers products that facilitate internet network separation, application separation, secure mobile office, classified protection, cascade protection and exchange of safety data.","cascade protection, cloud-based software, cybersecurity, data protection & encryption, data protection and encryption, data security, internet network separation, security virtualization",crypto,Relation_SimilarDescriptions,high,"official site ""YuanV Software"" ""yuanv.com""","site:yuanv.com token OR ticker | CoinGecko ""YuanV Software"" | CoinMarketCap ""YuanV Software""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
10053-91,Cadec Global,www.cadec.com,cadec.com,"Industrials, Mobile, SaaS, TMT","Provider of fleet-management software and hardware. The company provides a technology platform designed to enable private fleet managers to stay connected to their trucks and drivers. The product includes software for third-party routing and dispatch applications, and an on-board computer that wirelessly exchanges data, including monitoring of driver performance.","computing technology, fleet management, global positioning system",crypto|blockchain,Relation_SimilarVerticals|Relation_SimilarDescriptions,high,"official site ""Cadec Global"" ""cadec.com""","site:cadec.com token OR ticker | CoinGecko ""Cadec Global"" | CoinMarketCap ""Cadec Global""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103740-13,Zeer (USA),www.zeer.com,zeer.com,TMT,Provider of grocery information resource platform. The company provides a platform through which it offers suggestions based upon the dietary needs of the consumers.,"dietary recommendation service, grocery-information app, information resources, mobile app",crypto|blockchain,Relation_SimilarVerticals|Relation_SimilarDescriptions,low,"official site ""Zeer (USA)"" ""zeer.com""","site:zeer.com token OR ticker | CoinGecko ""Zeer (USA)"" | CoinMarketCap ""Zeer (USA)""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103743-91,Wheego,www.wheego.net,wheego.net,"Artificial Intelligence & Machine Learning, Autonomous cars, Mobility Tech","Developer of a self-developed full-stack software designed to provide autonomous driving. The company's software runs off an operating system developed in-house and proprietary algorithms, thereby enabling clients with color science, data collection, data processing, simulation, and auto annotation.","auto annotation, autonomous driving, autonomous driving tech, autonomous machine, autonomous vehicle, autonomous vehicles, machine learning, mobility tech, self driving car",crypto|blockchain,Relation_SimilarVerticals|Relation_SimilarDescriptions,low,"official site ""Wheego"" ""wheego.net""","site:wheego.net token OR ticker | CoinGecko ""Wheego"" | CoinMarketCap ""Wheego""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103745-53,Streembit,www.zovolt.com,zovolt.com,"Cryptocurrency/Blockchain, Internet of Things, TMT","Developer of a decentralized P2P communication software designed to protect real-time communication. The company's platform addresses issues primarily related to safety, politics, security, privacy, economy, and the Internet of Things all while complying with standards, enabling clients and users to manage device discovery, authentication, access control, and provisioning of devices without using a centralized authority server.","blockchain system, connected buildings, ddos mitigation, decentralized network, encryption tools, industrial iot technology, p2p system, smart home",crypto|blockchain,Verticals|Keywords|Relation_Verticals|Relation_SimilarDescriptions,high,"official site ""Streembit"" ""zovolt.com""","site:zovolt.com token OR ticker | CoinGecko ""Streembit"" | CoinMarketCap ""Streembit""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103754-44,WriteOn,www.writeon.cool,writeon.cool,Mobile,"Developer of a digital handwriting application intended for handwriting note-taking. The company's application utilizes a vector-based inking engine and heuristic algorithm for palm rejection, enabling users to easily note-taking on touchscreen devices.","digital handwriting, digital handwriting app, digital notes, handwriting application, handwriting recognition, palm rejection, touch screen device app",web3,Relation_SimilarDescriptions,low,"official site ""WriteOn"" ""writeon.cool""","site:writeon.cool token OR ticker | CoinGecko ""WriteOn"" | CoinMarketCap ""WriteOn""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103756-33,Zepol,zepol.com,zepol.com,,"Provider of online trade data tools. The company provides import and export data, online trade databases, customs bill of lading data and provides access to analyze import shipments into the United States.","business product, import export data, online trade data, trade database",crypto|blockchain,Relation_SimilarVerticals,low,"official site ""Zepol"" ""zepol.com""","site:zepol.com token OR ticker | CoinGecko ""Zepol"" | CoinMarketCap ""Zepol""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
103763-62,All My Faves,allmyfaves.com,allmyfaves.com,"SaaS, TMT","Operator of an internet discovery platform intended to offer logo-based, visual web navigation. The company offers designated pages for blogs, business, education, games, travel, video, shopping, and more, and also users to create their very own homepage made up of a visual display of all their bookmarks and favorites in one easily accessible page.","curated web, discovery platform developer, internet discovery, internet discovery platform, visual web navigation, web discovery software",web3,Relation_SimilarDescriptions,low,"official site ""All My Faves"" ""allmyfaves.com""","site:allmyfaves.com token OR ticker | CoinGecko ""All My Faves"" | CoinMarketCap ""All My Faves""",only_if_explicit_on_official_or_coingecko_or_coinmarketcap,,,,,,,,,,,,,,,,official_site|coingecko|coinmarketcap,has_token|token_ticker,part4/agent_prompt_template.md
