company_id,company_name,normalized_domain,company_type,include_rule_B,rule_B_token_ticker,rule_B_token_name,rule_B_token_url,confidence,needs_manual_review
1078694-02,MonkeyLegauge,monkeylegauge.com,gaming_or_nft,yes,"[""LINEUP""]","[""LINEUP""]","[""https://www.unkjd.com/coin""]",medium,no
1080743-77,IDRX (Financial Software),idrx.co,protocol_or_network,yes,"[""IDRX""]","[""IDRX""]","[""https://www.coingecko.com/en/coins/idrx""]",high,no
108224-02,Chiliz,chiliz.com,protocol_or_network,yes,"[""CHZ""]","[""Chiliz""]","[""https://docs.chiliz.com/learn/about-chiliz-chain""]",high,no
1082866-87,Consensus,,protocol_or_network,yes,"[""SEN""]","[""Consensus""]","[""https://cryptoslate.com/coins/consensus/""]",high,no
1083527-74,True Foundation,true.foundation,protocol_or_network,yes,"[""TRUE""]","[""TRUE""]","[""https://true.foundation/whitepaper.pdf""]",high,no
1084938-67,Lov.cash,lovcash.co.za,dapp_or_product,yes,"[""CZAR""]","[""CZAR""]","[""https://www.lovcash.co.za/terms-conditions""]",high,no
109574-74,CryptoCorum,,protocol_or_network,yes,"[""XWBC""]","[""LXCCoin""]","[""https://www.globenewswire.com/news-release/2015/03/02/939356/0/en/strategabiz-announces-execution-of-conditional-agreement-to-purchase-cryptocorum-the-originator-of-the-cryptocurrency-lxccoin.html""]",low,yes
109679-77,Tech Bureau,techbureau.jp,exchange_or_broker,yes,"[""CMS""]","[""COMSA""]","[""https://coinmarketcap.com/currencies/comsa-xem/""]",high,no
109754-56,Benja,benja.co,media_or_education,yes,"[""BENJA""]","[""benjaCoin""]","[""https://www.benjacoin.com/""]",high,no
109909-81,ShapeShift,shapeshift.com,wallet_or_custody,yes,"[""FOX""]","[""ShapeShift FOX Token""]","[""https://shapeshift.com/dao/fox-token""]",high,no
111335-86,BnkToTheFuture,bnktothefuture.com,investment_or_holdings,yes,"[""BFT""]","[""BnkToTheFuture Token""]","[""https://bf-token.bnktothefuture.com/pdf/whitepaper.pdf""]",high,no
112042-27,BurstIQ,burstiq.com,infrastructure_or_data,yes,"[""BIQ""]","[""BiQ""]","[""https://www.burstiq.com/wp-content/uploads/2017/08/BurstIQ-Token-Memo_19Jul2017reduced.pdf""]",medium,yes
112811-59,Corn,usecorn.com,protocol_or_network,yes,"[""CORN"", ""BTCN""]","[""CORN"", ""Bitcorn""]","[""https://coinmarketcap.com/currencies/use-corn/corn/"", ""https://www.coingecko.com/en/coins/bitcorn-2""]",high,no
1131635-80,Zucoins,zucoins.com,protocol_or_network,yes,"[""ZUCOINS""]","[""Zucoins""]","[""https://zucoins.com/what-are-zucoins/""]",medium,yes
113200-75,Bit2Me,bit2me.com,exchange_or_broker,yes,"[""B2M""]","[""Bit2Me Token""]","[""https://bit2me.com/suite/launchpad/project/b2m""]",high,no
1132228-45,Block Street,blockstreet.money,protocol_or_network,yes,"[""BSB""]","[""Block Street""]","[""https://coinmarketcap.com/currencies/block-street/""]",high,no
113365-63,DecBC,blockchainzoo.com,protocol_or_network,yes,"[""ZBC""]","[""ZBC""]","[""https://coincodex.com/crypto/zbc-token/""]",high,no
113691-97,GNY (United States ),gny.io,protocol_or_network,yes,"[""GNY""]","[""GNY""]","[""https://gny.io/gny-token/""]",high,no
113724-37,Rp Expert Network,rpexps.com,infrastructure_or_data,yes,"[""PHB"", ""CCD""]","[""Phoenix Global"", ""Computation Credits""]","[""https://token-econ-update.phoenix.global/"", ""https://pnode-litepaper.phoenix.global/""]",medium,yes
113735-08,Injii,coin.injii.com,media_or_education,yes,"[""IAC""]","[""injii Access Coin""]","[""https://coin.injii.com/about-us""]",high,no
113767-21,ShoCard,shocard.com,security_or_compliance,yes,"[""SHO""]","[""ShoCoin""]","[""https://coinpaprika.com/storage/cdn/whitepapers/448345.pdf""]",low,yes
113826-43,Education Ecosystem,educationecosystem.com,media_or_education,yes,"[""LEDU""]","[""Education Ecosystem""]","[""https://coinmarketcap.com/currencies/education-ecosystem/""]",high,no
113857-03,MangoCoinz,mangocoinz.com,dapp_or_product,yes,"[""MCZ""]","[""MangoCoinz""]","[""https://coinmarketcap.com/currencies/mangocoinz/""]",high,no
113867-56,Jampick,jampick.co.kr,gaming_or_nft,yes,"[""CFXT""]","[""Chainflix""]","[""https://coinmarketcap.com/currencies/chainflix/""]",high,no
113934-79,Factom,factom.com,protocol_or_network,yes,"[""FCT""]","[""Factom""]","[""https://coinmarketcap.com/currencies/factom/""]",high,no
113958-73,BitoEX,bitoex.com,wallet_or_custody,yes,"[""BITO""]","[""Bito Coin""]","[""https://www.bitopro.com/ns/en-US/bito_coin""]",high,no
114430-60,Rivetz,rivetz.com,security_or_compliance,yes,"[""RVT""]","[""Rivetz""]","[""https://coinmarketcap.com/currencies/rivetz/""]",high,no
1146503-44,Fanable (Financial Services),fanable.io,dapp_or_product,yes,"[""COLLECT""]","[""Collect on Fanable""]","[""https://collectfoundation.xyz/collect""]",high,yes
1146513-61,Azos Finance,azos.finance,protocol_or_network,yes,"[""AZUSD"", ""AZOS"", ""SEED""]","[""AZUSD"", ""AZOS"", ""SEED""]","[""https://docs.azos.finance/docs/contracts/core_contracts/"", ""https://claim.azos.finance/""]",high,no
11526-49,BitTorrent,bittorrent.com,protocol_or_network,yes,"[""BTT""]","[""BitTorrent Token""]","[""https://www.bittorrent.com/token/btt/""]",high,no
1152698-05,DeVita,devita.io,dapp_or_product,yes,"[""LIFE""]","[""DEVITA""]","[""https://coinmarketcap.com/currencies/devita-global/""]",medium,yes
1153077-94,Xbo,xbo.com,exchange_or_broker,yes,"[""XBO""]","[""XBO Token""]","[""https://www.xbo.com/en/xbo-token""]",high,no
1153113-40,Noice (Financial Services),noice.so,protocol_or_network,yes,"[""NOICE""]","[""NOICE""]","[""https://docs.noice.so/tokenomics""]",high,no
1153593-91,Alien (Systems and Information Management),alien.international,protocol_or_network,yes,"[""ACU"", ""AVL""]","[""ACU Token"", ""Availability Token""]","[""https://alien.international/""]",high,no
1153683-19,Avici,avici.money,wallet_or_custody,yes,"[""AVICI""]","[""Avici""]","[""https://coinmarketcap.com/currencies/avici/""]",medium,yes
1153718-83,TBook,tbook.com,protocol_or_network,yes,"[""BOOK""]","[""BOOK""]","[""https://docs.tbook.com/tbook/tokenomics/tokenomics""]",high,no
1153760-32,StraitsX,straitsx.com,infrastructure_or_data,yes,"[""XSGD"", ""XUSD"", ""XIDR""]","[""StraitsX SGD"", ""StraitsX USD"", ""StraitsX IDR""]","[""https://www.straitsx.com/xsgd"", ""https://www.straitsx.com/xusd"", ""https://www.straitsx.com/xidr""]",high,no
1154174-86,Pieverse,pieverse.io,infrastructure_or_data,yes,"[""PIEVERSE""]","[""PIEVERSE""]","[""https://www.pieverse.io/whitepaper""]",high,no
115519-15,Atlas 3T,atlas3t.com,infrastructure_or_data,yes,"[""KAT""]","[""KAT""]","[""https://catalystnet.org/""]",medium,no
1156317-40,Entry (Business/Productivity Software),entry.network,protocol_or_network,yes,"[""ENT""]","[""ENTRY""]","[""https://entry-3.gitbook.io/entry-white-paper/10.-token-design-and-economics""]",high,no
1156342-69,GAEA,aigaea.net,protocol_or_network,yes,"[""GAEA""]","[""GAEA""]","[""https://app.aigaea.net/engine/?view=whitepaper""]",high,no
1157176-18,Metatech (Financial Services),metatech.network,protocol_or_network,yes,"[""MTT""]","[""MetaTechCoin""]","[""https://metatech.network/""]",high,no
1157676-49,Gold Coin AI,goldcoinai.com,dapp_or_product,yes,"[""GCAI""]","[""GCAI Stablecoin""]","[""https://www.goldcoinai.com/what-makes-gcai-different""]",high,no
1158034-24,Avon,avon.xyz,protocol_or_network,yes,"[""USDmY""]","[""USDm Yield""]","[""https://mega.etherscan.io/token/0x2ea493384f42d7ea78564f3ef4c86986eab4a890""]",high,no
1158521-23,Standard Money,standardmoney.com,protocol_or_network,yes,"[""USDsd"", ""sUSDsd""]","[""USDsd"", ""sUSDsd""]","[""https://docs.standardmoney.com/how-usdsd-works/overview"", ""https://docs.standardmoney.com/protocol-revenue/susdsd-rewards""]",high,no
1158599-89,DGrid AI,dgrid.ai,protocol_or_network,yes,"[""DGAI""]","[""DGAI""]","[""https://docs.dgrid.ai/What-is-%24DGAI""]",high,no
1158625-72,Timpi,timpi.io,protocol_or_network,yes,"[""NTMPI""]","[""Neutaro""]","[""https://www.bitmart.com/en-US/crypto/NTMPI""]",high,no
1159324-84,Pharaoh,pharaoh.exchange,exchange_or_broker,yes,"[""PHAR"", ""xPHAR""]","[""PHAR Token"", ""xPHAR Token""]","[""https://docs.pharaoh.exchange/pages/contract-addresses"", ""https://docs.pharaoh.exchange/pages/tokenomics-and-emissions""]",high,no
1159576-66,Flayer,flayer.io,protocol_or_network,yes,"[""FLAY""]","[""Flayer""]","[""https://migrate.flayer.io/""]",high,no
1162492-84,Blockchain Sports,bcsports.io,protocol_or_network,yes,"[""ATLA""]","[""ATLA Coin""]","[""https://blockchain-sports.gitbook.io/atleta-network/atleta-l1/usdatla""]",high,no
1162603-18,Unibase,unibase.com,infrastructure_or_data,yes,"[""UB""]","[""Unibase""]","[""https://coinmarketcap.com/currencies/unibase/""]",high,no
1165021-12,Hippocrat,datahippo.xyz,protocol_or_network,yes,"[""HP""]","[""Hippo Protocol""]","[""https://whitepaper.hippoprotocol.ai/6.-hp-coin-usdhp""]",high,no
1166563-18,Workquest,workquest.co,protocol_or_network,yes,"[""WQT"", ""WUSD""]","[""WorkQuest Token"", ""WorkUSD""]","[""https://workquest.co/""]",high,no
1166635-54,Final DeFi,final-de.fi,protocol_or_network,yes,"[""PHI""]","[""PHI""]","[""https://final-de.fi/whitepaper.html""]",medium,yes
1167799-69,DeepNode,deepnode.ai,infrastructure_or_data,yes,"[""DN""]","[""DeepNode""]","[""https://deepnode.gitbook.io/docs/about-us/general-faqs/tokenomics-and-utility""]",high,no
1167835-60,Hetu,hetu.org,protocol_or_network,yes,"[""HETU""]","[""HETU""]","[""https://docs.hetu.org/chain/components-desc""]",high,no
1168886-53,Pye,pye.fi,protocol_or_network,yes,"[""PT"", ""RT"", ""pSOL"", ""ySOL""]","[""Principal Token"", ""Reward Token"", ""pSOL"", ""ySOL""]","[""https://docs.pye.fi/"", ""https://messari.io/project/pye-finance/fundraising""]",medium,no
117058-42,investFeed,investfeed.com,dapp_or_product,yes,"[""IFT""]","[""InvestFeed""]","[""https://coinmarketcap.com/currencies/investfeed/""]",medium,no
117086-41,IQ.wiki,iq.wiki,dapp_or_product,yes,"[""IQ""]","[""IQ""]","[""https://iq.wiki/wiki/iq""]",high,no
1173323-26,PG Labs,pglab.io,service_provider,yes,"[""PNT""]","[""PNT""]","[""https://docs.pheasant.network/ecosystem/pnt""]",high,no
117348-13,UTU,utu.io,protocol_or_network,yes,"[""UTU""]","[""UTU Coin""]","[""https://coinmarketcap.com/currencies/utu-protocol/""]",high,no
117450-19,NuCypher,nucypher.com,protocol_or_network,yes,"[""T""]","[""Threshold Network""]","[""https://docs.threshold.network/t-token""]",high,no
117545-50,Qredo,qredo.com,protocol_or_network,yes,"[""QRDO""]","[""QRDO""]","[""https://www.qredo.com/blog/introducing-qredo-token""]",high,no
117558-37,Vanbex Labs,etherparty.com,dapp_or_product,yes,"[""FUEL""]","[""FUEL""]","[""https://coinmarketcap.com/currencies/etherparty/""]",medium,no
118093-15,ConsenSys,consensys.io,infrastructure_or_data,yes,"[""LINEA""]","[""Linea""]","[""https://coinmarketcap.com/currencies/linea/""]",high,no
118309-42,Rentberry,rentberry.com,dapp_or_product,yes,"[""BERRY""]","[""Rentberry""]","[""https://www.coingecko.com/en/coins/rentberry""]",medium,yes
118322-02,Cryptyk,cryptyk.io,security_or_compliance,yes,"[""CTK""]","[""Cryptyk""]","[""https://coinmarketcap.com/currencies/cryptyk-token/""]",medium,yes
118372-15,Hearti,hearti.io,dapp_or_product,yes,"[""SURE""]","[""SURETY Token""]","[""https://etherscan.io/token/0x95382ac82e886a367bac9e1e23beabe569bcfed8""]",high,no
118818-37,Digital Asset,digitalasset.com,infrastructure_or_data,yes,"[""CC""]","[""Canton Coin""]","[""https://www.canton.network/blog/canton-coin-rewarding-utility""]",medium,no
1188779-86,qLabs,qlabs.tech,protocol_or_network,yes,"[""qONE""]","[""qONE""]","[""https://qlabs.tech/""]",high,no
1191335-77,Lumera Health,lumerahealth.ai,dapp_or_product,yes,"[""LUR""]","[""Lumera Health""]","[""https://lumerahealth.ai/""]",high,no
120207-79,Credits (Financial Software),credits.vision,protocol_or_network,yes,"[""CS""]","[""Credits""]","[""https://coinmarketcap.com/currencies/credits/""]",high,no
120366-01,Crowdz,crowdz.io,dapp_or_product,yes,"[""CRZ""]","[""Crowdz Token""]","[""https://crowdz.io/whitepaper/avalon-marketplace-a-blockchain-based-receivables-marketplace""]",high,no
121558-06,Seeds,seedsgives.com,protocol_or_network,yes,"[""SEEDS""]","[""SEEDS""]","[""https://www.seedsgives.com/faq""]",high,no
121763-98,Picnic (Financial-Software),swarm.co,protocol_or_network,yes,"[""PICNIC"", ""BASKET""]","[""Picnic Network token"", ""Picnic Fund Token""]","[""https://docs.picnic.network/picnic-network-tokenomics/picnic-tokenomics"", ""https://docs.picnic.network/picnic-network-tokenomics/picnic-networks-two-token-system""]",medium,yes
1230614-65,Magma (Financial Services),magmafinance.io,protocol_or_network,yes,"[""MAGMA""]","[""MAGMA""]","[""https://coinmarketcap.com/currencies/magma-finance/""]",high,no
1230638-59,X1 Labs,x1.xyz,protocol_or_network,yes,"[""XNT""]","[""XNT""]","[""https://x1labs.io/""]",high,no
1231695-46,Strata,strata.money,protocol_or_network,yes,"[""srUSDe"", ""jrUSDe""]","[""Strata Senior USDe"", ""Strata Junior USDe""]","[""https://docs.strata.markets/""]",high,no
1231739-65,Conduct (Financial Software),conductprotocol.xyz,protocol_or_network,yes,"[""CNDT""]","[""CNDT""]","[""https://conductprotocol.xyz/""]",high,no
1232056-81,Deepbook,deepbookai.io,protocol_or_network,yes,"[""DEEP""]","[""DEEP""]","[""https://www.deepbook.tech/deep-token""]",high,no
1232694-10,Vrem,vrem.io,protocol_or_network,yes,"[""VREM""]","[""VREM""]","[""https://vrem.io/whitepaper/en/""]",high,no
1233053-83,Valley Arcade Games,arcade.valley.games,gaming_or_nft,yes,"[""VALLEY""]","[""VALLEY""]","[""https://support.lfg.inc/hc/en-us/articles/29150451767707-Valley-Arcade-Games-Frequently-Asked-Questions""]",medium,no
1240038-73,ZenChain,zenchain.io,protocol_or_network,yes,"[""ZTC""]","[""ZTC""]","[""https://coinmarketcap.com/currencies/zenchain/""]",high,no
1240755-13,TeraHash,terahash.xyz,protocol_or_network,yes,"[""THS"", ""HASH""]","[""THS"", ""HASH""]","[""https://terahash.xyz/whitepaper.pdf""]",medium,no
1240969-60,Besteam Game,besteam.io,gaming_or_nft,yes,"[""BTEM""]","[""BTEM""]","[""https://www.digithon.it/startups/1452/besteam""]",medium,yes
1241096-86,Safeforge,safeforge.finance,protocol_or_network,yes,"[""SAFF""]","[""Safeforge Token""]","[""https://medium.com/%40jkuan456/safeforge-beta-and-governance-token-rewards-19c58c8906f3""]",medium,yes
1241683-93,Konnex (Business/Productivity Software),konnex.world,protocol_or_network,yes,"[""KNX""]","[""Konnex""]","[""https://konnexworld.com/""]",high,no
1241901-37,Beatcoin,beatswap.net,protocol_or_network,yes,"[""BTX""]","[""BeatSwap""]","[""https://www.coingecko.com/en/coins/beatswap""]",high,no
1242057-52,Matrix (Financial software),matrixlabs.app,protocol_or_network,yes,"[""MTX""]","[""MTX Governance Token""]","[""https://www.matrixlabs.app/whitepaper""]",high,no
1242085-15,FunctionSPACE,functionspace.dev,protocol_or_network,yes,"[""FS""]","[""FS token""]","[""https://www.functionspace.dev/docs/faq""]",high,no
1242114-04,Cadenverse,cadenverse.com,gaming_or_nft,yes,"[""CDV"", ""MSC""]","[""Cadenverse Platform Token"", ""Music Coin""]","[""https://whitepaper.cadenverse.com/tokenomics/tokens""]",high,no
1242174-61,DAR Open Network,dalarnia.com,protocol_or_network,yes,"[""D""]","[""$D""]","[""https://dalarnia.com/token""]",high,no
1242267-04,Saturn (Other Financial Services),usdat.xyz,protocol_or_network,yes,"[""USDAT"", ""SUSDAT""]","[""Saturn Dollar"", ""Saturn sUSDat""]","[""https://www.coingecko.com/en/coins/saturn-dollar"", ""https://www.coingecko.com/en/coins/saturn-susdat""]",high,no
1257780-88,Alien (Financial Software),alien.org,protocol_or_network,yes,"[""ALIEN""]","[""Aliencoin""]","[""https://alien.org/blog/bootstrapping-fair-launch""]",high,no
126109-09,Storj,storj.io,infrastructure_or_data,yes,"[""STORJ""]","[""STORJ""]","[""https://support.storj.io/hc/en-us/articles/360026611072-What-is-the-STORJ-token""]",high,no
126127-90,Chainlink Labs,chainlinklabs.com,infrastructure_or_data,yes,"[""LINK""]","[""LINK""]","[""https://docs.chain.link/getting-started/conceptual-overview""]",high,no
127599-49,Tari Coin,,protocol_or_network,yes,"[""XTM"", ""XTR""]","[""Minotari"", ""Tari""]","[""https://www.tari.com/tokenomics""]",high,no
131241-61,Brave Software,brave.com,dapp_or_product,yes,"[""BAT""]","[""Basic Attention Token""]","[""https://basicattentiontoken.org/""]",high,no
132325-57,Infinit (Financial Software),home.payproapp.com,dapp_or_product,yes,"[""PIP"", ""zPIP""]","[""PIP"", ""zPIP""]","[""https://medium.com/@paypro/token-economics-ebeaf9b68fa9""]",high,no
134218-63,OriginTrail,origintrail.io,protocol_or_network,yes,"[""TRAC""]","[""OriginTrail""]","[""https://origintrail.io/technology/trac-token""]",high,no
135398-26,Penta (Other Financial Services),pentanetwork.org,protocol_or_network,yes,"[""PNT""]","[""Penta""]","[""https://coinmarketcap.com/currencies/penta/""]",high,no
136806-04,Votem,votem.com,protocol_or_network,yes,"[""VAST""]","[""VAST Token""]","[""https://www.prnewswire.com/news-releases/votem-announces-the-vast-token-providing-secure-end-to-end-voting-300601819.html""]",medium,yes
143598-07,Quantoz,quantoz.com,dapp_or_product,yes,"[""EURQ"", ""USDQ"", ""EURD"", ""PLNQ"", ""GBPQ""]","[""EURQ Electronic Money Token"", ""USDQ Electronic Money Token"", ""EURD Electronic Money Token"", ""PLNQ Electronic Money Token"", ""GBPQ Electronic Money Token""]","[""https://www.quantoz.com/products/eurq-usdq"", ""https://www.quantoz.com/"", ""https://www.quantoz.com/blog/quantoz-payments-becomes-europes-leading-stablecoin-issuer-with-five-licensed-tokens-adding-polish-zloty-and-british-pound""]",high,no
148294-72,Electric Coin Co.,electriccoin.co,protocol_or_network,yes,"[""ZEC""]","[""Zcash""]","[""https://z.cash/""]",high,no
149409-73,OSL Group,group.osl.com,exchange_or_broker,yes,"[""USDGO""]","[""USDGO""]","[""https://www.osl.com/hk-en/press-release/osl-group-officially-launches-regulated-enterprise-stablecoin-usdgo""]",medium,no
150534-73,Gameflip,gameflip.com,gaming_or_nft,yes,"[""FLP""]","[""FLIP Token""]","[""https://gameflip.com/en/flp""]",high,no
151471-36,Rootstock (Financial Software),rootstock.io,protocol_or_network,yes,"[""RBTC"", ""RIF""]","[""rBTC"", ""RIF""]","[""https://rootstock.io/"", ""https://rif.technology/""]",high,no
151982-20,ChromaWay,chromaway.com,protocol_or_network,yes,"[""CHR""]","[""Chroma""]","[""https://chromaway.com/chromia""]",high,no
152716-42,Zebi Data India,zebi.io,protocol_or_network,yes,"[""ZCO""]","[""Zebi Coin""]","[""https://etherscan.io/address/0x2008e3057bd734e10ad13c9eae45ff132abc1722""]",medium,yes
152986-78,Augur (Financial Software),augur.net,protocol_or_network,yes,"[""REP""]","[""REP""]","[""https://augur.net/learn/fork/""]",high,no
153235-18,Equibit,equibitgroup.com,protocol_or_network,yes,"[""EQB""]","[""Equibit""]","[""https://www.icoholder.com/en/equibit""]",high,no
153442-27,The Naga Group,naga.com,exchange_or_broker,yes,"[""NGC""]","[""NAGA Coin""]","[""https://coinmarketcap.com/currencies/naga/""]",high,no
153818-83,Civic Technologies,civic.com,security_or_compliance,yes,"[""CVC""]","[""Civic token""]","[""https://coinmarketcap.com/currencies/civic/""]",medium,no
154367-92,Airfox,airfox.com,dapp_or_product,yes,"[""AIR""]","[""AirToken""]","[""https://coinmarketcap.com/currencies/airtoken/""]",medium,yes
154434-34,JoyStream,joystream.org,dapp_or_product,yes,"[""JOY""]","[""JOY native asset""]","[""https://handbook.joystream.org/usdjoy""]",high,no
155159-20,Ignite (Software Development Applications),ignite.com,infrastructure_or_data,yes,"[""ATOM""]","[""Cosmos Hub""]","[""https://docs.cosmos.network/hub/latest""]",medium,no
155920-69,Atlant,atlant.io,protocol_or_network,yes,"[""ATL""]","[""ATLANT""]","[""https://coinmarketcap.com/currencies/atlant/""]",high,no
156266-38,Nitro Network,nitro.network,protocol_or_network,yes,"[""NCASH"", ""NOS""]","[""NCash"", ""NOS""]","[""https://docs.nitro.network/ncash-nitro-token/introduction"", ""https://docs.nitro.network/ncash-nitro-token/token-economics-principle""]",high,no
156660-49,Numerai,numer.ai,dapp_or_product,yes,"[""NMR""]","[""Numeraire""]","[""https://numer.ai/nmr""]",high,no
157834-63,Parity Technologies,parity.io,infrastructure_or_data,yes,"[""DOT""]","[""Polkadot""]","[""https://coinmarketcap.com/currencies/polkadot-new/""]",high,no
158244-49,Tierion,tierion.com,protocol_or_network,yes,"[""TNT""]","[""Tierion Network Token""]","[""https://tokensale.tierion.com/index.html""]",medium,yes
158845-33,Savedroid,savedroid.de,dapp_or_product,yes,"[""SVD""]","[""SVD""]","[""https://ico.savedroid.com/""]",medium,no
158980-69,HyperSpace (Social/Platform Software),site.hyperspace.app,dapp_or_product,yes,"[""AMP""]","[""AMP""]","[""https://coinmarketcap.com/currencies/synereo/""]",medium,no
159031-90,Intelligent Decentralized Networks Initiatives,tau.net,protocol_or_network,yes,"[""AGRS""]","[""Agoras""]","[""https://tau.net/agoras/""]",high,no
159379-30,BLOCKv,blockv.io,protocol_or_network,yes,"[""VEE""]","[""BLOCKv""]","[""https://coinmarketcap.com/currencies/blockv/""]",high,no
160267-87,Wings,wings.ai,protocol_or_network,yes,"[""WINGS""]","[""Wings""]","[""https://coinmarketcap.com/currencies/wings/""]",high,no
160729-84,Swirlds,swirlds.com,protocol_or_network,yes,"[""HBAR""]","[""HBAR""]","[""https://docs.hedera.com/hedera/faqs/hbar""]",high,no
161620-12,Decentral Life,decentral-life.com,service_provider,yes,"[""WDLF""]","[""WDLF Token""]","[""https://token.wdlf.ai/""]",medium,no
162147-25,Silver VR Technologies,theta.tv,protocol_or_network,yes,"[""THETA"", ""TFUEL""]","[""Theta Token"", ""Theta Fuel""]","[""https://docs.thetatoken.org/docs/what-is-theta-network""]",high,no
162690-76,TradeFin,tradefin.com,protocol_or_network,yes,"[""TPT""]","[""TradeFin Payment Token""]","[""https://medium.com/@Tradefin/introducing-tradefin-decentralized-network-to-power-global-business-to-business-payments-and-33a2de2045eb""]",low,yes
162717-85,Stratis.,xertra.com,protocol_or_network,yes,"[""STRAX""]","[""STRAX""]","[""https://coinmarketcap.com/currencies/stratis/""]",high,no
162768-43,Blocko,blocko.io,infrastructure_or_data,yes,"[""AERGO""]","[""AERGO""]","[""https://coinmarketcap.com/currencies/aergo/""]",high,no
163419-40,FIC,ficnetwork.com,protocol_or_network,yes,"[""EFIC""]","[""FIC Network""]","[""https://cryptoslate.com/coins/fic-network/""]",medium,no
163877-59,Ledgys,ledgys.io,infrastructure_or_data,yes,"[""LSS""]","[""Ledgys Smart Services""]","[""https://ledgys.neocities.org/""]",low,yes
164077-57,Secret Network,scrt.network,protocol_or_network,yes,"[""SCRT""]","[""SCRT""]","[""https://docs.scrt.network/secret-network-documentation/overview-ecosystem-and-technology/secret-network-overview/scrt-and-sscrt""]",high,no
164311-93,XR Web,xrweb.network,protocol_or_network,yes,"[""XR""]","[""XR Token""]","[""https://xrweb.network/""]",high,no
164863-81,Zetrix AI,zetrix.com,protocol_or_network,yes,"[""ZETRIX""]","[""Zetrix""]","[""https://docs.zetrix.com/en/tokenomics/native-token""]",high,no
165012-94,FISCO (Other Financial Services),fisco.co.jp,service_provider,yes,"[""FSCC""]","[""FISCO Coin""]","[""https://fiscocoin.jp/faq_en.html""]",high,no
166054-15,Wemark,wemark.com,traditional_business,yes,"[""WMK""]","[""Wemark Token""]","[""https://coinmarketcap.com/currencies/wemark-token/""]",low,yes
166203-64,Uquid,uquid.com,traditional_business,yes,"[""UQC""]","[""Uquid Coin""]","[""https://www.coingecko.com/en/coins/uquid-coin""]",low,yes
166300-66,Bloq,bloq.com,infrastructure_or_data,yes,"[""VSP"", ""MET"", ""LMR""]","[""Vesper"", ""Metronome"", ""Lumerin""]","[""https://docs.vesper.finance/faq"", ""https://docs.metronome.io/metronome-synth/the-metronome-token-usdmet"", ""https://www.lumerin.io/tokenomics""]",high,no
166303-63,Patientory,patientory.com,traditional_business,yes,"[""PTOY""]","[""Patientory""]","[""https://www.coingecko.com/en/coins/patientory""]",low,yes
166333-87,Decent (Network Management Software),decentcybersecurity.eu,traditional_business,yes,"[""DCT""]","[""DECENT""]","[""https://coinmarketcap.com/currencies/decent/""]",low,yes
166465-72,Codemojo,codemojo.io,service_provider,yes,"[""ALLOY""]","[""ALLOY""]","[""https://alloy.rewards.network/""]",medium,no
166645-36,Firstblood Technologies,firstblood.io,gaming_or_nft,yes,"[""DAWN""]","[""Dawn""]","[""https://www.dawn.org/token-info""]",high,no
