sample_order,task_index,investor_id,investor_name,sample_stratum,primary_investor_type,normalized_domain,in_needs_manual_review,capability_exact_match,mismatched_capabilities,original_capability_labels,audit_capability_labels,original_otc_trading,audit_otc_trading,mismatch_otc_trading,original_algorithm_trading,audit_algorithm_trading,mismatch_algorithm_trading,original_market_making,audit_market_making,mismatch_market_making,original_execution_services,audit_execution_services,mismatch_execution_services,original_defi,audit_defi,mismatch_defi,original_sub_fund,audit_sub_fund,mismatch_sub_fund,results_confidence,audit_confidence,results_needs_manual_review,audit_recommended_manual_review,classifier_search_tier,classifier_capability_search_required,classifier_investor_archetype,classifier_crypto_native_likelihood,classifier_operating_capability_likelihood,classifier_risk_flags,classifier_reason,classifier_issue_note,input_other_investor_types,input_description,results_evidence_summary,audit_evidence_urls,audit_evidence_source_types,audit_evidence_summary,audit_yes_boundaries,audit_no_boundaries
11,8146,170648-56,Eric Dadoun,positive_fill,Angel (individual),,no,yes,,"[""defi""]","[""defi""]",no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,medium,medium,no,no,full,yes,angel_or_individual,high,high,[],"Angel/investor profile with cross-source evidence that Eric Dadoun co-founded or led DeZy, a DeFi startup, and appears in Puma Browser investor/advisor materials; the DeFi and operating-role signal warrants full verification.",,,"Mr. Eric Dadoun serves as Advisor at Puma Browser. Mr. Dadoun is an Angel Investor. He started his first company at 17 years old. He was born in Canada and is now based out of Singapore. He plays an integral role at Impiro and within some of its portfolio companies, Silverstreet and Twizo included, in terms of driving partner relationship development, strategy and new initiatives.","RootData and Crunchbase tie Eric Dadoun to DeZy as founder or CEO and describe DeZy as a business built on decentralized finance protocols; Puma Browser also lists Eric Dadoun among its investors/advisors. These sources support defi=yes but do not show OTC, market-making, execution-services, or sub-fund capability.",https://www.pumabrowser.com/about|https://sg.linkedin.com/company/dezy|https://www.iterative.vc/post/founder-friday-eric-dadoun-from-dezy-w22|https://creationsforu.com/dezy-automatically-converts-users-deposits-into-sgd-backed-stable-coins-attracts-funding/|https://www.rootdata.com/Projects/detail/DeZy?k=NTQ5MA%3D%3D,official_site|secondary_profile|news_or_blog,"Eric Dadoun founded/co-founded DeZy, a product marketed around decentralized finance access, stablecoin conversion, and DeFi yield/protocol usage. No OTC, algorithmic trading, market making, execution, or sub-fund evidence found.",Founder/operator of DeFi-native product supports DeFi for an individual investor.,DeFi access/yield interface is not brokerage/order-routing execution service.
12,6434,846532-00,babybera,positive_fill,Corporation,babybera.finance,no,yes,,"[""defi""]","[""defi""]",no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,medium,high,no,no,full,yes,operating_company_disguised_as_investor,high,high,[],"The domain and project profiles identify babybera as a Berachain crypto project with NFT, yield-farming, and meme-coin mechanics, which is DeFi-native and requires full search.",,,,"BabyBera is described as a Berachain ecosystem that combines NFTs, yield farming, and a meme coin. Those sources show DeFi-native product mechanics even though the official site is JS-gated.",https://babybera.finance/|https://babybera.finance/static/js/main.1cd2a590.js.map|https://beraland.net/|https://alphagrowth.io/babybera,official_site|secondary_profile,"BabyBera official assets show DeFi-native staking, farming, rewards, and bond-style product pages. No OTC, algorithmic, market-making, execution, or sub-fund evidence found.",Official staking/farming/bond products support DeFi.,Yield/farm mechanics are not market-making services.
13,5242,552134-71,NEOM Investment Fund,positive_fill,Venture Capital,,no,yes,,"[""sub_fund""]","[""sub_fund""]",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,high,medium,no,yes,light,yes,fund_vehicle_or_fund_platform,low,low,"[""fund_of_funds_language""]","The batch row explicitly identifies NEOM Investment Fund as a fund of funds, so it requires bounded confirmation rather than a skip.",,"Asset Manager, Corporate Venture Capital, Fund of Funds, Government, Holding Company, Other Private Equity, PE/Buyout","NEOM Investment Fund is a venture capital firm headquartered in NEOM, Saudi Arabia. The firm seeks to invest in companies operating in the following sectors: manufacturing, water, technology, digital, entertainment, culture, education & innovation, research, design, construction, food, energy, sports, tourism, mobility, health, biotechnology, financial services, and media.","The batch row explicitly identifies NEOM Investment Fund as a fund of funds. NEOM's official NIF page describes it as the strategic investment arm of NEOM with venture capital, joint venture, investment attraction, portfolio management, and global champions mandates.",https://www.neom.com/en-us/invest/neom-investment-fund|https://www.neom.com/en-us/newsroom/neom-announces-investment-fund|https://www.animocabrands.com/zh-cn/announcement/animoca-brands-and-neom-announce-strategic-partnership-and-investment-to-drive-regional-web3-development|https://www.neom.com/en-us/our-business/sectors/financial-services,official_site|local_input,"Official NEOM sources describe NIF as a strategic investment arm; no trading, DeFi operation, or liquidity capabilities found. The local input explicitly lists Fund of Funds under OtherInvestorTypes, supporting sub_fund, though official corroboration was limited.",Input Fund of Funds classification supports sub_fund under the current audit definition.,Web3 partnership/investment is not NIF-operated DeFi.
14,10739,489739-33,MochiLab,positive_fill,Accelerator/Incubator,mochilab.org,no,no,market_making|execution_services,"[""defi""]","[""market_making"", ""execution_services"", ""defi""]",no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,high,medium,no,yes,full,yes,accelerator_or_incubator,high,high,"[""defi_nft_incubator""]","MochiLab is an incubator explicitly focused on DeFi and NFT projects, so it is crypto-native and warrants full source confirmation.",,,"Founded in 2021, MochiLab is an incubator based in Tortola, Channel Island. The firm seeks to incubate DeFi and NFT projects.",LinkedIn describes MochiLab as an incubator of future innovative DeFi and NFT projects; a press release tied to the team describes the project as community-driven and aimed at DeFi/NFT infrastructure.,https://www.businesswire.com/news/home/20210416005543/en/Multi-Chain-Decentralized-NFT-Exchange-Mochi.Market-Announces-Partnership-with-Plasm-Network|https://www.newsbtc.com/press-releases/mochi-market-finalizes-seed-round-preps-for-ido-fair-launch-for-its-multi-chain-nft-decentralized-exchange-protocol/|https://medium.com/astar-network/multi-chain-nft-exchange-mochi-market-builds-on-plasm-network-edb36400a701|https://www.linkedin.com/company/mochilaborg,news_or_blog|secondary_profile,"MochiLab incubated/created Mochi.Market, a multi-chain decentralized NFT exchange with AMM, staking, lending, fractionalization, and cross-chain swaps. This supports protocol-level market_making, execution_services, and DeFi. No OTC, algorithmic trading, or sub-fund evidence found.",AMM/liquidity solution supports protocol-level market_making; decentralized exchange supports execution_services; DeFi-native product supports DeFi.,AMM mechanics are not algorithmic/HFT trading service.
15,1543,62298-10,BitGo,positive_fill,Corporation,bitgo.com,no,no,algorithm_trading|defi,"[""otc_trading"", ""execution_services""]","[""otc_trading"", ""algorithm_trading"", ""execution_services"", ""defi""]",yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,high,high,no,no,full,yes,operating_company_disguised_as_investor,high,high,"[""prime_brokerage"", ""custody_platform""]","BitGo is an operating digital-asset infrastructure company with custody, trading, settlement, and prime-service products, so it must be searched.",,,"BitGo Holdings provides various offerings to its clients, including multi-signature blockchain wallet solutions allowing for secure storage, trade settlement, staking solutions, and lending of digital assets. The company also provides professional services to develop smart contracts. Its clients range from crypto-native companies that use its self-custody wallet technology to traditional financial services firms that leverage its licensed custody, staking, and trading capabilities within their own products and services.","BitGo markets prime brokerage and OTC trading, including trading, financing, collateral management, settlement, and electronic execution from regulated custody.",https://www.bitgo.com/products/trading/|https://www.bitgo.com/products/prime/|https://www.bitgo.com/resources/blog/bitgo-unveils-secure-all-in-one-otc-trading-desk/|https://www.bitgo.com/asset-listings-process/|https://www.bitgo.com/solutions/walletconnect/|https://www.bitgo.com/resources/blog/bitgo-integrates-narval-to-deliver-institutional-defi-access-from-qualified-custody/,official_site|news_or_blog,"BitGo official materials advertise OTC/block trading, prime brokerage/electronic trading/API/UI execution, smart order routing, algorithmic pass-through execution such as TWAP/VWAP, and institutional DeFi access through custody/wallet integrations. No self market-making or sub-fund structure found.","OTC desk, TWAP/VWAP algorithmic execution, prime brokerage/electronic execution, and institutional DeFi access are explicit.",Aggregating external liquidity providers/market makers is not self market_making.
16,9515,224188-48,Jesse Powell,positive_fill,Angel (individual),,no,no,algorithm_trading|market_making,"[""otc_trading"", ""execution_services""]","[""otc_trading"", ""algorithm_trading"", ""market_making"", ""execution_services""]",yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,high,medium,no,yes,full,yes,exchange_affiliated_investor,high,high,"[""exchange_affiliation"",""founder_operator""]","Kraken’s official press release says Jesse Powell co-founded the crypto exchange and became chairman, which is an exchange-affiliated operating profile that requires full search.",,,"Mr. Jesse Powell is a Co-Founder & serves as Chairman at Kraken. Mr. Powell is an Angel Investor Mr. Powell holds a Degree in Philosophy from California State University, Sacramento.","Kraken’s official site and press release say it is a crypto exchange with exchange trading, OTC trading, futures, and API access; Powell co-founded the exchange and is chairman.",https://www.kraken.com/press/releases/kraken-announces-leadership-succession-plan|https://www.kraken.com/en-ca/features/otc-exchange/bitcoin|https://docs.kraken.com/api/|https://docs.kraken.com/api/docs/guides/fix-intro/|https://www.kraken.com/institutions/kraken-360|https://www.kraken.com/institutions/protocols,official_site|official_docs,"Official Kraken sources tie Jesse Powell to Kraken and show OTC desk, API/FIX low-latency/automated trading access, token liquidity support, and execution services. No DeFi-native protocol operation or sub-fund evidence found for Powell.",Founder/chairman linkage to Kraken used for OTC/API/market-structure/execution capability.,Kraken/Powell crypto exposure and staking are not DeFi operation; individual angel status is not sub_fund.
17,5778,506953-27,Ace Exchange,positive_fill,Corporation,ace.io,no,no,algorithm_trading,"[""execution_services""]","[""algorithm_trading"", ""execution_services""]",no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,high,medium,no,yes,full,yes,exchange_affiliated_investor,high,high,"[""crypto_exchange""]","ACE Exchange is an explicit fiat-to-crypto exchange and trading platform, so it requires full capability search.",,,,ACE Exchange's help center says it is a fiat-to-crypto exchange and user-friendly trading platform with compliance and security features.,https://helpcenter.ace.io/hc/en-us/articles/360018350432-ACE-Trading-Guide|https://helpcenter.ace.io/hc/zh-tw/articles/12247136526873-24H%E4%B8%8D%E9%96%93%E6%96%B7-%E7%84%A1%E8%A6%96%E6%BC%B2%E8%B7%8C-AI%E6%A9%9F%E5%99%A8%E4%BA%BA%E8%87%AA%E5%8B%95%E4%BD%8E%E8%B2%B7%E9%AB%98%E8%B3%A3%E5%B9%AB%E4%BD%A0%E5%A5%97%E5%88%A9|https://helpcenter.ace.io/hc/en-us/articles/21703684987929-ACE-Exchange-Terms-of-Use|https://helpcenter.ace.io/hc/zh-tw/articles/360018099112-%E9%97%9C%E6%96%BCACE|https://earning.tw/ace-exchange-introduce/,official_site|news_or_blog,"ACE official materials describe an order-book exchange and AI/grid trading robot described as a quantitative strategy. No official OTC desk, market making, DeFi operation, or sub-fund evidence found.",Official AI/grid trading robot supports algorithm_trading; exchange order-book supports execution_services.,Third-party OTC label without official OTC desk detail is insufficient.
18,1785,495835-57,Kraynos Capital Management,searched_negative_full,Venture Capital,kraynos.com,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,no,no,full,yes,fund_vehicle_or_fund_platform,high,low,"[""private_investment_fund""]","Kraynos is a private investment fund / VC vehicle positioned at the intersection of traditional finance and DeFi, so it should be routed as a fund platform rather than a generic VC.",,,"Kraynos Capital Management is a venture capital firm based in Miami, Florida. The firm prefers to invest in companies operating in traditional finance and decentralized finance.",Kraynos Capital presents itself as a private investment fund / VC at the intersection of traditional finance and decentralized finance.,https://www.kraynos.com/|https://www.kraynos.com/blank|https://reports.adviserinfo.sec.gov/reports/ADV/318586/PDF/318586.pdf|https://www.sec.gov/Archives/edgar/data/1924396/000192439623000001/xslFormDX01/primary_doc.xml|https://www.sec.gov/Archives/edgar/data/1936588/000193658822000002/xslFormDX01/primary_doc.xml,official_site|primary_filing,"Kraynos official site shows investment focus at TradFi/DeFi intersection and portfolio companies; SEC filings show investment adviser/ordinary VC pooled fund. No investor-operated DeFi, trading services, market making, execution, or explicit sub-fund/feeder structure found.",,DeFi investment focus/portfolio exposure is not DeFi operation; ordinary VC fund is not sub_fund.
19,12479,503424-37,SOMESING (Social/Platform Software),searched_negative_full,Corporation,somesing.io,no,no,defi,[],"[""defi""]",no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,high,medium,no,yes,full,yes,operating_company_disguised_as_investor,high,high,"[""operating_company_like"", ""blockchain_app""]","Blockchain-based consumer app / operating company, not a pure investor.",,,"Developer of a blockchain-based singing application designed to make cover songs with studio-level clarity. The company's platform features the ability to provide duet singing mode which is a karaoke-type system wherein more than one person can sing along and provides rewards using blockchain technology, enabling users to compete with friends and get on top of the leaderboard.","SOMESING is a blockchain singing app and ecosystem, not a trading or fund-vehicle business.",https://somesing.io/about-us|https://www.mk.co.kr/news/economy/9884474|https://medium.com/delio-global/delio-somesing-token-ssx-deposit-guide-c439b90f320|https://singlovers.medium.com/official-statement-regarding-the-delisting-of-ssx-cb47dbc862b3,official_site|news_or_blog|local_input,"SOMESING official site shows blockchain content/token platform; 2021 reports and Delio guide describe SSX crypto deposit/yield product with Delio. No trading desk, algorithmic trading, market making, execution, or sub-fund evidence found.",Co-launched/marketed SSX deposit/yield product with DeFi/open-finance provider supports DeFi.,Exchange listings and token migration are not execution_services.
20,11790,484055-65,RB Capital Partners (San Diego),searched_negative_full,Lender/Debt Provider,,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,no,no,full,yes,fund_vehicle_or_fund_platform,none,low,"[""otc_keyword_focus""]","Private investment fund and lender focused on public microcap companies trading on OTC Markets, Nasdaq, and NYSE; full search is required because of the OTC wording.",,"PE/Buyout, Venture Capital","RB Capital Partners is a lender based in San Diego, California. The firm focuses on small and microcap publicly traded companies trading on the OTC Markets, Nasdaq, and New York Stock Exchange.","RB Capital Partners describes itself as a private investment fund and debt investor focused on small and microcap public companies trading on OTC Markets, Nasdaq, and NYSE. The OTCMarkets filing shows convertible notes and public-company financing, but no OTC desk, market making, or execution service.",https://www.globenewswire.com/news-release/2024/02/27/2836036/0/en/rb-capital-partners-inc-officially-moves-forward-with-appointment-of-a-receiver-for-optec-international-inc.html|https://www.sec.gov/Archives/edgar/data/1496383/000121390024050819/ea020738601ex4-18_ilustrato.htm|https://www.sec.gov/files/litigation/complaints/2026/comp26475.pdf|https://www.justice.gov/usao-sdca/pr/la-jolla-based-couple-charged-100-million-fraud,news_or_blog|primary_filing|official_site,"RB Capital is a private investment/lending fund focused on debt investments in small/microcap public companies. OTC-listed-company investing and alleged share sales do not establish OTC desk, execution, market making, algorithmic trading, DeFi, or sub-fund structures.",,Trading OTC-listed securities is not an OTC desk/block trading service; private investment fund alone is not sub_fund.
21,13960,231940-90,Petros Bozatzis,searched_negative_light,Angel (individual),,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,no,no,light,yes,angel_or_individual,low,low,"[""family_office_partner""]","Petros Bozatzis is an individual investor with investment-committee and transaction-execution responsibilities at Blue Frontier Group, but no explicit OTC, trading, market-making, execution, DeFi, or fund-structure capability is established; bounded confirmation is warranted.",,,"Mr. Petros Bozatzis serves as Chief Financial Officer and Chief Global Officer at DoubleMe. Previously, he served as Global Director at DoubleMe. He is a Co-Founder and serves as a Partner at Blue Frontier Group. He provides strategic direction and investment oversight across Blue Frontier's businesses globally. He sits on Blue Frontier's investment committee and leads the strategic initiatives for Blue Frontier Group with overall responsibility for corporate operations and transaction execution. Prior to joining Blue Frontier Group, he was the UK and Ireland Ecosystem and Ventures Director at Accenture, where he devised and led supply chain optimization strategies for top-tier global instit","Petros Bozatzis is documented as a Blue Frontier Group partner/COO/investment-committee member and a significant controller of Blue Frontier Advisers. That supports an active investor profile, but not any supported capability label.",https://foundersuite.com/investors/petros-bozatzis|https://find-and-update.company-information.service.gov.uk/company/11233647|https://uk.linkedin.com/company/blue-frontier-group|https://via.tt.se/pressmeddelande/2985072/two-london-ex-bankers-launch-first-uk-regulated-digital-asset-trading-platform-and-crypto-exchange-accessible-to-institutional-investors?publisherId=259180,secondary_profile|primary_filing|news_or_blog,Petros Bozatzis is an angel/HNW investor and Blue Frontier executive/advisor. Advisory/investor links to Sovren Exchange do not make him operator of trading/execution/algorithmic capabilities; no DeFi operation or fund structure found.,,Board/advisor exposure to an exchange is not investor-itself execution or algorithmic trading capability.
22,7706,183358-81,DCU FinTech Innovation Center,searched_negative_light,Accelerator/Incubator,dcufintech.org,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,high,no,no,light,yes,accelerator_or_incubator,medium,low,"[""accelerator_program""]","Local row includes cryptocurrency/blockchain as a preferred vertical, while current official sources describe a fintech accelerator partnership rather than supported operating capabilities.",,,"Founded in 2014, DCU FinTech Innovation Center is an accelerator/incubator firm based in Boston, Massachusetts. The firm seeks to invest in US, England, and Canada-based companies operating in the fintech, banking, financial health & wellness, infrastructure, lending, payments, property technology, real estate technology, and insurtech sectors.","Official DCU page describes a MassChallenge fintech innovation partnership and mentorship; accelerator coverage includes bitcoin/blockchain among member-company topics, but no core capability service is evidenced.",https://dcufintech.org/|https://www.dcu.org/content/dam/dcu/pdfs/dcu_annual-report-2019.pdf|https://medium.com/dcu-fintech-innovation-center/digital-onboarding-at-the-center-part-4-2ad23667a9|https://www.f6s.com/dcufintechinnovationcenter/about,official_site|official_docs|news_or_blog|secondary_profile,"DCU FinTech Innovation Center is a nonprofit zero-equity accelerator/innovation partnership. Mentorship, workspace, pilots, and startup support are not trading, DeFi operation, execution, or sub-fund capabilities.",,Startup ecosystem/blockchain exposure is not DeFi operation or trading capability.
23,4,461989-90,Exnetwork Capital,searched_negative_light,Venture Capital,exnetworkcapital.com,no,no,otc_trading,[],"[""otc_trading""]",no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,medium,medium,no,yes,light,yes,crypto_native_vc,high,low,[],Crypto VC focused on blockchain and cryptocurrency with no explicit trading or liquidity-service signals.,,Accelerator/Incubator,"Founded in 2018, Exnetwork Capital is a venture capital firm based in Manila, Philippines. The firm seeks to invest in the cryptocurrency and blockchain sectors.",Row describes a crypto VC focused on blockchain and cryptocurrency; no explicit operating capability evidence was found.,https://exnetworkcapital.com/home/|https://www.linkedin.com/company/exnetwork/|https://medium.com/exnetwork/otc-room-adds-a-trc-payment-alternative-e595b7d0b319|https://dailycoin.com/smart-exchange-ecosystem-unizen-doubles-down-on-its-advisory-board/|https://www.rootdata.com/Investors/detail/Exnetwork%20Capital?k=NzI2,official_site|secondary_profile|news_or_blog,"Exnetwork is a blockchain fund/incubator; ExNetwork-owned Medium and third-party article tie Exnetwork/Eric Su to The OTC Room/major crypto OTC trading desk. No algorithmic, market-making, execution, DeFi operation, or sub-fund evidence found.",Explicit OTC Room/OTC desk evidence supports otc_trading.,Portfolio exposure to market-making/DeFi companies is not Exnetwork's own capability.
24,4883,11329-93,Vision Capital,skip_candidate,PE/Buyout,visioncapital.com,no,no,sub_fund,[],"[""sub_fund""]",no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,high,medium,no,no,skip_candidate,no,traditional_vc_or_pe,low,none,[],"Private equity firm with no explicit crypto-native, trading, execution, DeFi, or fund-vehicle language in the row.",skip_candidate_but_independent_audit_found_capability|capability_search_required_no_but_independent_audit_found_capability,"Growth/Expansion, Lender/Debt Provider","Founded in 1997, Vision Capital is a private equity firm based in London, United Kingdom. The firm seeks to invest in financial services, specialty industrial, and asset-backed consumer businesses based in Europe and North America.",No search performed; routed as skip_candidate based on the input row only.,https://www.visioncapital.com/|https://www.visioncapital.com/terms-and-conditions/|https://find-and-update.company-information.service.gov.uk/company/02737865|https://reports.adviserinfo.sec.gov/reports/ADV/161143/PDF/161143.pdf|https://privatefunddata.com/private-funds/vcl-partners-i-lp/|https://www.companiesintheuk.co.uk/gazette/publication/2015-12-23,official_site|primary_filing|secondary_profile,"Vision Capital is a private equity/direct portfolio acquisition group. SEC/private fund/Gazette evidence ties Vision Capital fund entities to feeder/master/fund-of-funds structures, supporting sub_fund. No trading, execution, market-making, or DeFi operation found.",Explicit feeder LP/master/fund-of-funds evidence supports sub_fund.,Private company acquisitions are not OTC trading services.
25,9935,164325-25,Kronos Investment Group,skip_candidate,Real Estate,kronosre.com,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,no,no,skip_candidate,no,asset_manager_or_family_office,none,none,[],Real-estate investment profile with no crypto-native or operating-capability signal relevant to the six labels.,,Asset Manager,"Founded in 2014, Kronos Investment Group is a real estate investment firm based in Madrid, Spain. The firm prefers to invest in the residential and retail sectors across Portugal and Spain.",Skipped candidate based on the input record only; no external evidence consulted.,https://www.kronosre.com/en/|https://www.kronosre.com/en/about-us/|https://www.perenews.com/institution-profiles/kronos-investment-group.html|https://www.griinstitute.org/realestate/company-profile/kronos-investment-group_315,official_site|secondary_profile|local_input,"Kronos is a real-estate investment/development group. Portfolio exposure to token company Jambo and ordinary real-estate fund names do not establish DeFi, trading, execution, or sub-fund structure.",,Ordinary real-estate funds and portfolio exposure are not sub_fund or DeFi/trading capabilities.
26,13894,518945-86,JobsOhio Ventures,skip_candidate,Venture Capital,jobsohioventures.com,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,low,high,no,no,skip_candidate,no,traditional_vc_or_pe,low,low,"[""state_backed_vc_arm""]",State-backed VC arm with broad sector focus and no crypto-specific signal; skipped.,,,"Founded in 2021, JobsOhio Ventures is a venture capital firm based in Columbus, Ohio. The firm seeks to invest in early-stage companies operating in financial services, healthcare, and information technology sectors across Ohio.",No web search performed; the task row shows a conventional venture arm with no crypto-specific signal.,https://www.jobsohioventures.com/|https://www.jobsohioventures.com/how-we-work/|https://www.jobsohio.com/about-us/|https://ohioauditor.gov/AuditSearch/Reports/2024/JobsOhio_AUP-FY24_with_IAReport_FINAL.pdf,official_site|primary_filing,"JobsOhio Ventures is an evergreen co-investment venture fund/subsidiary making direct equity/convertible debt investments. No trading, execution, market-making, DeFi operation, or explicit sub-fund/feeder/fund platform evidence found.",,"Sidecar/co-investment capital is venture financing, not execution/trading; evergreen subsidiary status is not sub_fund."
27,5054,232937-38,XTech Ventures,skip_candidate,Venture Capital,xtech-ventures.co.jp,no,yes,,[],[],no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,high,high,no,no,skip_candidate,no,traditional_vc_or_pe,none,none,[],Standard seed-stage VC profile with no explicit crypto-native or trading/execution capability signal.,,,"Founded in 2018, XTech Ventures is a venture capital firm based in Tokyo, Japan. The firm prefers to invest in seed and early-stage companies operating in the business-to-business, business-to-consumer, and technology sectors.","No evidence of OTC trading, algorithmic trading, market making, execution services, DeFi, or sub-fund structure.",https://www.xtech-ventures.co.jp/|https://www.xtech-ventures.co.jp/about|https://www.xtech-ventures.co.jp/info/110|https://prtimes.jp/main/html/rd/p/000000029.000099021.html,official_site|news_or_blog,"XTech Ventures is a Tokyo seed/early-stage VC with startup support, incubation, and acceleration. No trading, DeFi operation, execution, or sub-fund/feeder/SPV/fund-platform evidence found; ordinary VC funds are not sub_fund.",,Web3/DeFi references are sector interest/portfolio exposure; ordinary VC fund vehicles do not cross sub_fund.
28,3428,522767-26,Sentillia,manual_focused,Venture Capital,sentillia.com,yes,no,algorithm_trading,"[""otc_trading"", ""execution_services""]","[""otc_trading"", ""algorithm_trading"", ""execution_services""]",yes,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,low,high,yes,yes,full,yes,exchange_affiliated_investor,high,high,"[""identity_mismatch"",""operating_company_profile""]","Current sources identify Sentillia B.V. as Deribit, a crypto derivatives exchange / trading platform, which conflicts with the VC-style task-row description and requires full disambiguation.",,,"Founded in 2014, Sentillia is a venture capital investment firm based in Amsterdam, Netherlands. The firm seeks to make early-stage investments and has a preference for the cryptocurrency and blockchain sectors.","Deribit support docs and the Sentillia profile identify the entity as a crypto futures/options exchange with low-latency trading and OTC RFQ functionality, conflicting with the VC-style task-row description.",https://www.sec.gov/Archives/edgar/data/1679788/000167978826000054/coin-20260331.htm|https://support.deribit.com/hc/en-us/articles/25944687804957-About-Us|https://docs.deribit.com/|https://docs.deribit.com/articles/block-trading-api|https://docs.deribit.com/articles/mass-quotes-specifications|https://www.mccaa.org.mt/section/content?contentId=13224,primary_filing|official_site|official_docs,"Primary sources identify Sentillia B.V. as Deribit. Deribit docs show derivatives/spot trading venue, API/FIX execution, block trading for large off-book negotiated trades, and low-latency/mass-quote functionality. No self market-making, DeFi operation, or sub-fund evidence found.",Block trading supports OTC; API/FIX and mass quotes support execution/algorithmic capabilities.,Tools for market makers are not Deribit itself market-making.
29,8917,267662-80,Hdac Technology,manual_focused,Corporation,hdactech.com,yes,yes,,"[""defi""]","[""defi""]",no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,medium,medium,yes,yes,full,yes,operating_company_disguised_as_investor,high,high,"[""operating_company_profile"", ""crypto_platform""]",Operating-company-style blockchain platform with explicit digital currency/asset-hub language and decentralized financial services; not a conventional investor profile.,,,"Hdac Technology is a provider of technology platform services. The company engages in providing blockchain, the Internet of Things, the crypto economy, and cryptocurrency. The company was founded in October 2017 and is headquartered in Zug, Switzerland.","Official HDAC/RIZON pages describe a digital currency and asset hub with blockchain-based business opportunities and decentralized financial services, plus stablecoin issuance, wallets, and staking.",https://hdactech.com/company/about-us/|https://hdactech.com/business/rizon/|https://medium.com/hdac/hdac-technology-launches-rizon-mainnet-that-enhances-blockchain-service-scalability-d3035914ee45|https://hdac-rizon.medium.com/rizon-2022-review-and-new-adventure-1216a0a8137|https://www.prnewswire.com/news-releases/hdac-technology-announces-its-new-blockchain-development-plan-at-kbw-2019-300927498.html,official_site|news_or_blog,"Hdac official materials describe support for RIZON, a digital currency/asset hub with stablecoin issuance, staking, IBC, instant asset exchange, tokenization, and decentralized financial services. No OTC, algorithmic, market-making, execution, or sub-fund evidence found.",Hdac-created/supported RIZON DeFi-oriented blockchain product supports DeFi.,Consensus algorithms and asset exchange modules are not algorithmic trading or execution_services under the strict trading-service definition.
30,4475,472412-89,OccamDAO,positive_manual_boost,VC-Backed Company,occam.fi,yes,no,market_making|execution_services,"[""defi""]","[""market_making"", ""execution_services"", ""defi""]",no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,high,medium,yes,yes,full,yes,operating_company_disguised_as_investor,high,high,"[""defi_platform"",""dao_structure""]","Official site describes OccamDAO as a launchpad, DEX, DAO, and DeFi platform, so it is an operating crypto entity rather than a normal investor.",,Corporation,"Provider of DeFi solutions intended to deliver launchpad features. The company's decentralized funding platform delivers launchpad capabilities, DEX tools, and liquidity pools, thereby helping businesses that can undertake significant capital raises through the next generation of disruptive Cardano applications.",Official site and docs describe Occam as a DeFi launchpad/DEX/DAO platform.,https://occam.fi/|https://medium.com/occam-finance/occamdao-expands-to-the-cosmos-ecosystem-9dc47310e3bc|https://medium.com/occam-finance/ocx-distribution-staking-5c9d66e1e2ba|https://medium.com/occam-finance/occam-fi-and-everscale-collaborate-to-launch-cardano-cross-chain-bridge-d97f79ca8eca,official_site|news_or_blog,"OccamDAO/Occam.fi materials describe DAO-governed DeFi ecosystem services including launchpad, DEX, DAO, incubator, OccamX DEX liquidity provision/mining/fees, and cross-chain trading. No OTC, algorithmic trading, or sub-fund evidence found.",DEX liquidity pools support market_making; DEX trading infrastructure supports execution_services; DeFi suite supports DeFi.,AMM mechanics are not algorithmic/HFT trading; staking/ISPO pools are not sub_fund.
